Taxa,Anthesis date (days),Harvest date (days),Total fresh weight (kg),Brix (maturity),Brix (milk),Dry weight (kg),Stalk height (cm),Dry tons per acre,ADF (% DM),NDF (% DM),NFC (% DM),Lignin (% DM),Pericarp pigmentation
ATLAS,85.5,126,2.193,10.3,11.6,0.3925,243.5,12.56,34.94,51.02,42.87,4.46,NA
LEOTI,72.5,110.5,1.110,10.45,11.2,0.2025,203,6.48,30.76,51.87,42.79,4.27,NA
PI_144134,77,117,1.675,12.45,11.65,0.205,269,6.56,35.74,50.97,40.79,4.94,Brown
PI_145619,93,NA,NA,NA,8.35,0.315,207,10.08,35.87,52.53,37.55,4.73,Red
PI_145626,93,149,2.558,11.6,14.3,0.47,304.5,15.04,30.04,42.15,50.33,3.68,Red
PI_145632,104,NA,NA,NA,10.8,NA,NA,NA,NA,NA,NA,NA,Yellow
PI_145633,78.5,124.5,1.388,8.95,6.65,0.2025,241,6.48,46.68,70.5,22.39,7.07,Red
PI_146890,86.5,126,1.665,12.15,11.4,0.3375,330,10.8,38.3,52.47,40.81,5.48,Red
PI_147224,91,120,1.545,14.85,16.55,0.2525,290,8.08,NA,NA,NA,NA,White
PI_152591,NA,157.5,2.455,7.5,NA,0.4775,362,15.28,52.75,76.03,15.91,9.84,White
PI_152651,94.5,158.5,1.358,10.2,13.95,0.3375,350.5,10.8,39.88,61.4,32.91,5.74,White
PI_152694,103,147,2.568,14,11.95,0.7275,397.5,23.28,44.99,65.89,30.54,6.83,White
PI_152727,NA,155.5,1.773,7.35,NA,0.3175,346,10.16,50.85,75.61,20.7,8.64,Red
PI_152728,NA,152,1.850,7.6,NA,0.33,355,10.56,43.91,68.27,26.71,7.21,White
PI_152730,NA,157.5,2.915,4.45,NA,0.2925,397.5,9.36,40.45,58.62,34.07,4.82,Yellow
PI_152733,NA,158.5,3.245,14.25,NA,0.565,413,18.08,41.81,64.78,32.27,6.65,Brown
PI_152751,134,158.5,2.805,15.1,NA,0.6525,415,20.88,41.04,60.79,34.89,6.70,White
PI_152771,105,159.5,2.488,10.7,11.75,0.46,299,14.72,35.21,49.58,46.01,5.20,Brown
PI_152816,115,158.5,1.605,12.45,11.5,0.35,266,11.2,35.93,53.36,41.63,5.51,Brown
PI_152828,77,137,1.338,9.75,10.85,0.2325,183.5,7.44,39.86,62.9,25.37,3.70,Brown
PI_152860,120,157,2.783,14.45,13.9,0.4275,372.5,13.68,37.75,54.86,42.1,6.02,Red
PI_152862,105,159.5,2.225,12.45,9.3,0.695,515,22.24,45.67,65.78,30.01,7.03,White
PI_152923,112.5,153,1.480,9.3,12.75,0.225,310,7.2,45.99,64.68,28.32,6.85,White
PI_152961,117.5,154.5,1.803,10.75,13.8,0.555,347.5,17.76,40.29,58.36,36.44,5.97,White
PI_152963,NA,157,2.610,8.25,NA,0.39,399,12.48,48.89,71.91,23.04,8.29,Red
PI_152965,104,154,1.710,14.3,11.9,0.2775,197,8.88,32.03,49.49,45.43,4.56,Red
PI_152966,105,158,1.940,10.85,14.1,0.495,369,15.84,40.4,60.57,34.49,6.88,Yellow
PI_152967,112.5,159.5,2.260,13.2,10.2,0.505,338,16.16,36.24,53.3,43.17,5.63,White
PI_152971,104,158.5,2.770,14,13.1,0.4625,342.5,14.8,34.23,52.45,43.81,5.57,White
PI_153877,NA,159,2.205,9.35,NA,0.4275,416,13.68,54.72,78.24,15.76,10.09,Yellow
PI_154750,134,158,2.770,9.7,NA,0.7225,452,23.12,43.63,65.13,31.5,7.84,Red
PI_154844,NA,159.5,2.955,12.35,NA,0.805,371,25.76,35.46,53.76,41.91,5.54,NA
PI_154846,134,158,2.175,11.45,NA,0.4825,410.5,15.44,40.85,61.89,34.94,7.50,Red
PI_154944,109,157,1.913,7.75,12.3,0.3075,316.5,9.84,35.84,55.94,41.04,5.68,Red
PI_154987,129,157,2.450,10.7,12.1,0.49,410,15.68,43.74,63.7,31.22,6.74,Red
PI_154988,74,118.5,0.685,8.75,8.35,0.12,152.5,3.84,48.31,75.05,14.16,6.61,Red
PI_155149,NA,159,6.325,11.5,NA,0.795,475,25.44,45.05,65.26,30.97,7.15,Yellow
PI_155516,NA,157.5,3.253,8.75,NA,0.4725,396.5,15.12,46.68,68.48,25.39,7.35,Red
PI_155760,87.5,126,0.870,9.85,12.7,0.235,304,7.52,48.22,71.32,22.79,6.95,White
PI_155885,NA,158,2.930,7.75,NA,0.4575,409,14.64,49.6,71.09,23.17,8.62,White
PI_156018,NA,159,1.495,7.85,NA,0.2925,335,9.36,50.68,74.81,18.2,9.26,Brown
PI_156178,NA,158,1.968,6.9,NA,0.34,359.5,10.88,45.94,69.6,24.55,7.35,Brown
PI_156203,NA,159,2.605,9.7,NA,0.38,372.5,12.16,39.67,58.34,36.48,5.56,Red
PI_156217,NA,159,4.180,9.3,NA,0.43,422,13.76,42.54,62.3,34.14,6.41,Brown
PI_156268,NA,158.5,6.588,8.6,NA,1.14,496,36.48,43.81,64.53,30.39,7.18,Brown
PI_156326,NA,156,4.520,7,NA,0.435,370,13.92,45.59,67.52,24.21,6.92,White
PI_156330,NA,155.5,2.860,6.45,NA,0.335,348,10.72,46.79,70.94,22.05,7.04,Red
PI_156393,NA,158.5,3.778,9,NA,0.485,382.5,15.52,45.15,66.24,30.86,7.99,Red
PI_156463,NA,159,1.558,8.25,NA,0.365,269.5,11.68,39.28,60.19,32.44,5.11,Brown
PI_156487,NA,158,3.098,7.9,NA,0.635,395.5,20.32,47.95,70.9,25.28,7.52,Red
PI_156871,NA,153,0.495,7.1,NA,0.235,340,7.52,49.77,74.91,19.99,8.28,Red
PI_156890,89,132,2.435,15.9,12.5,0.29,300,9.28,NA,NA,NA,NA,Red
PI_157030,NA,154,4.450,7.7,NA,0.32,382,10.24,46.74,71.73,24.43,7.54,Yellow
PI_157033,122,158.5,2.080,13.35,10.8,0.48,304.5,15.36,42.15,61.7,32.06,5.63,Brown
PI_157035,134,159,2.070,12.8,NA,0.4875,387.5,15.6,38.62,61.46,34,4.68,Red
PI_157804,71,112,0.643,8.4,10.35,0.16,257,5.12,43.24,65.26,27.19,5.90,White
PI_167093,107.5,135,1.330,13.6,10.45,0.3575,400,11.44,47.35,67.08,28.66,7.12,NA
PI_170787,80,118.5,1.165,12.6,12.9,0.245,232,7.84,NA,NA,NA,NA,Brown
