 ,RA1,RA2,RA3,RA4,RA5,RA6,RA7,RA8,RA9,RA10,RA11,RA12,RA13,RA14,RA15,RA16,RA17,RA18,RA19,RA20,RA21,RA22,RA23,RA24,RA25,RA26,RA27,RA28,RA29,RA30,RA31,RA32
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
Rw8,0.20598,0.4983,0.45008,0.61987,0.68466,0.036834,0.32332,0.2772,0.56091,0.53066,0.28782,0.56239,0.74121,0.027001,0.43038,0.68343,0.37653,0.72262,0.53085,0.12959,0.1392,0.54648,0.11506,0.10414,0.62291,0.38981,0.35177,0.55719,0.25609,0.53058,0.2901,0.61465
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
Rw12,0.98017,0.57169,0.60312,0.87528,0.64674,0.68841,0.50111,0.87729,0.64919,0.8344,0.26761,0.98345,0.7255,0.17474,0.86779,0.99554,0.5345,0.39334,0.16982,0.58217,0.60195,0.47049,0.86737,0.46809,0.1412,0.96949,0.45467,0.88498,0.42702,0.058314, , 
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
Rw14,0.015795,0.38652,0.18437,0.99964,0.5424,0.75137,0.51593,0.64914,0.06853,0.6037,0.85364,0.46468,0.9792,0.002585,0.67607,0.59913,0.91882,0.60044,0.72972,0.3519,0.30556,0.65076,0.52282,0.82325,0.56683,0.99565,0.29704,0.77803,0.28461,0.99757,0.48278,0.99786
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
Rw20, , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0.63549,0.57429, 
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
Rw23,0.32513,0.66547,0.054595,0.59142,0.22311,0.32153,0.25524,0.067038,0.5789,0.56739,0.96,0.87401,0.53236,0.9928,0.68286,0.55973,0.20387,0.67054,0.59794,0.37458,0.31059,0.68772,0.38242,0.33467,0.17382,0.66813,0.046983,0.040467,0.21839,0.062679,0.38877,0.98789
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
