 ,RA1,RA2,RA3,RA4,RA5,RA6,RA7,RA8,RA9,RA10,RA11,RA12,RA13,RA14,RA15,RA16,RA17,RA18,RA19,RA20,RA21,RA22,RA23,RA24,RA25,RA26,RA27,RA28,RA29,RA30,RA31,RA32
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
Rw8,0.23164,0.34256,0.18817,0.33212,0.13951,0.31217,0.2008,0.10363,0.22121,0.35114,0.31048,0.31519,0.30079,0.27379,0.20947,0.26723,0.31943,0.25422,0.2199,0.30164,0.25045,0.17627,0.24339,0.38546,0.40779,0.18311,0.11754,0.16602,0.22929,0.29333,0.16515,0.22313
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
Rw12,0.16014,0.1795,0.093902,0.08781,0.21464,0.11741,0.068229,0.13759,0.13172,0.239,0.17523,0.1106,0.33778,0.20033,0.1075,0.15244,0.29087,0.16265,0.21016,0.25958,0.064164,0.19077,0.18578,0.2003,0.24318,0.20584,0.18347,0.14699,0.20722,0.12734, , 
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
Rw14,0.13222,0.19031,0.1752,0.18023,0.21019,0.10909,0.20256,0.18522,0.18758,0.31357,0.24983,0.24354,0.20873,0.30143,0.20599,0.00042983,0.1785,0.16441,0.0983,0.12644,0.27872,0.21681,0.34307,0.27229,0.16111,0.27494,0.22508,0.32552,0.27247,0.2516,0.10295,0.19991
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
Rw19, , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0.071457,0.19396,0.44068
Rw20,0.2125,0.29978,0.26124,0.18672,0.26604,0.25431,0.19075,0.18669,0.32957,0.40059,0.19572,0.10329,0.3706,0.32878,0.30438,0.25261,0.22341,0.30016,0.26245,0.044323,0.17624,0.20848,0.31482,0.14663,0.24634,0.25717,0.25046,0.28886,0.18361, , , 
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
