 ,RA1,RA2,RA3,RA4,RA5,RA6,RA7,RA8,RA9,RA10,RA11,RA12,RA13,RA14,RA15,RA16,RA17,RA18,RA19,RA20,RA21,RA22,RA23,RA24,RA25,RA26,RA27,RA28,RA29,RA30,RA31,RA32
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
Rw8,0.28323,0.50215,0.57839,0.42855,0.23745,0.78497,0.26721,0.43919,0.37948,0.59526,0.54676,0.52646,0.82874,0.59966,0.60199,0.6339,0.59269,0.4396,0.66792,0.5662,0.5252,0.47105,0.44951,0.71988,0.58007,0.61234,0.46843,0.60501,0.56461,0.7881,0.98368,0.64487
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
Rw12,0.20227,0.27881,0.47673,0.50044,0.2223,0.40257,0.28642,0.21827,0.23744,0.27656,0.42605,0.12995,0.49948,0.39409,0.31154,0.25121,0.36212,0.40552,0.19436,0.33318,0.20201,0.2909,0.36702,0.52249,0.56304,0.38235,0.39427,0.32456,0.50909,0.47827, , 
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
Rw14,0.17583,0.3785,0.4121,0.29541,0.273,0.29414,0.25606,0.26421,0.22243,0.27987,0.39338,0.31087,0.24326,0.23885,0.28408,0.25902,0.29693,0.38388,0.31115,0.20801,0.41736,0.25033,0.41369,0.51,0.38354,0.47288,0.52966,0.25421,0.27739,0.28421,0.48016,0.53117
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
Rw19, , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0.22741,0.22826,0.2298
Rw20,0.7109,0.53387,0.44191,0.58231,0.50022,0.29919,0.22108,0.18155,0.50682,0.57801,0.23594,0.10388,0.45608,0.34945,0.72293,0.54129,0.53882,0.40188,0.36509,0.36669,0.34643,0.23621,0.34609,0.25418,0.14269,0.37873,0.36414,0.26686,0.30574, , , 
Rw21,0.39812,0.3552,0.38187,0.29668,0.24827,0.29205,0.072625,0.16615,0.3313,0.44634,0.46107,0.30864,0.23186,0.33239,0.36538,0.20717,0.47175,0.2055,0.37762,0.36311,0.34158,0.31469,0.24752,0.5024,0.19254,0.32925,0.32881,0.27381,0.411,0.34468,0.6323,0.26995
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
