 ,RA1,RA2,RA3,RA4,RA5,RA6,RA7,RA8,RA9,RA10,RA11,RA12,RA13,RA14,RA15,RA16,RA17,RA18,RA19,RA20,RA21,RA22,RA23,RA24,RA25,RA26,RA27,RA28,RA29,RA30,RA31,RA32
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
Rw6,0.044343,0.060571,0.068853,0.086981,0.066721,0.069508,0.066281,0.076513,0.074749,0.069687,0.083589,0.084007,0.066102,0.061004,0.062465,0.061036,0.069093,0.062203,0.079281,0.062394,0.070159,0.068524,0.048492,0.067863,0.058498,0.071839,0.077208,0.048558,0.062287,0.076347,0.057192,0.050494
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
Rw10,0.046189,0.06802,0.052494,0.059059,0.07285,0.066978,0.069132,0.070819,0.071213,0.072141,0.04278,0.048191,0.070845,0.039761,0.073721,0.070478,0.071832,0.059265,0.056135,0.051304,0.051941,0.071761,0.079687,0.05793,0.062472,0.067071,0.05056,0.083953,0.060458,0.081422,0.060558,0.033785
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
Rw13,0.064667,0.063836,0.042598,0.049009,0.062011,0.066646,0.060006,0.043152,0.068398,0.047421,0.062695,0.05897,0.064202,0.066601,0.057757,0.063885,0.066236,0.035336,0.028418,0.066658,0.061262,0.048591,0.084937,0.053021,0.032291,0.053547,0.062797,0.083234,0.057663,0.067749,0.048037,0.032588
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
Rw17,0.038722,0.077824,0.075397,0.061227,0.09946,0.0677,0.074379,0.057376,0.065978,0.063464,0.074378,0.034441,0.066156,0.079138,0.073168,0.079645,0.04885,0.064525,0.068911,0.071669,0.049228,0.065695,0.081218,0.099548,0.092059,0.06476,0.079951,0.084963,0.079846,0.070905,0.085175,0.076998
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
Rw21,0.055459,0.082811,0.092866,0.079158,0.074076,0.059646,0.088428,0.080596,0.081011,0.092359,0.07472,0.074914,0.097062,0.088993,0.078869,0.076141,0.083521,0.068576,0.083199,0.078093,0.07666,0.075243,0.085641,0.075529,0.078358,0.08222,0.093404,0.076627,0.070957,0.070976,0.051332,0.057354
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
