,,,,,,,,,
Row,Range,Side of Row,Manual 1 (lbf),Manual 2 (lbf),Manual 3 (lbf),Manual 4 (lbf),Diameter (mm),GPS (N),GPS (W)
94,28,L,8.45,9.3,6.4,6.95,10.75,34.6245798983,-82.738418915
94,28,R,14.75,12.05,11.55,-,23.75,34.6245798983,-82.738418915
94,28,L,7.7,7.7,8.4,5.9,13.1,34.6245731433,-82.7384187667
94,28,R,9.55,8.25,8.65,9.25,16.15,34.6245731433,-82.7384187667
94,27,R,11.55,10.95,10.55,9.85,-,34.62454267,-82.73842959
94,27,L,11.75,12.75,11.15,10.3,17.25,34.62453498,-82.7384370133
94,27,R,6.85,7.7,7,7.15,-,34.62453498,-82.7384370133
94,25,L,4.3,3.6,6,6.1,20.4,34.6244253417,-82.73847907
94,25,R,9.3,10,11.1,10.3,14.25,34.6244253417,-82.73847907
94,24,L,3.85,3.7,9.6,4.1,8.55,34.6244128383,-82.7384798117
94,24,R,3.15,4.35,3.85,4.75,14.08,34.6244128383,-82.7384798117
94,22,L,11.6,9.8,10.6,11.9,14.2,34.62434874,-82.7385125767
94,22,R,13.9,11.05,11.1,8,16.3,34.6243281383,-82.738523375
94,21,L,12,9.4,16,12.4,15.75,34.6243075717,-82.738523375
94,21,R,11.8,10.25,12.95,10,15,34.6243075717,-82.738523375
94,20,L,13.15,13.25,11.15,12.9,14.95,34.6242607,-82.7385325783
94,20,L,27.7,18.1,22.95,18.1,16.31,34.6242586883,-82.7385426933
94,20,R,17.2,16.35,16.8,17.1,15.61,34.6242586883,-82.7385426933
94,19,L,8,5.9,6,11.05,12.65,34.62422346,-82.7385537767
94,19,R,9.9,10.35,9.1,8.15,19.11,34.62422346,-82.7385537767
94,19,L,12.55,13.7,8.65,12.65,14.05,34.6242014767,-82.73855686
94,19,R,8.2,7.95,6.2,6.3,14.54,34.6242014767,-82.73855686
94,18,R,6.95,6.65,4.7,6.35,11.53,34.62418788,-82.7385663
94,18,R,4.3,5.5,3.8,4.2,-,34.62417717,-82.7385614167
94,18,L,5.25,4.75,4.7,5,9.9,34.62417363,-82.7385784667
94,18,R,12.4,11.9,11.5,12.05,18.7,34.62417363,-82.7385784667
94,17,R,8.35,8.25,7.35,6.9,-,34.6241386233,-82.7385905517
94,16,R,12.1,9.5,9.65,8.75,-,34.624106885,-82.7385942433
94,16,L,7.6,8.65,7.5,11.55,13,34.6241003733,-82.7386078233
94,16,R,6,6.15,7.15,5.45,10.75,34.6241003733,-82.7386078233
94,14,R,10.7,9.7,8.4,9.15,17.2,34.62403044,-82.7386234267
94,14,L,10.05,10.5,10,10,15.15,34.6240287933,-82.7386365567
94,14,R,13.25,12.65,10.2,10.05,19.16,34.6240287933,-82.7386365567
94,14,R,6.85,7.75,5.4,5.9,13.9,34.6240219033,-82.738639405
94,12,R,11.7,10.25,14.35,8.55,20.6,34.6239574583,-82.738664285
94,12,L,6.3,5.68,6.1,4.65,16.6,34.623950645,-82.7386670933
94,12,R,3.05,2.4,2.5,2.3,5.4,34.623950645,-82.7386670933
94,12,L,6.5,4.75,5.35,4.25,12.3,34.623938395,-82.7386623717
94,11,L,6,5.25,5.8,6.4,21.7,34.6239204233,-82.738682645
94,11,R,5.5,5.5,4.85,4.95,16.8,34.6239204233,-82.738682645
94,11,L,5.55,5.3,6.35,5.25,16.05,34.6239086083,-82.73868248
94,11,R,5.85,5.6,6.25,5.3,17.9,34.6239086083,-82.73868248
94,10,L,10.5,11.35,10.55,10.15,19.35,34.623844455,-82.73871332
94,10,R,7.4,6.95,10.65,7.95,12.72,34.623844455,-82.73871332
94,9,L,5.05,5.8,4.95,4.9,16.02,34.623825575,-82.7387182817
94,8,R,11,11.3,9,13.3,-,34.6237996617,-82.738728285
94,8,R,9.1,9.25,4.35,8.25,8.77,34.6237806967,-82.7387374467
94,7,L,10.8,9.7,8.55,9.7,14.05,34.6237492367,-82.7387371267
94,7,L,6,6.45,6.3,6.2,12.94,34.623721935,-82.73875834
94,7,R,10.7,5.3,6.15,8.75,-,34.623721935,-82.73875834
94,6,L,5.6,6,6.35,6.75,8.61,34.623709115,-82.738764465
94,6,L,8.85,8.55,5.05,6.85,15.98,34.623696305,-82.7387693117
94,5,L,9.4,10.3,10.1,8.3,22.25,34.62367235,-82.73877686
94,5,R,12.05,10.7,9.55,10.4,18.3,34.62367235,-82.73877686
94,5,L,3.8,3.25,3.15,2.65,-,34.623665435,-82.7387700117
94,5,R,7,6.4,6.3,7,17.42,34.623665435,-82.7387700117
94,5,L,4.85,4,4.95,4.6,14.4,34.6236606567,-82.7387797383
94,5,R,10.25,1.08,11,12.25,20.3,34.6236606567,-82.7387797383
94,4,R,5.85,5.25,7.6,5.6,-,34.623639255,-82.738792385
94,4,L,9.1,9.65,9.45,7.2,-,34.6236316933,-82.738790285
94,4,R,6.2,6.5,8.5,6.6,-,34.623620105,-82.7387859067
