,,,,,,,,,
Row,Range,Automated (lbf),Manual 1 (lbf),Manual 2 (lbf),Manual 3 (lbf),Manual 4 (lbf),Manual 5 (lbf),Manual 6 (lbf),Diameter (mm)
1-3,31,16.09,18.45,22.05,16.35,14.95,17.95,-,<20
1-3,31,10.56,9.45,12.35,8.3,10.7,10.2,-,<20
1-3,31,12.79,12.45,24.5,15.65,13.85,16.6125,-,<20
1-3,31,10.86,11.45,11.65,10.25,11.15,11.125,-,<20
1-3,31,10.8,12.4,15.4,14.5,14.05,14.0875,-,<20
1-3,31,20.519,22.15,21.3,20.15,25.95,22.3875,-,<20
1-3,31,17.5,21.5,15.45,21.05,15.45,18.3625,-,23
1-3,31,18.59,19.25,20.3,16.15,14.5,17.55,-,22
1-3,31,11.22,11.4,10.65,13.55,11.75,11.8375,-,<20
1-3,31,12.031,16.05,13.85,12.7,10.2,10.75,14.15,22
1-3,31,16.96,14.2,15.6,15.2,16.2,18.2,12.4,23
1-3,31,9.38,15.3,8.9,10.9,12,12.95,10.8,17.92
1-3,31,19.52,20.95,19.15,19.5,21.25,19.05,20.4,27
1-3,31,21.17,26.3,24.3,21.4,21.95,20.45,26,27.9
1-3,31,21.92,21.3,19.65,22.25,22.15,22.45,26.5,29
1-3,31,20.69,18.05,15.15,15,14.35,20.35,16,21.1
1-3,31,23.85,21.3,24.1,19.3,19.15,24.9,19.55,24.5
76,30,13.26,13.25,12.75,11,12.85,14.85,14.75,26.46
75,30,15.65,17.35,17.4,18.05,17,17.8,18.4,26.6
73,30,17.56,15.7,16.6,16.6,19.4,17.3,14.7,23.2
72,30,30.01,17.1,27.9,22,21.65,22.65,25.55,31.5
71,30,15.62,14.45,14.95,14.25,16.75,18.95,19.15,26.6
70,30,20.2,18.6,16.9,15.75,19.2,20.1,17.15,25
69,30,16.68,13.75,13.2,13.6,15.85,17.3,16.8,25.8
68,31,19.65,18.75,19.05,15.5,18.9,17.6,18.3,29
46,30,17.77,9.9,13.7,16.65,15.25,22.05,11.65,23.95
42,30,21.46,28.15,21.1,24.9,23,20.65,24.6,26.02
33,30,22.119,17.25,20.65,19.5,20.05,20.9,17.85,23.98
30,31,7.036,12.05,10.4,12.4,8.65,8.35,10.35,27.37
26,31,17.55,14.25,20.5,23.65,16.5,14.95,15.1,25.75
25,31,27.7,26.65,27.35,35.95,24.85,24.6,32.2,26.97
18,31,11.87,10.8,10.7,9.45,14.45,13.35,15.5,27.5
20,31,12.08,13.25,15.6,14.5,15.25,19.5,12.4,26.44
19,30,27.7,43.7,48.5,46.15,34.75,32.8,38.9,33.05
17,31,10.2,9.1,9.35,13.05,10.6,14.15,9.55,26.5
13,31,27.702,35.15,30.95,32.6,31.35,32,26.55,23.49
7,31,13.988,12.75,14,14.8,16.55,13.9,12.35,20.7
10,32,9.607,13.75,7.95,16.3,12.7,16.1,11.4,22.7
12,32,10.095,9.7,10.95,9.4,11,12.7,15.35,<20
22,32,27.7,26.4,29.15,32.8,37.25,34.45,28.2,37.8
22,32,16.25,17.15,13.9,14.2,13.2,17.25,20.9,27.16
28,32,8.77,8.4,11.95,10.2,7.95,8.75,8.95,25
41,32,21.25,21.55,21.6,19.45,20.65,20.8,21.65,29
43,32,9.07,9.65,8.2,10.25,14.9,10.15,10.75,26.6
45,32,13.83,13.85,12.85,13.1,12.55,14.05,15.1,30.16
69,32,12.56,12,12.25,13.9,14.6,13.5,13.7,25.2
81,31,23.345,31.45,28.05,24.4,23.15,31.6,34.45,26.2
