Sample ID,ADF,AD-ICP,Adj_CP,aNDFom,Ash,Crude protein,DCAD,Dry Matter,EE Fat,Lignin,NEG OARDC,NEL3x ADF,NEL3x OARDC,NEM OARDC,NFC,SPCP,Starch,TDN OARDC,WSC Sugar,Cellulose,Hemicellulose
SF16-BE-r1-p0003,38.9,0.7,10.56,66.27,3.11,8.45,24.85,91.43,0.97,5.59,30.61,77.14,58.21,54.63,21.05,42.59,0.25,64.55,9.74,33.31,29.23
SF16-BE-r1-p0007,34.87,0.49,5.51,58.64,2.48,5.04,25.18,91.58,0.82,5.92,32.82,67.19,62.03,56.31,30.69,32.14,0.63,65.43,23.22,28.95,24.4
SF16-BE-r1-p0011,31.57,0.59,6.79,56.91,2.25,5.85,22.74,91.14,0.84,5.02,36.21,66.6,63.95,61.84,32.57,41.5,0.9,65.41,26.17,26.55,26.61
SF16-BE-r1-p0015,46.55,0.75,8.24,73.85,1.62,4.37,15.38,92.69,0.96,6.83,25.31,75,55.13,48.22,16.97,-10.29,0.3,62.7,9.97,39.72,28.68
SF16-BE-r1-p0019,39.04,0.56,7.11,66.41,3.36,5.59,26.69,91.86,0.94,6.07,28.39,69.93,58.04,51.69,24.43,30.71,0.12,62.28,12.93,32.97,29.23
SF16-BE-r1-p0023,34.32,0.53,7.87,60.2,3.09,8.11,25.05,91.19,0.9,5.18,34.02,71.24,61.71,57.73,26.67,73.83,0.57,67.07,17.79,29.14,27.9
SF16-BE-r1-p0027,31.03,0.43,4.77,58.02,1.89,3.65,29.86,89.44,0.87,3.47,37.83,78.41,66.76,62.44,35.14,5.33,-0.46,73.75,22.97,27.56,29.6
SF16-BE-r1-p0031,47.71,0.77,6.35,75.67,3.52,3.47,20.1,92.99,0.98,7.54,20.53,71.72,51.88,43.16,14.3,-25.88,0.15,58.76,7.17,40.17,29.33
SF16-BE-r1-p0035,38.41,0.65,12.13,65.26,2.55,10.02,14.97,91.92,0.98,5.59,32.59,72.51,59.63,56.87,20.64,82.09,0.76,66.4,13.49,32.82,29.15
SF16-BE-r1-p0039,37.12,0.5,10.33,65.49,2.94,9.41,26.85,92.19,0.94,4.48,33.01,70.85,61.28,57.11,21.04,95.9,0.43,65.54,10.1,32.64,30.66
SF16-BE-r1-p0043,37.6,0.67,11.87,64.09,2.03,7.77,14.46,91.54,1.02,5.55,33.75,83.79,60.34,56.92,21.48,47.96,0.49,74.12,13.97,32.05,28.61
SF16-BE-r1-p0047,35.26,0.58,9.08,62.05,2.95,7.82,28.49,91.62,0.88,5.73,31.95,66.66,60.45,56.86,26.97,61.16,0.48,62.77,17.48,29.53,28.31
SF16-BE-r1-p0051,46.56,0.85,9.64,72.3,2.68,5.95,8.67,91.02,1.09,4.74,28.51,78.91,57.73,53.16,15.61,-12.7,0.18,66.63,10.37,41.82,27.58
SF16-BE-r1-p0055,36.27,0.62,8.41,62.57,2.45,6.19,13.75,91.94,0.87,5.83,32.35,69.56,60.81,57.07,25.4,41.43,1.13,66.02,20.99,30.44,28.3
SF16-BE-r1-p0059,33.5,0.49,6.1,59.82,2.4,5.78,24.64,91.74,0.83,5.56,33.76,66.48,62.4,58.78,31.83,54.97,0.63,64.2,20.34,27.94,27.54
SF16-BE-r1-p0063,27.78,0.51,3.84,49.1,2.56,4.75,20.41,90.72,0.77,5,38.08,71.46,65.98,63.34,40.24,26.27,0.84,69.07,32.72,22.78,25
