Row,Range,Eastings(UTMzone17N),Northings(UTMzone17N)
1.5,1,340660.939,3832646.62
1.5,2,340662.419,3832650.78
1.5,3,340663.969,3832655.15
1.5,4,340665.641,3832659.31
1.5,5,340667.148,3832663.56
1.5,6,340668.688,3832667.91
1.5,7,340670.233,3832672.27
1.5,8,340671.824,3832676.75
1.5,9,340673.358,3832681.08
1.5,10,340674.854,3832685.31
1.5,11,340676.337,3832689.49
1.5,12,340677.902,3832693.91
1.5,13,340679.397,3832698.12
1.5,14,340680.793,3832702.06
1.5,15,340682.347,3832706.45
1.5,16,340683.925,3832710.9
1.5,17,340685.474,3832715.27
1.5,18,340686.985,3832719.53
1.5,19,340688.485,3832723.77
1.5,20,340690.062,3832728.22
1.5,21,340691.646,3832732.69
1.5,22,340693.168,3832736.98
1.5,23,340694.669,3832741.22
1.5,24,340696.223,3832745.6
1.5,25,340697.756,3832749.93
1.5,26,340699.265,3832754.18
1.5,27,340700.802,3832758.52
1.5,28,340702.277,3832762.68
1.5,29,340703.714,3832767.08
1.5,30,340705.197,3832771.26
1.5,31,340706.664,3832775.39
1.5,32,340708.18,3832779.66
2.5,1,340660.249,3832646.84
2.5,2,340661.73,3832651.02
2.5,3,340663.28,3832655.38
2.5,4,340664.946,3832659.54
2.5,5,340666.454,3832663.8
2.5,6,340667.993,3832668.14
2.5,7,340669.538,3832672.5
2.5,8,340671.128,3832676.99
2.5,9,340672.661,3832681.31
2.5,10,340674.157,3832685.54
2.5,11,340675.642,3832689.73
2.5,12,340677.207,3832694.14
2.5,13,340678.702,3832698.36
2.5,14,340680.099,3832702.3
2.5,15,340681.652,3832706.69
2.5,16,340683.229,3832711.13
2.5,17,340684.777,3832715.5
2.5,18,340686.288,3832719.77
2.5,19,340687.788,3832724
2.5,20,340689.365,3832728.45
2.5,21,340690.948,3832732.92
2.5,22,340692.47,3832737.21
2.5,23,340693.972,3832741.45
2.5,24,340695.525,3832745.83
2.5,25,340697.058,3832750.16
2.5,26,340698.567,3832754.42
2.5,27,340700.104,3832758.76
2.5,28,340701.579,3832762.92
2.5,29,340703.017,3832767.31
2.5,30,340704.502,3832771.5
2.5,31,340705.969,3832775.63
2.5,32,340707.485,3832779.9
3.5,1,340659.558,3832647.07
3.5,2,340661.041,3832651.25
3.5,3,340662.59,3832655.61
3.5,4,340664.252,3832659.78
3.5,5,340665.76,3832664.03
3.5,6,340667.298,3832668.37
3.5,7,340668.843,3832672.73
3.5,8,340670.432,3832677.22
3.5,9,340671.965,3832681.54
3.5,10,340673.461,3832685.77
3.5,11,340674.947,3832689.96
3.5,12,340676.511,3832694.38
3.5,13,340678.006,3832698.6
3.5,14,340679.405,3832702.54
3.5,15,340680.958,3832706.92
3.5,16,340682.533,3832711.37
3.5,17,340684.081,3832715.74
3.5,18,340685.591,3832720
3.5,19,340687.092,3832724.24
3.5,20,340688.668,3832728.69
