Plot ID,RA1,RW,SF16h_HGT1_120,SF16h_HGT2_120,SF16h_HGT3_120,SF16h_TWT_120,SF16h_WTP_120,SF16h_WTL_120,SF16h_PAN1_120,SF16h_PAN2_120,SF16h_PAN3_120,Notes
SF-BE-r1-p0003,1,3,72,68,82,0.35,0.30,0.23,31,34,24,
SF-BE-r1-p0007,1,7,229,233,221,1.35,1.27,1.04,25,24,23,
SF-BE-r1-p0011,1,11,165,174,165,0.65,0.61,0.54,13,20,18,
SF-BE-r1-p0015,1,15,161,184,183,0.22,0.19,0.16,22,23,23,
SF-BE-r1-p0019,1,19,197,224,177,1.45,NA,1.22,NA,NA,NA,
SF-BE-r1-p0023,1,23,146,139,158,1.12,NA,0.85,NA,NA,NA,
SF-BE-r1-p0027,1,27,219,185,239,1.33,NA,1.11,NA,NA,NA,
SF-BE-r1-p0031,1,31,237,214,244,1.12,0.87,0.81,45,39,42,
SF-BE-r1-p0035,1,35,152,120,140,1.24,NA,1.02,NA,NA,NA,
SF-BE-r1-p0039,1,39,151,139,118,1.48,NA,1.22,NA,NA,NA,
SF-BE-r1-p0043,1,43,101,120,119,1.30,NA,1.02,NA,NA,NA,
SF-BE-r1-p0047,1,47,130,137,120,0.97,NA,0.82,NA,NA,NA,
SF-BE-r1-p0051,2,3,75,73,70,0.15,0.10,0.05,16,17,16,
SF-BE-r1-p0055,2,7,140,146,136,0.38,0.34,0.30,18,18,15,
SF-BE-r1-p0059,2,11,230,245,225,0.51,0.50,0.42,20,19,15,
SF-BE-r1-p0063,2,15,260,259,255,1.18,1.15,1.06,18,17,18,
SF-BE-r1-p0067,2,19,143,167,108,0.99,NA,0.78,NA,NA,NA,
SF-BE-r1-p0071,2,23,89,104,104,0.70,NA,0.51,NA,NA,NA,
SF-BE-r1-p0075,2,27,235,233,235,0.82,0.81,0.71,19,19,20,
SF-BE-r1-p0079,2,31,162,128,144,1.87,NA,1.52,NA,NA,NA,
SF-BE-r1-p0083,2,35,247,230,262,1.33,1.26,1.08,16,14,17,
SF-BE-r1-p0087,2,39,87,82,86,0.83,NA,0.62,NA,NA,NA,
SF-BE-r1-p0091,2,43,201,143,131,1.09,NA,0.88,NA,NA,NA,
SF-BE-r1-p0095,2,47,104,108,88,1.00,NA,0.79,NA,NA,NA,
SF-BE-r1-p0099,3,3,134,125,130,0.45,0.41,0.37,15,16,14,
SF-BE-r1-p0103,3,7,183,190,182,0.77,0.65,0.63,33,30,31,
SF-BE-r1-p0107,3,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,
SF-BE-r1-p0111,3,15,152,142,141,0.35,0.30,0.29,20,19,14,
SF-BE-r1-p0115,3,19,109,109,107,0.99,NA,0.78,NA,NA,NA,
SF-BE-r1-p0119,3,23,144,135,124,0.81,NA,0.63,NA,NA,NA,
SF-BE-r1-p0123,3,27,126,127,149,0.84,NA,0.68,NA,NA,NA,
SF-BE-r1-p0127,3,31,146,150,151,1.46,NA,1.18,NA,NA,NA,
SF-BE-r1-p0131,3,35,74,73,77,0.64,NA,0.51,NA,NA,NA,
SF-BE-r1-p0135,3,39,65,66,60,0.84,NA,0.63,NA,NA,NA,
SF-BE-r1-p0139,3,43,121,113,104,1.17,NA,0.94,NA,NA,NA,
SF-BE-r1-p0143,3,47,123,135,117,0.84,NA,0.66,NA,NA,NA,
SF-BE-r1-p0147,4,3,105,102,103,0.20,0.10,0.10,29,27,29,
SF-BE-r1-p0151,4,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,
SF-BE-r1-p0155,4,11,259,231,260,0.87,0.86,0.82,24,24,20,
SF-BE-r1-p0159,4,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,
SF-BE-r1-p0163,4,19,228,234,240,1.39,NA,1.14,NA,NA,NA,
SF-BE-r1-p0167,4,23,131,132,131,1.09,NA,0.95,NA,NA,NA,
SF-BE-r1-p0171,4,27,110,103,111,0.79,NA,0.63,NA,NA,NA,
SF-BE-r1-p0175,4,31,228,222,225,2.15,NA,1.82,NA,NA,NA,
SF-BE-r1-p0179,4,35,141,162,159,1.09,NA,0.93,NA,NA,NA,
SF-BE-r1-p0183,4,39,150,179,128,1.35,NA,1.13,NA,NA,NA,
SF-BE-r1-p0187,4,43,172,163,160,2.13,NA,1.74,NA,NA,NA,
SF-BE-r1-p0191,4,47,203,197,190,1.26,NA,1.06,NA,NA,NA,
SF-BE-r1-p0195,5,3,85,98,99,0.72,0.59,0.42,32,34,35,
SF-BE-r1-p0199,5,7,185,165,158,0.82,0.77,0.73,18,15,16,
SF-BE-r1-p0203,5,11,183,181,194,0.65,0.56,0.50,22,23,23,
SF-BE-r1-p0207,5,15,295,296,270,1.29,1.25,1.10,26,21,23,
SF-BE-r1-p0211,5,19,143,134,108,1.46,NA,1.26,NA,NA,NA,
SF-BE-r1-p0215,5,23,154,138,113,0.91,NA,0.74,NA,NA,NA,
