Plot ID,PI,RA1,RW,XofY
SF-BE-r1-p0001,PI_534120,1,1,1 of 4
SF-BE-r1-p0002,PI_534120,1,2,2 of 4
SF-BE-r1-p0003,PI_534120,1,3,3 of 4
SF-BE-r1-p0004,PI_534120,1,4,4 of 4
SF-BE-r1-p0005,PI_255744,1,5,1 of 4
SF-BE-r1-p0006,PI_255744,1,6,2 of 4
SF-BE-r1-p0007,PI_255744,1,7,3 of 4
SF-BE-r1-p0008,PI_255744,1,8,4 of 4
SF-BE-r1-p0009,PI_196586,1,9,1 of 4
SF-BE-r1-p0010,PI_196586,1,10,2 of 4
SF-BE-r1-p0011,PI_196586,1,11,3 of 4
SF-BE-r1-p0012,PI_196586,1,12,4 of 4
SF-BE-r1-p0013,PI_92270,1,13,1 of 4
SF-BE-r1-p0014,PI_92270,1,14,2 of 4
SF-BE-r1-p0015,PI_92270,1,15,3 of 4
SF-BE-r1-p0016,PI_92270,1,16,4 of 4
SF-BE-r1-p0017,PI_329299,1,17,1 of 4
SF-BE-r1-p0018,PI_329299,1,18,2 of 4
SF-BE-r1-p0019,PI_329299,1,19,3 of 4
SF-BE-r1-p0020,PI_329299,1,20,4 of 4
SF-BE-r1-p0021,PI_156487,1,21,1 of 4
SF-BE-r1-p0022,PI_156487,1,22,2 of 4
SF-BE-r1-p0023,PI_156487,1,23,3 of 4
SF-BE-r1-p0024,PI_156487,1,24,4 of 4
SF-BE-r1-p0025,PI_583832,1,25,1 of 4
SF-BE-r1-p0026,PI_583832,1,26,2 of 4
SF-BE-r1-p0027,PI_583832,1,27,3 of 4
SF-BE-r1-p0028,PI_583832,1,28,4 of 4
SF-BE-r1-p0029,CHECK,1,29,1 of 4
SF-BE-r1-p0030,CHECK,1,30,2 of 4
SF-BE-r1-p0031,CHECK,1,31,3 of 4
SF-BE-r1-p0032,CHECK,1,32,4 of 4
SF-BE-r1-p0033,PI_297171,1,33,1 of 4
SF-BE-r1-p0034,PI_297171,1,34,2 of 4
SF-BE-r1-p0035,PI_297171,1,35,3 of 4
SF-BE-r1-p0036,PI_297171,1,36,4 of 4
SF-BE-r1-p0037,PI_329511,1,37,1 of 4
SF-BE-r1-p0038,PI_329511,1,38,2 of 4
SF-BE-r1-p0039,PI_329511,1,39,3 of 4
SF-BE-r1-p0040,PI_329511,1,40,4 of 4
SF-BE-r1-p0041,PI_156330,1,41,1 of 4
SF-BE-r1-p0042,PI_156330,1,42,2 of 4
SF-BE-r1-p0043,PI_156330,1,43,3 of 4
SF-BE-r1-p0044,PI_156330,1,44,4 of 4
SF-BE-r1-p0045,PI_620072,1,45,1 of 4
SF-BE-r1-p0046,PI_620072,1,46,2 of 4
SF-BE-r1-p0047,PI_620072,1,47,3 of 4
SF-BE-r1-p0048,PI_620072,1,48,4 of 4
SF-BE-r1-p0049,PI_365512,2,1,1 of 4
SF-BE-r1-p0050,PI_365512,2,2,2 of 4
SF-BE-r1-p0051,PI_365512,2,3,3 of 4
SF-BE-r1-p0052,PI_365512,2,4,4 of 4
SF-BE-r1-p0053,PI_586435,2,5,1 of 4
SF-BE-r1-p0054,PI_586435,2,6,2 of 4
