PlotID,PI,Ra,Rw,XofY,TAG,Con,Barcode,End
SF-BE-r1-p0001,PI_534120,1,1,1 of 4,,,SF-BE-r1-p0001,
SF-BE-r1-p0003,PI_534120,1,3,3 of 4,BIOMASS,BMS.,BMS.SF-BE-r1-p0003,ANTHESIS
SF-BE-r1-p0003,PI_534120,1,3,3 of 4,PANICLE,PAN.,PAN.SF-BE-r1-p0003,MATURITY
SF-BE-r1-p0003,PI_534120,1,3,3 of 4,LEAF,LEF.,LEF.SF-BE-r1-p0003,
SF-BE-r1-p0005,PI_255744,1,5,1 of 4,,,SF-BE-r1-p0005,
SF-BE-r1-p0007,PI_255744,1,7,3 of 4,BIOMASS,BMS.,BMS.SF-BE-r1-p0007,ANTHESIS
SF-BE-r1-p0007,PI_255744,1,7,3 of 4,PANICLE,PAN.,PAN.SF-BE-r1-p0007,MATURITY
SF-BE-r1-p0007,PI_255744,1,7,3 of 4,LEAF,LEF.,LEF.SF-BE-r1-p0007,
SF-BE-r1-p0009,PI_196586,1,9,1 of 4,,,SF-BE-r1-p0009,
SF-BE-r1-p0011,PI_196586,1,11,3 of 4,BIOMASS,BMS.,BMS.SF-BE-r1-p0011,ANTHESIS
SF-BE-r1-p0011,PI_196586,1,11,3 of 4,PANICLE,PAN.,PAN.SF-BE-r1-p0011,MATURITY
SF-BE-r1-p0011,PI_196586,1,11,3 of 4,LEAF,LEF.,LEF.SF-BE-r1-p0011,
SF-BE-r1-p0013,PI_92270,1,13,1 of 4,,,SF-BE-r1-p0013,
SF-BE-r1-p0015,PI_92270,1,15,3 of 4,BIOMASS,BMS.,BMS.SF-BE-r1-p0015,ANTHESIS
SF-BE-r1-p0015,PI_92270,1,15,3 of 4,PANICLE,PAN.,PAN.SF-BE-r1-p0015,MATURITY
SF-BE-r1-p0015,PI_92270,1,15,3 of 4,LEAF,LEF.,LEF.SF-BE-r1-p0015,
SF-BE-r1-p0017,PI_329299,1,17,1 of 4,,,SF-BE-r1-p0017,
SF-BE-r1-p0019,PI_329299,1,19,3 of 4,BIOMASS,BMS.,BMS.SF-BE-r1-p0019,ANTHESIS
SF-BE-r1-p0019,PI_329299,1,19,3 of 4,PANICLE,PAN.,PAN.SF-BE-r1-p0019,MATURITY
SF-BE-r1-p0019,PI_329299,1,19,3 of 4,LEAF,LEF.,LEF.SF-BE-r1-p0019,
SF-BE-r1-p0021,PI_156487,1,21,1 of 4,,,SF-BE-r1-p0021,
SF-BE-r1-p0023,PI_156487,1,23,3 of 4,BIOMASS,BMS.,BMS.SF-BE-r1-p0023,ANTHESIS
SF-BE-r1-p0023,PI_156487,1,23,3 of 4,PANICLE,PAN.,PAN.SF-BE-r1-p0023,MATURITY
SF-BE-r1-p0023,PI_156487,1,23,3 of 4,LEAF,LEF.,LEF.SF-BE-r1-p0023,
SF-BE-r1-p0025,PI_583832,1,25,1 of 4,,,SF-BE-r1-p0025,
SF-BE-r1-p0027,PI_583832,1,27,3 of 4,BIOMASS,BMS.,BMS.SF-BE-r1-p0027,ANTHESIS
SF-BE-r1-p0027,PI_583832,1,27,3 of 4,PANICLE,PAN.,PAN.SF-BE-r1-p0027,MATURITY
SF-BE-r1-p0027,PI_583832,1,27,3 of 4,LEAF,LEF.,LEF.SF-BE-r1-p0027,
SF-BE-r1-p0029,CHECK,1,29,1 of 4,,,SF-BE-r1-p0029,
SF-BE-r1-p0031,CHECK,1,31,3 of 4,BIOMASS,BMS.,BMS.SF-BE-r1-p0031,ANTHESIS
SF-BE-r1-p0031,CHECK,1,31,3 of 4,PANICLE,PAN.,PAN.SF-BE-r1-p0031,MATURITY
SF-BE-r1-p0031,CHECK,1,31,3 of 4,LEAF,LEF.,LEF.SF-BE-r1-p0031,
SF-BE-r1-p0033,PI_297171,1,33,1 of 4,,,SF-BE-r1-p0033,
SF-BE-r1-p0035,PI_297171,1,35,3 of 4,BIOMASS,BMS.,BMS.SF-BE-r1-p0035,ANTHESIS
SF-BE-r1-p0035,PI_297171,1,35,3 of 4,PANICLE,PAN.,PAN.SF-BE-r1-p0035,MATURITY
SF-BE-r1-p0035,PI_297171,1,35,3 of 4,LEAF,LEF.,LEF.SF-BE-r1-p0035,
