Taxa,PHOTOPERIOD,Type,Origin,Race
PI_144134,PHOTOPERIOD_INSENSITIVE,Sweet,NA,NA
PI_145619,PHOTOPERIOD_INSENSITIVE,Sweet,South Africa,Caudatum
PI_145626,PHOTOPERIOD_INSENSITIVE,Sweet,South Africa,Kafir-bicolor
PI_145632,PHOTOPERIOD_INSENSITIVE,Sweet,South Africa,NA
PI_145633,PHOTOPERIOD_INSENSITIVE,Cellulosic,South Africa,NA
PI_146890,PHOTOPERIOD_INSENSITIVE,Sweet,Zaire,NA
PI_147224,PHOTOPERIOD_INSENSITIVE,Sweet,India,NA
PI_152591,PHOTOPERIOD_SENSITIVE,Cellulosic,Kenya,Caudatum
PI_152651,PHOTOPERIOD_INSENSITIVE,Sweet,Sudan,NA
PI_152694,PHOTOPERIOD_INSENSITIVE,Sweet,Sudan,NA
PI_152727,PHOTOPERIOD_SENSITIVE,Cellulosic,Kenya,NA
PI_152728,PHOTOPERIOD_SENSITIVE,Cellulosic,Sudan,Durra
PI_152730,PHOTOPERIOD_SENSITIVE,Cellulosic,Kenya,Caudatum-bicolor
PI_152733,PHOTOPERIOD_SENSITIVE,Sweet,Sudan,Caudatum
PI_152751,PHOTOPERIOD_SENSITIVE,Sweet,Sudan,Guinea-caudatum
PI_152771,PHOTOPERIOD_INSENSITIVE,Sweet,Sudan,NA
PI_152816,PHOTOPERIOD_INSENSITIVE,Sweet,Sudan,NA
PI_152828,PHOTOPERIOD_INSENSITIVE,Cellulosic,Zaire,NA
PI_152860,PHOTOPERIOD_SENSITIVE,Sweet,Sudan,NA
PI_152862,PHOTOPERIOD_INSENSITIVE,Sweet,Sudan,NA
PI_152923,PHOTOPERIOD_INSENSITIVE,Cellulosic,Sudan,NA
PI_152961,PHOTOPERIOD_INSENSITIVE,Sweet,Sudan,NA
PI_152963,PHOTOPERIOD_SENSITIVE,Cellulosic,Sudan,NA
PI_152965,PHOTOPERIOD_INSENSITIVE,Sweet,Sudan,Caudatum
PI_152966,PHOTOPERIOD_INSENSITIVE,Sweet,Sudan,NA
PI_152967,PHOTOPERIOD_INSENSITIVE,Sweet,Sudan,NA
PI_152971,PHOTOPERIOD_INSENSITIVE,Sweet,Sudan,NA
PI_153877,PHOTOPERIOD_SENSITIVE,Cellulosic,Kenya,Guinea
PI_154750,PHOTOPERIOD_SENSITIVE,Cellulosic,Uganda,NA
PI_154844,PHOTOPERIOD_SENSITIVE,Sweet,Uganda,Caudatum
PI_154846,PHOTOPERIOD_SENSITIVE,Sweet,Uganda,NA
PI_154944,PHOTOPERIOD_INSENSITIVE,Cellulosic,Uganda,NA
PI_154987,PHOTOPERIOD_SENSITIVE,Sweet,Swaziland,NA
PI_154988,PHOTOPERIOD_INSENSITIVE,Cellulosic,Swaziland,NA
PI_155149,PHOTOPERIOD_SENSITIVE,Sweet,Yemen,NA
PI_155516,PHOTOPERIOD_SENSITIVE,Cellulosic,Zambia,NA
PI_155760,PHOTOPERIOD_INSENSITIVE,Cellulosic,Malawi,Guinea-caudatum
PI_155885,PHOTOPERIOD_SENSITIVE,Cellulosic,Tanzania,NA
PI_156018,PHOTOPERIOD_SENSITIVE,Cellulosic,Zaire,Bicolor
PI_156178,PHOTOPERIOD_SENSITIVE,Cellulosic,Malawi,Guinea
PI_156203,PHOTOPERIOD_SENSITIVE,Cellulosic,Malawi,Caudatum-bicolor
PI_156217,PHOTOPERIOD_SENSITIVE,Cellulosic,Malawi,Caudatum
PI_156268,PHOTOPERIOD_SENSITIVE,Cellulosic,Malawi,Durra
PI_156326,PHOTOPERIOD_SENSITIVE,Cellulosic,Zambia,Caudatum
PI_156330,PHOTOPERIOD_SENSITIVE,Cellulosic,Zambia,Durra-caudatum
PI_156393,PHOTOPERIOD_SENSITIVE,Cellulosic,Tanzania,Caudatum
PI_156463,PHOTOPERIOD_SENSITIVE,Cellulosic,Tanzania,Caudatum
PI_156487,PHOTOPERIOD_SENSITIVE,Cellulosic,Tanzania,Guinea
PI_156871,PHOTOPERIOD_SENSITIVE,Cellulosic,Zaire,Caudatum
PI_156890,PHOTOPERIOD_INSENSITIVE,Sweet,Zaire,NA
PI_157030,PHOTOPERIOD_SENSITIVE,Cellulosic,Kenya,Caudatum
PI_157033,PHOTOPERIOD_SENSITIVE,Sweet,Kenya,Caudatum
PI_157035,PHOTOPERIOD_SENSITIVE,Sweet,Kenya,NA
PI_157804,PHOTOPERIOD_INSENSITIVE,Cellulosic,Sudan,NA
PI_167093,PHOTOPERIOD_INSENSITIVE,Sweet,Egypt,Durra
PI_170787,PHOTOPERIOD_INSENSITIVE,Sweet,Turkey,Caudatum-bicolor
PI_175919,PHOTOPERIOD_INSENSITIVE,Sweet,Turkey,Caudatum-bicolor
PI_176766,PHOTOPERIOD_INSENSITIVE,Cellulosic,Turkey,Bicolor
PI_179749,PHOTOPERIOD_INSENSITIVE,Cellulosic,India,Durra
PI_180348,PHOTOPERIOD_INSENSITIVE,Sweet,India,Durra
PI_181080,PHOTOPERIOD_INSENSITIVE,Cellulosic,India,NA
PI_181083,PHOTOPERIOD_INSENSITIVE,Cellulosic,India,Durra-bicolor
PI_181899,PHOTOPERIOD_INSENSITIVE,Cellulosic,Syria,NA
PI_195754,PHOTOPERIOD_INSENSITIVE,Sweet,China,Kafir-bicolor
PI_196049,PHOTOPERIOD_SENSITIVE,Sweet,Ethiopia,Durra
PI_196583,PHOTOPERIOD_INSENSITIVE,Sweet,NA,NA
PI_196586,PHOTOPERIOD_INSENSITIVE,Sweet,NA,Guinea-kafir
PI_196598,PHOTOPERIOD_INSENSITIVE,GRAIN,NA,NA
PI_197542,PHOTOPERIOD_INSENSITIVE,Cellulosic,Algeria,Bicolor
PI_19770,PHOTOPERIOD_INSENSITIVE,Sweet,South Africa,Caudatum-bicolor
PI_213900,PHOTOPERIOD_INSENSITIVE,Cellulosic,Kenya,Bicolor
PI_217691,PHOTOPERIOD_INSENSITIVE,Cellulosic,Sudan,NA
PI_218112,PHOTOPERIOD_INSENSITIVE,Sweet,Pakistan,Durra
PI_221548,PHOTOPERIOD_INSENSITIVE,Sweet,Nigeria,Kafir
PI_221651,PHOTOPERIOD_SENSITIVE,Cellulosic,Nigeria,Guinea
PI_226096,PHOTOPERIOD_INSENSITIVE,Cellulosic,Kenya,Bicolor
PI_22913,PHOTOPERIOD_INSENSITIVE,Sweet,China,Bicolor
PI_229841,PHOTOPERIOD_INSENSITIVE,Cellulosic,South Africa,Kafir
PI_250583,PHOTOPERIOD_INSENSITIVE,Sweet,Egypt,Durra
PI_251672,PHOTOPERIOD_INSENSITIVE,Sweet,Former Serbia and Montenegro,NA
PI_253986,PHOTOPERIOD_INSENSITIVE,Cellulosic,Syria,NA
PI_255239,PHOTOPERIOD_SENSITIVE,Sweet,Mexico,Kafir-bicolor
PI_255744,PHOTOPERIOD_INSENSITIVE,Cellulosic,Turkey,NA
PI_257599,PHOTOPERIOD_INSENSITIVE,Sweet,Ethiopia,Caudatum
PI_257600,PHOTOPERIOD_INSENSITIVE,Sweet,Ethiopia,Caudatum
PI_266927,PHOTOPERIOD_SENSITIVE,Cellulosic,India,NA
PI_267573,PHOTOPERIOD_SENSITIVE,Cellulosic,Ethiopia,Durra
PI_273465,PHOTOPERIOD_SENSITIVE,Cellulosic,Nigeria,NA
PI_273969,PHOTOPERIOD_INSENSITIVE,Sweet,Ethiopia,NA
PI_276837,PHOTOPERIOD_INSENSITIVE,Sweet,Ethiopia,Durra-caudatum
PI_291246,PHOTOPERIOD_INSENSITIVE,Sweet,Jamaica,Durra
PI_297130,PHOTOPERIOD_SENSITIVE,Sweet,Uganda,Caudatum
PI_297155,PHOTOPERIOD_INSENSITIVE,Cellulosic,Uganda,Kafir
PI_297171,PHOTOPERIOD_SENSITIVE,Cellulosic,Uganda,Caudatum
PI_300117,PHOTOPERIOD_SENSITIVE,Sweet,South Africa,NA
PI_300118,PHOTOPERIOD_INSENSITIVE,Cellulosic,South Africa,NA
PI_300119,PHOTOPERIOD_INSENSITIVE,Cellulosic,South Africa,NA
PI_302252,PHOTOPERIOD_INSENSITIVE,Sweet,China,NA
PI_303658,PHOTOPERIOD_INSENSITIVE,Sweet,Sudan,NA
PI_329256,PHOTOPERIOD_SENSITIVE,Sweet,Ethiopia,NA
PI_329286,PHOTOPERIOD_SENSITIVE,Cellulosic,Ethiopia,NA
PI_329299,PHOTOPERIOD_SENSITIVE,Cellulosic,Ethiopia,NA
PI_329300,PHOTOPERIOD_SENSITIVE,Cellulosic,Ethiopia,NA
PI_329301,PHOTOPERIOD_SENSITIVE,Sweet,Ethiopia,NA
PI_329310,PHOTOPERIOD_SENSITIVE,Sweet,Ethiopia,NA
PI_329319,PHOTOPERIOD_SENSITIVE,Cellulosic,Ethiopia,NA
PI_329326,PHOTOPERIOD_SENSITIVE,Cellulosic,Ethiopia,NA
PI_329333,PHOTOPERIOD_SENSITIVE,Cellulosic,Ethiopia,NA
PI_329338,PHOTOPERIOD_INSENSITIVE,Cellulosic,Ethiopia,NA
PI_329351,PHOTOPERIOD_SENSITIVE,Cellulosic,Ethiopia,NA
PI_329394,PHOTOPERIOD_SENSITIVE,Sweet,Ethiopia,NA
PI_329403,PHOTOPERIOD_SENSITIVE,Sweet,Ethiopia,NA
PI_329435,PHOTOPERIOD_INSENSITIVE,Cellulosic,Ethiopia,NA
PI_329440,PHOTOPERIOD_INSENSITIVE,Sweet,Ethiopia,NA
PI_329465,PHOTOPERIOD_SENSITIVE,Sweet,Ethiopia,NA
PI_329466,PHOTOPERIOD_INSENSITIVE,Cellulosic,Ethiopia,NA
PI_329471,PHOTOPERIOD_SENSITIVE,Cellulosic,Ethiopia,NA
PI_329473,PHOTOPERIOD_SENSITIVE,GRAIN,Ethiopia,NA
PI_329478,PHOTOPERIOD_SENSITIVE,Cellulosic,Ethiopia,NA
PI_329480,PHOTOPERIOD_SENSITIVE,Cellulosic,Ethiopia,NA
PI_329501,PHOTOPERIOD_SENSITIVE,Cellulosic,Ethiopia,NA
PI_329506,PHOTOPERIOD_SENSITIVE,Cellulosic,Ethiopia,NA
PI_329510,PHOTOPERIOD_SENSITIVE,Cellulosic,Ethiopia,NA
PI_329511,PHOTOPERIOD_SENSITIVE,Sweet,Ethiopia,NA
PI_329517,PHOTOPERIOD_SENSITIVE,Cellulosic,Ethiopia,NA
PI_329518,PHOTOPERIOD_SENSITIVE,Cellulosic,Ethiopia,NA
PI_329519,PHOTOPERIOD_SENSITIVE,Cellulosic,Ethiopia,NA
PI_329541,PHOTOPERIOD_SENSITIVE,Cellulosic,Ethiopia,NA
PI_329545,PHOTOPERIOD_SENSITIVE,Cellulosic,Ethiopia,NA
PI_329546,PHOTOPERIOD_SENSITIVE,Cellulosic,Ethiopia,NA
PI_329550,PHOTOPERIOD_SENSITIVE,Cellulosic,Ethiopia,NA
PI_329551,PHOTOPERIOD_SENSITIVE,Cellulosic,Ethiopia,NA
PI_329554,PHOTOPERIOD_SENSITIVE,Cellulosic,Ethiopia,NA
PI_329569,PHOTOPERIOD_SENSITIVE,Cellulosic,Ethiopia,NA
PI_329570,PHOTOPERIOD_SENSITIVE,Cellulosic,Ethiopia,NA
PI_329583,PHOTOPERIOD_SENSITIVE,Cellulosic,Ethiopia,NA
PI_329584,PHOTOPERIOD_SENSITIVE,Cellulosic,Ethiopia,NA
PI_329585,PHOTOPERIOD_SENSITIVE,Cellulosic,Ethiopia,NA
PI_329605,PHOTOPERIOD_SENSITIVE,Cellulosic,Ethiopia,NA
PI_329614,PHOTOPERIOD_SENSITIVE,Cellulosic,Ethiopia,NA
PI_329615,PHOTOPERIOD_SENSITIVE,Cellulosic,Ethiopia,NA
PI_329617,PHOTOPERIOD_SENSITIVE,Cellulosic,Ethiopia,NA
PI_329618,PHOTOPERIOD_SENSITIVE,Cellulosic,Ethiopia,NA
PI_329632,PHOTOPERIOD_SENSITIVE,Cellulosic,Ethiopia,NA
PI_329644,PHOTOPERIOD_SENSITIVE,Cellulosic,Ethiopia,NA
PI_329645,PHOTOPERIOD_SENSITIVE,Sweet,Ethiopia,NA
