Anthesis date (days),Brix (maturity),Brix (milk),Harvest date (days),Stalk height (cm),Total fresh weight (kg),lignin
85.5,10.3,11.6,126.0,243.5,2.193,0.0175055
72.5,10.45,11.2,110.5,203.0,1.11,0.00864675
77.0,12.45,11.65,117.0,269.0,1.675,0.010127
93.0,-1.0,8.35,-1.0,207.0,-1.0,0.0148995
93.0,11.6,14.3,149.0,304.5,2.558,0.017296
78.5,8.95,6.65,124.5,241.0,1.388,0.01431675
86.5,12.15,11.4,126.0,330.0,1.665,0.018495
-1.0,7.5,-1.0,157.5,362.0,2.455,0.046986
94.5,10.2,13.95,158.5,350.5,1.358,0.0193725
103.0,14.0,11.95,147.0,397.5,2.568,0.04968825
-1.0,7.35,-1.0,155.5,346.0,1.773,0.027432
-1.0,7.6,-1.0,152.0,355.0,1.85,0.023793
-1.0,4.45,-1.0,157.5,397.5,2.915,0.0140985
-1.0,14.25,-1.0,158.5,413.0,3.245,0.0375725
134.0,15.1,-1.0,158.5,415.0,2.805,0.0437175
105.0,10.7,11.75,159.5,299.0,2.488,0.02392
115.0,12.45,11.5,158.5,266.0,1.605,0.019285
77.0,9.75,10.85,137.0,183.5,1.338,0.0086025
120.0,14.45,13.9,157.0,372.5,2.783,0.0257355
105.0,12.45,9.3,159.5,515.0,2.225,0.0488585
112.5,9.3,12.75,153.0,310.0,1.48,0.0154125
117.5,10.75,13.8,154.5,347.5,1.803,0.0331335
-1.0,8.25,-1.0,157.0,399.0,2.61,0.032331
104.0,14.3,11.9,154.0,197.0,1.71,0.012654
105.0,10.85,14.1,158.0,369.0,1.94,0.034056
112.5,13.2,10.2,159.5,338.0,2.26,0.0284315
104.0,14.0,13.1,158.5,342.5,2.77,0.02576125
-1.0,9.35,-1.0,159.0,416.0,2.205,0.04313475
134.0,9.7,-1.0,158.0,452.0,2.77,0.056644
-1.0,12.35,-1.0,159.5,371.0,2.955,0.044597
134.0,11.45,-1.0,158.0,410.5,2.175,0.0361875
109.0,7.75,12.3,157.0,316.5,1.913,0.017466
129.0,10.7,12.1,157.0,410.0,2.45,0.033026
74.0,8.75,8.35,118.5,152.5,0.685,0.007932
-1.0,11.5,-1.0,159.0,475.0,6.325,0.0568425
-1.0,8.75,-1.0,157.5,396.5,3.253,0.03472875
87.5,9.85,12.7,126.0,304.0,0.87,0.0163325
-1.0,7.75,-1.0,158.0,409.0,2.93,0.0394365
