SF16h_TWT_120,SF16h_WTP_120,SF16h_WTL_120,2016_07_13-14_Leaf_Necrosis,2016_07_13-14_vegetation_index,2016_08_05-08_vegetation_index,2016_07_13_BAP_Leaf_Area,2016_07_13_laser_plant_height,2016_07_light_interception,2016_08_light_interception,2016_09_light_interception,gps_eastings_UTMzone17N,gps_northings_UTMzone17N,accession_photoperiod,accession_type,accession_origin,accession_race,SYNTHETIC_HGT,SYNTHETIC_PAN,Crude_protein
0.35,0.3,0.23,0.20598,0.057638,0.044343,0.23164,0.28323,-1.0,5.243,-1.0,340657.36925,3832647.82625,1.0,2.0,10.0,0.0,74.0,29.6666666667,8.45
0.15,0.1,0.05,0.4983,0.061963,0.060571,0.34256,0.50215,-1.0,3.5782,-1.0,340658.857125,3832652.01375,1.0,1.0,25.0,2.0,72.6666666667,16.3333333333,5.95
0.45,0.41,0.37,0.45008,0.045175,0.068853,0.18817,0.57839,-1.0,33.5356,-1.0,340660.4055,3832656.37375,1.0,3.0,0.0,0.0,129.666666667,15.0,7.23
0.2,0.1,0.1,0.61987,0.048202,0.086981,0.33212,0.42855,-1.0,41.6864,-1.0,340662.024125,3832660.58,1.0,2.0,33.0,0.0,103.333333333,28.3333333333,4.09
0.72,0.59,0.42,0.68466,0.074037,0.066721,0.13951,0.23745,-1.0,11.8802,-1.0,340663.54325,3832664.865,1.0,2.0,10.0,0.0,94.0,33.6666666667,10.83
0.39,0.3,0.27,0.32332,0.069261,0.066281,0.2008,0.26721,-1.0,4.8346,-1.0,340666.651625,3832673.62875,1.0,1.0,0.0,0.0,147.0,18.6666666667,8.43
0.64,0.52,0.47,0.2772,0.062888,0.076513,0.10363,0.43919,-1.0,21.6676,-1.0,340668.227375,3832678.07375,1.0,2.0,37.0,2.0,105.333333333,18.6666666667,6.58
0.23,0.19,0.17,0.56091,0.043126,0.074749,0.22121,0.37948,-1.0,2.6936,-1.0,340669.763625,3832682.4025,1.0,3.0,0.0,0.0,115.0,19.6666666667,5.35
0.29,0.18,0.16,0.28782,0.07406,0.083589,0.31048,0.54676,-1.0,24.9722,-1.0,340672.707375,3832690.71,1.0,2.0,12.0,2.0,128.666666667,30.6666666667,3.82
0.18,0.12,0.09,0.56239,0.063039,0.084007,0.31519,0.52646,-1.0,2.0267,-1.0,340674.289625,3832695.1725,1.0,2.0,26.0,0.0,65.3333333333,12.6666666667,4.55
0.28,0.12,0.11,0.74121,0.053309,0.066102,0.30079,0.82874,-1.0,30.1549,-1.0,340675.80925,3832699.4575,1.0,2.0,8.0,0.0,137.333333333,19.3333333333,2.82
0.18,0.15,0.15,0.027001,0.058191,0.061004,0.27379,0.59966,-1.0,38.0762,-1.0,340677.24775,3832703.51,1.0,1.0,0.0,0.0,129.0,19.0,5.62
