SF16h_HGT1_120,SF16h_HGT2_120,SF16h_HGT3_120,SF16h_TWT_120,SF16h_WTP_120,SF16h_WTL_120,SF16h_PAN1_120,SF16h_PAN2_120,SF16h_PAN3_120,2016_07_13-14_Leaf_Necrosis,2016_07_13-14_vegetation_index,2016_08_05-08_vegetation_index,2016_07_13_BAP_Leaf_Area,2016_07_13_laser_plant_height,2016_07_light_interception,2016_08_light_interception,2016_09_light_interception,NEG_OARDC
72.0,68.0,82.0,0.35,0.3,0.23,31.0,34.0,24.0,0.20598,0.057638,0.044343,0.23164,0.28323,-1.0,5.243,-1.0,30.61
75.0,73.0,70.0,0.15,0.1,0.05,16.0,17.0,16.0,0.4983,0.061963,0.060571,0.34256,0.50215,-1.0,3.5782,-1.0,28.51
134.0,125.0,130.0,0.45,0.41,0.37,15.0,16.0,14.0,0.45008,0.045175,0.068853,0.18817,0.57839,-1.0,33.5356,-1.0,40.3
105.0,102.0,103.0,0.2,0.1,0.1,29.0,27.0,29.0,0.61987,0.048202,0.086981,0.33212,0.42855,-1.0,41.6864,-1.0,22.78
85.0,98.0,99.0,0.72,0.59,0.42,32.0,34.0,35.0,0.68466,0.074037,0.066721,0.13951,0.23745,-1.0,11.8802,-1.0,29.81
147.0,142.0,152.0,0.39,0.3,0.27,16.0,20.0,20.0,0.32332,0.069261,0.066281,0.2008,0.26721,-1.0,4.8346,-1.0,31.54
110.0,106.0,100.0,0.64,0.52,0.47,17.0,19.0,20.0,0.2772,0.062888,0.076513,0.10363,0.43919,-1.0,21.6676,-1.0,28.8
109.0,118.0,118.0,0.23,0.19,0.17,24.0,18.0,17.0,0.56091,0.043126,0.074749,0.22121,0.37948,-1.0,2.6936,-1.0,25.62
128.0,126.0,132.0,0.29,0.18,0.16,32.0,32.0,28.0,0.28782,0.07406,0.083589,0.31048,0.54676,-1.0,24.9722,-1.0,24.98
66.0,66.0,64.0,0.18,0.12,0.09,13.0,12.0,13.0,0.56239,0.063039,0.084007,0.31519,0.52646,-1.0,2.0267,-1.0,25.78
125.0,146.0,141.0,0.28,0.12,0.11,22.0,20.0,16.0,0.74121,0.053309,0.066102,0.30079,0.82874,-1.0,30.1549,-1.0,22.01
132.0,128.0,127.0,0.18,0.15,0.15,21.0,20.0,16.0,0.027001,0.058191,0.061004,0.27379,0.59966,-1.0,38.0762,-1.0,26.45
143.0,142.0,140.0,0.55,0.39,0.36,17.0,17.0,17.0,0.43038,0.048201,0.062465,0.20947,0.60199,-1.0,21.6823,-1.0,27.71
117.0,124.0,128.0,0.6,0.42,0.35,20.0,20.0,20.0,0.37653,0.064795,0.069093,0.31943,0.59269,-1.0,52.7159,-1.0,24.12
79.0,74.0,70.0,0.1,0.04,0.03,15.0,17.0,21.0,0.72262,0.05247,0.062203,0.25422,0.4396,-1.0,2.2984,-1.0,26.99
114.0,107.0,108.0,0.23,0.22,0.19,21.0,19.0,19.0,0.53085,0.059945,0.079281,0.2199,0.66792,-1.0,36.1488,-1.0,28.02
84.0,91.0,92.0,0.55,0.48,0.42,16.0,18.0,17.0,0.12959,0.050175,0.062394,0.30164,0.5662,-1.0,17.4795,-1.0,34.92
158.0,133.0,141.0,0.34,0.26,0.21,24.0,25.0,20.0,0.1392,0.063869,0.070159,0.25045,0.5252,-1.0,30.584,-1.0,28.72
155.0,147.0,135.0,0.34,0.28,0.28,14.0,18.0,16.0,0.54648,0.054313,0.068524,0.17627,0.47105,-1.0,24.7086,-1.0,38.3
133.0,130.0,140.0,0.5,0.43,0.42,20.0,18.0,15.0,0.10414,0.026803,0.067863,0.38546,0.71988,-1.0,29.4093,-1.0,31.2
82.0,81.0,87.0,0.13,0.09,0.08,22.0,21.0,23.0,0.62291,0.053275,0.058498,0.40779,0.58007,-1.0,2.3654,-1.0,30.81
96.0,88.0,99.0,0.12,0.04,0.03,22.0,26.0,23.0,0.38981,0.052506,0.071839,0.18311,0.61234,-1.0,1.4286,-1.0,19.83
80.0,78.0,94.0,0.41,0.35,0.26,18.0,21.0,19.0,0.35177,0.057339,0.077208,0.11754,0.46843,-1.0,1.1053,-1.0,30.2
128.0,138.0,124.0,0.22,0.17,0.15,10.0,9.0,9.0,0.55719,0.041535,0.048558,0.16602,0.60501,-1.0,4.486,-1.0,28.65
154.0,149.0,158.0,0.28,0.21,0.2,14.0,16.0,17.0,0.25609,0.037898,0.062287,0.22929,0.56461,-1.0,3.145,-1.0,27.55
94.0,103.0,104.0,0.2,0.08,0.05,18.0,21.0,17.0,0.53058,0.065825,0.076347,0.29333,0.7881,-1.0,27.6882,-1.0,21.33
214.0,215.0,217.0,0.82,0.59,0.57,40.0,42.0,41.0,0.2901,0.051087,0.057192,0.16515,0.98368,-1.0,26.697,-1.0,23.64
116.0,119.0,131.0,0.49,0.42,0.38,23.0,20.0,19.0,0.61465,0.053799,0.050494,0.22313,0.64487,-1.0,6.8828,-1.0,33.85
229.0,233.0,221.0,1.35,1.27,1.04,25.0,24.0,23.0,0.98017,0.040373,0.046189,0.16014,0.20227,-1.0,59.6752,52.0167,32.82
140.0,146.0,136.0,0.38,0.34,0.3,18.0,18.0,15.0,0.57169,0.035593,0.06802,0.1795,0.27881,-1.0,3.2697,30.2334,32.35
183.0,190.0,182.0,0.77,0.65,0.63,33.0,30.0,31.0,0.60312,0.035738,0.052494,0.093902,0.47673,-1.0,6.1457,25.3552,30.61
185.0,165.0,158.0,0.82,0.77,0.73,18.0,15.0,16.0,0.64674,0.034666,0.07285,0.21464,0.2223,-1.0,28.8256,35.5108,36.26
261.0,261.0,277.0,2.27,2.17,1.91,26.0,21.0,23.0,0.68841,0.051743,0.066978,0.11741,0.40257,-1.0,47.5716,55.9628,34.21
234.0,194.0,240.0,0.84,0.62,0.57,48.0,46.0,39.0,0.50111,0.046226,0.069132,0.068229,0.28642,-1.0,37.3226,47.8291,23.34
183.0,184.0,157.0,0.73,0.62,0.6,23.0,24.0,25.0,0.64919,0.051326,0.071213,0.13172,0.23744,-1.0,25.1268,20.4903,37.4
280.0,277.0,283.0,1.44,1.39,1.29,22.0,21.0,19.0,0.8344,0.030932,0.072141,0.239,0.27656,-1.0,40.0431,66.1361,37.7
216.0,187.0,197.0,0.65,0.6,0.54,17.0,15.0,16.0,0.7255,0.038988,0.070845,0.33778,0.49948,-1.0,43.8282,55.8551,32.99
202.0,207.0,217.0,0.52,0.44,0.4,23.0,22.0,26.0,0.17474,0.031989,0.039761,0.20033,0.39409,-1.0,36.2324,50.4997,28.05
250.0,245.0,249.0,1.27,1.22,1.15,21.0,20.0,18.0,0.86779,0.041555,0.073721,0.1075,0.31154,-1.0,54.3766,55.659,28.53
239.0,253.0,233.0,0.69,0.64,0.58,23.0,23.0,19.0,0.99554,0.035159,0.070478,0.15244,0.25121,-1.0,35.4882,54.3778,31.53
277.0,282.0,266.0,2.06,1.99,1.86,21.0,24.0,17.0,0.5345,0.11091,0.071832,0.29087,0.36212,-1.0,40.0831,26.5457,31.26
210.0,217.0,219.0,1.06,0.92,0.9,21.0,24.0,27.0,0.39334,0.054127,0.059265,0.16265,0.40552,-1.0,27.8553,40.8237,39.33
102.0,105.0,121.0,0.37,0.29,0.22,25.0,27.0,22.0,0.16982,0.040416,0.056135,0.21016,0.19436,-1.0,16.297,20.9951,35.94
213.0,220.0,231.0,0.33,0.27,0.23,23.0,22.0,26.0,0.58217,0.041258,0.051304,0.25958,0.33318,-1.0,39.1512,45.7622,29.91
209.0,195.0,192.0,0.68,0.62,0.55,18.0,19.0,21.0,0.47049,0.059579,0.071761,0.19077,0.2909,-1.0,32.1591,41.0956,27.51
289.0,288.0,268.0,1.77,1.74,1.56,13.0,14.0,13.0,0.86737,0.047166,0.079687,0.18578,0.36702,-1.0,43.1993,66.3592,34.8
231.0,228.0,226.0,1.14,1.05,1.03,20.0,21.0,20.0,0.46809,0.064895,0.05793,0.2003,0.52249,-1.0,50.1306,30.1191,36.32
247.0,239.0,233.0,0.62,0.55,0.48,24.0,24.0,21.0,0.1412,0.030391,0.062472,0.24318,0.56304,-1.0,51.751,47.4452,31.46
316.0,295.0,305.0,1.41,1.37,1.27,19.0,17.0,22.0,0.96949,0.035632,0.067071,0.20584,0.38235,-1.0,45.9913,50.3622,36.09
230.0,225.0,216.0,0.61,0.46,0.39,40.0,42.0,40.0,0.45467,0.090598,0.05056,0.18347,0.39427,-1.0,41.8499,33.7837,20.98
218.0,209.0,214.0,0.75,0.74,0.72,21.0,21.0,21.0,0.88498,0.040487,0.083953,0.14699,0.32456,-1.0,49.5177,35.5236,33.98
212.0,204.0,210.0,0.98,0.93,0.87,9.0,10.0,9.0,0.42702,-1.0,0.060458,0.20722,0.50909,-1.0,43.3954,40.2109,37.88
217.0,206.0,218.0,1.21,-1.0,1.07,-1.0,-1.0,-1.0,0.058314,-1.0,0.081422,0.12734,0.47827,-1.0,54.2879,53.7337,34.25
198.0,194.0,200.0,0.84,0.74,0.68,22.0,22.0,21.0,-1.0,-1.0,0.060558,-1.0,-1.0,-1.0,59.5525,36.1614,34.68
196.0,199.0,214.0,0.87,-1.0,0.74,-1.0,-1.0,-1.0,-1.0,-1.0,0.033785,-1.0,-1.0,-1.0,56.0422,44.3496,31.11
165.0,174.0,165.0,0.65,0.61,0.54,13.0,20.0,18.0,0.015795,0.072084,0.064667,0.13222,0.17583,-1.0,12.9474,36.3572,36.21
230.0,245.0,225.0,0.51,0.5,0.42,20.0,19.0,15.0,0.38652,0.02969,0.063836,0.19031,0.3785,-1.0,15.541,5.2661,33.76
259.0,231.0,260.0,0.87,0.86,0.82,24.0,24.0,20.0,0.99964,0.029945,0.049009,0.18023,0.29541,-1.0,11.2405,21.7888,35.41
183.0,181.0,194.0,0.65,0.56,0.5,22.0,23.0,23.0,0.5424,0.027277,0.062011,0.21019,0.273,-1.0,11.1299,14.4496,36.94
187.0,182.0,197.0,1.03,0.95,0.83,16.0,18.0,19.0,0.51593,0.061824,0.060006,0.20256,0.25606,-1.0,18.3233,22.3514,38.06
200.0,208.0,221.0,0.63,0.56,0.52,28.0,28.0,30.0,0.64914,0.09627,0.043152,0.18522,0.26421,-1.0,9.349,6.8432,37.15
175.0,175.0,150.0,0.52,0.44,0.4,22.0,24.0,21.0,0.06853,0.12239,0.068398,0.18758,0.22243,-1.0,1.5526,15.411,32.09
292.0,300.0,310.0,0.83,0.82,0.76,24.0,24.0,22.0,0.6037,0.066069,0.047421,0.31357,0.27987,-1.0,16.3337,44.6299,26.87
218.0,219.0,219.0,1.98,1.95,1.79,13.0,16.0,16.0,0.85364,0.030011,0.062695,0.24983,0.39338,-1.0,30.9132,29.9074,42.32
211.0,223.0,206.0,0.68,0.68,0.54,5.0,5.0,7.0,0.9792,0.029628,0.064202,0.20873,0.24326,-1.0,15.8458,22.8955,30.22
201.0,200.0,197.0,0.68,0.61,0.58,19.0,19.0,19.0,0.002585,0.034389,0.066601,0.30143,0.23885,-1.0,24.7236,45.2653,37.82
310.0,350.0,323.0,0.77,0.72,0.66,45.0,55.0,50.0,0.67607,0.049005,0.057757,0.20599,0.28408,-1.0,15.2821,53.5884,22.68
155.0,153.0,151.0,0.63,0.6,0.47,17.0,18.0,13.0,0.59913,0.024808,0.063885,0.00042983,0.25902,-1.0,22.3531,46.0913,37.9
228.0,222.0,242.0,1.63,1.57,1.48,20.0,19.0,22.0,0.91882,0.037841,0.066236,0.1785,0.29693,-1.0,32.3444,39.6449,33.51
229.0,219.0,264.0,0.63,0.63,0.6,21.0,18.0,24.0,0.60044,0.050264,0.035336,0.16441,0.38388,-1.0,12.4931,6.0915,32.43
206.0,246.0,187.0,0.91,-1.0,0.8,-1.0,-1.0,-1.0,0.30556,0.038897,0.061262,0.27872,0.41736,-1.0,49.9016,40.9948,34.92
280.0,284.0,268.0,1.09,-1.0,0.94,-1.0,-1.0,-1.0,0.65076,0.027448,0.048591,0.21681,0.25033,-1.0,25.0167,58.008,33.34
324.0,308.0,317.0,2.01,1.95,1.78,20.0,20.0,17.0,0.52282,0.029522,0.084937,0.34307,0.41369,-1.0,51.7547,54.6046,37.67
248.0,249.0,254.0,1.09,1.0,0.99,17.0,19.0,20.0,0.82325,0.030157,0.053021,0.27229,0.51,-1.0,24.5924,44.2065,33.73
240.0,230.0,226.0,1.41,1.23,1.12,17.0,21.0,19.0,0.56683,0.040341,0.032291,0.16111,0.38354,-1.0,24.9438,28.4336,35.36
251.0,300.0,281.0,2.08,2.03,1.9,20.0,18.0,19.0,0.99565,0.030555,0.053547,0.27494,0.47288,-1.0,28.6152,34.3221,35.98
178.0,184.0,173.0,0.4,0.36,0.35,16.0,18.0,17.0,0.29704,0.037173,0.062797,0.22508,0.52966,-1.0,5.5557,41.9648,32.57
199.0,217.0,214.0,1.35,-1.0,1.15,-1.0,-1.0,-1.0,0.77803,0.043792,0.083234,0.32552,0.25421,-1.0,22.5654,52.1256,31.09
233.0,246.0,253.0,1.08,-1.0,0.9,-1.0,-1.0,-1.0,0.28461,0.0467,0.057663,0.27247,0.27739,-1.0,30.0901,26.8632,36.16
175.0,171.0,156.0,0.42,0.37,0.33,20.0,19.0,17.0,0.99757,0.029884,0.067749,0.2516,0.28421,-1.0,8.5379,37.425,32.1
320.0,308.0,322.0,1.95,1.92,1.75,18.0,17.0,19.0,0.48278,0.033069,0.048037,0.10295,0.48016,-1.0,18.4494,35.6091,37.95
199.0,196.0,197.0,0.46,0.39,0.33,16.0,15.0,12.0,0.99786,0.029251,0.032588,0.19991,0.53117,-1.0,21.815,-1.0,28.73
161.0,184.0,183.0,0.22,0.19,0.16,22.0,23.0,23.0,-1.0,0.047031,0.038722,0.2125,0.7109,16.7833,-1.0,17.8748,25.31
260.0,259.0,255.0,1.18,1.15,1.06,18.0,17.0,18.0,-1.0,0.025675,0.077824,0.29978,0.53387,14.6206,-1.0,57.029,38.08
152.0,142.0,141.0,0.35,0.3,0.29,20.0,19.0,14.0,-1.0,0.028505,0.075397,0.26124,0.44191,14.7447,-1.0,23.609,25.09
295.0,296.0,270.0,1.29,1.25,1.1,26.0,21.0,23.0,-1.0,0.027656,0.09946,0.26604,0.50022,23.5447,-1.0,70.8234,38.16
228.0,232.0,268.0,1.21,0.97,0.87,46.0,42.0,46.0,-1.0,0.025901,0.0677,0.25431,0.29919,12.5231,-1.0,39.0804,21.8
198.0,188.0,202.0,0.55,0.5,0.45,24.0,24.0,26.0,-1.0,0.025572,0.074379,0.19075,0.22108,4.0461,-1.0,42.837,35.61
241.0,238.0,246.0,0.5,0.43,0.38,28.0,32.0,29.0,-1.0,0.026104,0.065978,0.32957,0.50682,17.3366,-1.0,59.721,28.23
256.0,241.0,234.0,1.22,1.13,1.08,19.0,22.0,22.0,-1.0,0.025374,0.063464,0.40059,0.57801,19.2373,-1.0,52.0256,33.26
258.0,271.0,285.0,2.28,2.19,1.96,33.0,34.0,29.0,-1.0,0.027197,0.034441,0.10329,0.10388,1.5569,-1.0,14.7937,36.28
191.0,181.0,192.0,0.93,0.88,0.73,18.0,17.0,15.0,-1.0,0.087669,0.066156,0.3706,0.45608,21.0006,-1.0,62.4328,32.3
226.0,224.0,241.0,0.73,0.67,0.64,24.0,25.0,21.0,-1.0,0.029596,0.079138,0.32878,0.34945,15.1893,-1.0,42.877,35.63
296.0,281.0,276.0,1.7,1.66,1.5,16.0,18.0,16.0,-1.0,0.094259,0.073168,0.30438,0.72293,12.695,-1.0,70.9437,41.41
204.0,202.0,242.0,1.0,0.93,0.87,27.0,19.0,17.0,-1.0,0.022241,0.079645,0.25261,0.54129,14.9563,-1.0,55.5846,39.62
165.0,165.0,167.0,0.52,0.35,0.32,33.0,23.0,31.0,-1.0,0.034061,0.04885,0.22341,0.53882,19.8263,-1.0,36.0411,24.91
225.0,214.0,227.0,1.67,1.61,1.52,17.0,16.0,15.0,-1.0,0.022844,0.064525,0.30016,0.40188,15.7823,-1.0,57.4321,34.89
200.0,188.0,213.0,0.77,0.69,0.67,21.0,22.0,20.0,-1.0,0.026378,0.068911,0.26245,0.36509,9.6076,-1.0,22.4069,34.39
166.0,176.0,147.0,0.72,0.64,0.6,15.0,19.0,19.0,-1.0,0.024776,0.071669,0.044323,0.36669,12.3062,-1.0,53.8058,34.47
213.0,213.0,234.0,0.65,0.5,0.47,33.0,34.0,38.0,-1.0,0.026419,0.049228,0.17624,0.34643,15.6168,-1.0,53.0303,22.44
242.0,225.0,253.0,1.55,-1.0,1.41,-1.0,-1.0,-1.0,-1.0,0.027811,0.065695,0.20848,0.23621,10.5255,-1.0,26.5951,32.72
160.0,168.0,152.0,0.96,-1.0,0.76,-1.0,-1.0,-1.0,-1.0,0.027392,0.081218,0.31482,0.34609,17.9686,-1.0,69.0201,31.04
181.0,172.0,168.0,1.23,-1.0,1.03,-1.0,-1.0,-1.0,-1.0,0.036703,0.099548,0.14663,0.25418,12.4679,-1.0,73.1916,31.48
111.0,102.0,103.0,1.11,-1.0,0.85,-1.0,-1.0,-1.0,-1.0,0.041034,0.092059,0.24634,0.14269,4.1249,-1.0,62.1671,30.18
264.0,321.0,330.0,2.09,-1.0,1.69,-1.0,-1.0,-1.0,-1.0,0.046383,0.06476,0.25717,0.37873,10.2815,-1.0,45.4067,28.06
245.0,252.0,248.0,1.63,-1.0,1.46,-1.0,-1.0,-1.0,-1.0,0.035991,0.079951,0.25046,0.36414,14.7729,-1.0,66.4003,28.89
213.0,178.0,214.0,1.88,-1.0,1.65,-1.0,-1.0,-1.0,-1.0,0.058608,0.084963,0.28886,0.26686,8.1924,-1.0,62.0595,32.8
187.0,183.0,170.0,1.18,-1.0,0.96,-1.0,-1.0,-1.0,-1.0,-1.0,0.079846,0.18361,0.30574,11.7629,-1.0,49.0151,28.01
185.0,189.0,198.0,1.28,-1.0,1.07,-1.0,-1.0,-1.0,0.63549,0.034115,0.070905,0.071457,0.22741,21.4109,-1.0,54.2736,30.26
174.0,166.0,166.0,0.98,-1.0,0.82,-1.0,-1.0,-1.0,0.57429,-1.0,0.085175,0.19396,0.22826,6.8708,-1.0,57.5528,29.56
220.0,198.0,194.0,1.27,-1.0,1.02,-1.0,-1.0,-1.0,-1.0,-1.0,0.076998,0.44068,0.2298,19.4837,-1.0,66.3888,32.82
197.0,224.0,177.0,1.45,-1.0,1.22,-1.0,-1.0,-1.0,0.32513,-1.0,0.055459,0.14782,0.524135,21.9305,-1.0,22.2576,28.39
143.0,167.0,108.0,0.99,-1.0,0.78,-1.0,-1.0,-1.0,0.66547,-1.0,0.082811,0.3196,0.42427,22.3634,-1.0,19.0794,29.22
109.0,109.0,107.0,0.99,-1.0,0.78,-1.0,-1.0,-1.0,0.054595,0.093932,0.092866,0.41827,0.438745,23.3928,-1.0,65.0326,35.41
