SF16h_HGT1_120,SF16h_HGT2_120,SF16h_HGT3_120,SF16h_TWT_120,SF16h_WTP_120,SF16h_WTL_120,SF16h_PAN1_120,SF16h_PAN2_120,SF16h_PAN3_120,2016_07_13-14_Leaf_Necrosis,2016_07_13-14_vegetation_index,2016_08_05-08_vegetation_index,2016_07_13_BAP_Leaf_Area,2016_07_13_laser_plant_height,2016_07_light_interception,2016_08_light_interception,2016_09_light_interception,SF16h_HGT_120_MEAN,SF16h_HGT_120_STD,SF16h_PAN_120_MEAN,SF16h_PAN_120_STD,accession_photoperiod,accession_type,accession_origin,accession_race,NEM_OARDC
72.0,68.0,82.0,0.35,0.3,0.23,31.0,34.0,24.0,0.20598,0.057638,0.044343,0.23164,0.28323,-1.0,5.243,-1.0,74.0,5.88784057755,29.6666666667,4.18993502999,1.0,2.0,10.0,0.0,54.63
75.0,73.0,70.0,0.15,0.1,0.05,16.0,17.0,16.0,0.4983,0.061963,0.060571,0.34256,0.50215,-1.0,3.5782,-1.0,72.6666666667,2.05480466766,16.3333333333,0.471404520791,1.0,1.0,25.0,2.0,53.16
134.0,125.0,130.0,0.45,0.41,0.37,15.0,16.0,14.0,0.45008,0.045175,0.068853,0.18817,0.57839,-1.0,33.5356,-1.0,129.666666667,3.68178700573,15.0,0.816496580928,1.0,3.0,0.0,0.0,65.23
105.0,102.0,103.0,0.2,0.1,0.1,29.0,27.0,29.0,0.61987,0.048202,0.086981,0.33212,0.42855,-1.0,41.6864,-1.0,103.333333333,1.24721912892,28.3333333333,0.942809041582,1.0,2.0,33.0,0.0,46.24
85.0,98.0,99.0,0.72,0.59,0.42,32.0,34.0,35.0,0.68466,0.074037,0.066721,0.13951,0.23745,-1.0,11.8802,-1.0,94.0,6.37704215657,33.6666666667,1.24721912892,1.0,2.0,10.0,0.0,54.27
147.0,142.0,152.0,0.39,0.3,0.27,16.0,20.0,20.0,0.32332,0.069261,0.066281,0.2008,0.26721,-1.0,4.8346,-1.0,147.0,4.08248290464,18.6666666667,1.88561808316,1.0,1.0,0.0,0.0,56.84
110.0,106.0,100.0,0.64,0.52,0.47,17.0,19.0,20.0,0.2772,0.062888,0.076513,0.10363,0.43919,-1.0,21.6676,-1.0,105.333333333,4.10960933531,18.6666666667,1.24721912892,1.0,2.0,37.0,2.0,53.71
109.0,118.0,118.0,0.23,0.19,0.17,24.0,18.0,17.0,0.56091,0.043126,0.074749,0.22121,0.37948,-1.0,2.6936,-1.0,115.0,4.24264068712,19.6666666667,3.09120616517,1.0,3.0,0.0,0.0,50.18
128.0,126.0,132.0,0.29,0.18,0.16,32.0,32.0,28.0,0.28782,0.07406,0.083589,0.31048,0.54676,-1.0,24.9722,-1.0,128.666666667,2.49443825785,30.6666666667,1.88561808316,1.0,2.0,12.0,2.0,48.16
66.0,66.0,64.0,0.18,0.12,0.09,13.0,12.0,13.0,0.56239,0.063039,0.084007,0.31519,0.52646,-1.0,2.0267,-1.0,65.3333333333,0.942809041582,12.6666666667,0.471404520791,1.0,2.0,26.0,0.0,49.27
