row,range,plant_id,SF16h_HGT1_120,SF16h_HGT2_120,SF16h_HGT3_120,SF16h_TWT_120,SF16h_WTP_120,SF16h_WTL_120,SF16h_PAN1_120,SF16h_PAN2_120,SF16h_PAN3_120,ADF,AD_ICP,Adj_CP,aNDFom,Ash,Crude_protein,DCAD,Dry_Matter,EE_Fat,Lignin,NEG_OARDC,NEL3x_ADF,NEL3x_OARDC,NEM_OARDC,NFC,SPCP,Starch,TDN_OARDC,WSC_Sugar,Cellulose,Hemicellulose,2016_07_13-14_Leaf_Necrosis,2016_07_13-14_vegetation_index,2016_08_05-08_vegetation_index,2016_07_13_BAP_Leaf_Area,2016_07_13_laser_plant_height,2016_07_light_interception,2016_08_light_interception,2016_09_light_interception,SF16h_HGT_120_MEAN,SF16h_HGT_120_STD,SF16h_PAN_120_MEAN,SF16h_PAN_120_STD,gps_eastings_UTMzone17N,gps_northings_UTMzone17N,accession_photoperiod,accession_type,accession_origin,accession_race,plot_id,Notes,x_of_y,plot_plan_tag,plot_plan_con,plot_plan_barcode,plot_plan_end
5 && 6 && 7 && 8,1,PI_534120,72,68,82,0.35,0.30,0.23,31,34,24,38.9,0.7,10.56,66.27,3.11,8.45,24.85,91.43,0.97,5.59,30.61,77.14,58.21,54.63,21.05,42.59,0.25,64.55,9.74,33.31,29.23,0.20598,0.057638,0.044343,0.23164,0.28323,,5.243,,74.0,5.88784057755,29.6666666667,4.18993502999,340658.5225 && 340657.832 && 340656.9065 && 340656.216,3832647.415 && 3832647.64 && 3832648.01 && 3832648.24,PHOTOPERIOD_INSENSITIVE,GRAIN,Ethiopia,,SF-BE-r1-p0001 && SF-BE-r1-p0002 && SF-BE-r1-p0003 && SF-BE-r1-p0004,,1 of 4 && 2 of 4 && 3 of 4 && 4 of 4,BIOMASS && PANICLE && LEAF,BMS. && PAN. && LEF.,SF-BE-r1-p0001 && BMS.SF-BE-r1-p0003 && PAN.SF-BE-r1-p0003 && LEF.SF-BE-r1-p0003,ANTHESIS && MATURITY
5 && 6 && 7 && 8,2,PI_365512,75,73,70,0.15,0.10,0.05,16,17,16,46.56,0.85,9.64,72.3,2.68,5.95,8.67,91.02,1.09,4.74,28.51,78.91,57.73,53.16,15.61,-12.7,0.18,66.63,10.37,41.82,27.58,0.4983,0.061963,0.060571,0.34256,0.50215,,3.5782,,72.6666666667,2.05480466766,16.3333333333,0.471404520791,340660.0075 && 340659.3185 && 340658.396 && 340657.7065,3832651.595 && 3832651.825 && 3832652.2 && 3832652.435,PHOTOPERIOD_INSENSITIVE,Cellulosic,South Africa,Caudatum,SF-BE-r1-p0049 && SF-BE-r1-p0050 && SF-BE-r1-p0051 && SF-BE-r1-p0052,,1 of 4 && 2 of 4 && 3 of 4 && 4 of 4,BIOMASS && PANICLE && LEAF,BMS. && PAN. && LEF.,SF-BE-r1-p0049 && BMS.SF-BE-r1-p0051 && PAN.SF-BE-r1-p0051 && LEF.SF-BE-r1-p0051,ANTHESIS && MATURITY
5 && 6 && 7 && 8,3,PI_535783,134,125,130,0.45,0.41,0.37,15,16,14,25.27,0.45,6,48.88,3.39,7.23,26.67,90.32,0.83,4.15,40.3,70.81,66.88,65.23,37.49,79.64,1.2,68.89,26.17,21.12,25.26,0.45008,0.045175,0.068853,0.18817,0.57839,,33.5356,,129.666666667,3.68178700573,15.0,0.816496580928,340661.5555 && 340660.866 && 340659.945 && 340659.2555,3832655.955 && 3832656.185 && 3832656.56 && 3832656.795,PHOTOPERIOD_INSENSITIVE,Sweet,,,SF-BE-r1-p0097 && SF-BE-r1-p0098 && SF-BE-r1-p0099 && SF-BE-r1-p0100,,1 of 4 && 2 of 4 && 3 of 4 && 4 of 4,BIOMASS && PANICLE && LEAF,BMS. && PAN. && LEF.,SF-BE-r1-p0097 && BMS.SF-BE-r1-p0099 && PAN.SF-BE-r1-p0099 && LEF.SF-BE-r1-p0099,ANTHESIS && MATURITY
5 && 6 && 7 && 8,5,PI_533902,85,98,99,0.72,0.59,0.42,32,34,35,37.9,0.67,12.34,64.23,3.5,10.83,26.01,92.47,0.94,6.04,29.81,68.05,57.77,54.27,19.48,90.2,0.69,61.45,9.42,31.86,27.76,0.68466,0.074037,0.066721,0.13951,0.23745,,11.8802,,94.0,6.37704215657,33.6666666667,1.24721912892,340664.718 && 340664.024 && 340663.0625 && 340662.3685,3832664.385 && 3832664.62 && 3832665.11 && 3832665.345,PHOTOPERIOD_INSENSITIVE,GRAIN,Ethiopia,,SF-BE-r1-p0193 && SF-BE-r1-p0194 && SF-BE-r1-p0195 && SF-BE-r1-p0196,,1 of 4 && 2 of 4 && 3 of 4 && 4 of 4,BIOMASS && PANICLE && LEAF,BMS. && PAN. && LEF.,SF-BE-r1-p0193 && BMS.SF-BE-r1-p0195 && PAN.SF-BE-r1-p0195 && LEF.SF-BE-r1-p0195,ANTHESIS && MATURITY
5 && 6 && 7 && 8,7,PI_656065,147,142,152,0.39,0.30,0.27,16,20,20,40.55,0.74,10.22,66.44,1.97,8.43,13.6,91.79,0.96,5.56,31.54,68.02,59.37,56.84,22.85,45.59,0.68,62.88,15.86,34.99,27.92,0.32332,0.069261,0.066281,0.2008,0.26721,,4.8346,,147.0,4.08248290464,18.6666666667,1.88561808316,340667.8 && 340667.1045 && 340666.1985 && 340665.5035,3832673.085 && 3832673.315 && 3832673.94 && 3832674.175,PHOTOPERIOD_INSENSITIVE,Cellulosic,,,SF-BE-r1-p0289 && SF-BE-r1-p0290 && SF-BE-r1-p0291 && SF-BE-r1-p0292,,1 of 4 && 2 of 4 && 3 of 4 && 4 of 4,BIOMASS && PANICLE && LEAF,BMS. && PAN. && LEF.,SF-BE-r1-p0289 && BMS.SF-BE-r1-p0291 && PAN.SF-BE-r1-p0291 && LEF.SF-BE-r1-p0291,ANTHESIS && MATURITY
5 && 6 && 7 && 8,8,PI_526905,110,106,100,0.64,0.52,0.47,17,19,20,39.19,0.76,8.8,64.52,2.9,6.58,16.84,90.36,0.96,6.7,28.8,75.87,57.78,53.71,25.72,6.63,0.23,63.17,16.71,32.49,27.38,0.2772,0.062888,0.076513,0.10363,0.43919,,21.6676,,105.333333333,4.10960933531,18.6666666667,1.24721912892,340669.388 && 340668.692 && 340667.7625 && 340667.067,3832677.565 && 3832677.795 && 3832678.35 && 3832678.585,PHOTOPERIOD_INSENSITIVE,GRAIN,Zimbabwe,Caudatum,SF-BE-r1-p0337 && SF-BE-r1-p0338 && SF-BE-r1-p0339 && SF-BE-r1-p0340,,1 of 4 && 2 of 4 && 3 of 4 && 4 of 4,BIOMASS && PANICLE && LEAF,BMS. && PAN. && LEF.,SF-BE-r1-p0337 && BMS.SF-BE-r1-p0339 && PAN.SF-BE-r1-p0339 && LEF.SF-BE-r1-p0339,ANTHESIS && MATURITY
5 && 6 && 7 && 8,9,PI_535793,109,118,118,0.23,0.19,0.17,24,18,17,45.71,0.79,9.36,72.14,3.11,5.35,19.4,91.8,1.03,5.95,25.62,73.29,55.24,50.18,20.58,-3.74,-0.05,56.58,9.58,39.76,28.33,0.56091,0.043126,0.074749,0.22121,0.37948,,2.6936,,115.0,4.24264068712,19.6666666667,3.09120616517,340670.9195 && 340670.2225 && 340669.3045 && 340668.608,3832681.885 && 3832682.115 && 3832682.69 && 3832682.92,PHOTOPERIOD_INSENSITIVE,Sweet,,,SF-BE-r1-p0385 && SF-BE-r1-p0386 && SF-BE-r1-p0387 && SF-BE-r1-p0388,,1 of 4 && 2 of 4 && 3 of 4 && 4 of 4,BIOMASS && PANICLE && LEAF,BMS. && PAN. && LEF.,SF-BE-r1-p0385 && BMS.SF-BE-r1-p0387 && PAN.SF-BE-r1-p0387 && LEF.SF-BE-r1-p0387,ANTHESIS && MATURITY
5 && 6 && 7 && 8,12,PI_534165,66,66,64,0.18,0.12,0.09,13,12,13,45.25,0.81,10.06,70.61,3.13,4.55,7.52,90.94,1.1,6.71,25.78,87.66,55.04,49.27,18.78,-19.66,-0.11,67.8,10.31,38.54,27.7,0.56239,0.063039,0.084007,0.31519,0.52646,,2.0267,,65.3333333333,0.942809041582,12.6666666667,0.471404520791,340675.467 && 340674.771 && 340673.808 && 340673.1125,3832694.725 && 3832694.96 && 3832695.385 && 3832695.62,PHOTOPERIOD_INSENSITIVE,GRAIN,Sudan,,SF-BE-r1-p0529 && SF-BE-r1-p0530 && SF-BE-r1-p0531 && SF-BE-r1-p0532,,1 of 4 && 2 of 4 && 3 of 4 && 4 of 4,BIOMASS && PANICLE && LEAF,BMS. && PAN. && LEF.,SF-BE-r1-p0529 && BMS.SF-BE-r1-p0531 && PAN.SF-BE-r1-p0531 && LEF.SF-BE-r1-p0531,ANTHESIS && MATURITY
5 && 6 && 7 && 8,13,PI_542718,125,146,141,0.28,0.12,0.11,22,20,16,48.74,0.74,8.83,76.16,3.3,2.82,20.53,92.27,1.14,6.72,22.01,100.62,51.97,41.62,12.79,-38.95,-0.61,71.43,-0.45,42.02,30.11,0.74121,0.053309,0.066102,0.30079,0.82874,,30.1549,,137.333333333,8.95668589503,19.3333333333,2.49443825785,340676.963 && 340676.2675 && 340675.351 && 340674.6555,3832698.95 && 3832699.185 && 3832699.73 && 3832699.965,PHOTOPERIOD_INSENSITIVE,GRAIN,China,,SF-BE-r1-p0577 && SF-BE-r1-p0578 && SF-BE-r1-p0579 && SF-BE-r1-p0580,,1 of 4 && 2 of 4 && 3 of 4 && 4 of 4,BIOMASS && PANICLE && LEAF,BMS. && PAN. && LEF.,SF-BE-r1-p0577 && BMS.SF-BE-r1-p0579 && PAN.SF-BE-r1-p0579 && LEF.SF-BE-r1-p0579,ANTHESIS && MATURITY
5 && 6 && 7 && 8,14,PI_655972,132,128,127,0.18,0.15,0.15,21,20,16,44.55,0.78,8.09,71.54,3.55,5.62,17.16,92.07,1.04,5.79,26.45,69.55,55.59,50.86,19.44,6.57,0.12,58.32,10.36,38.76,29.11,0.027001,0.058191,0.061004,0.27379,0.59966,,38.0762,,129.0,2.16024689947,19.0,2.16024689947,340678.364 && 340677.67 && 340676.8255 && 340676.1315,3832702.9 && 3832703.14 && 3832703.88 && 3832704.12,PHOTOPERIOD_INSENSITIVE,Cellulosic,,,SF-BE-r1-p0625 && SF-BE-r1-p0626 && SF-BE-r1-p0627 && SF-BE-r1-p0628,,1 of 4 && 2 of 4 && 3 of 4 && 4 of 4,BIOMASS && PANICLE && LEAF,BMS. && PAN. && LEF.,SF-BE-r1-p0625 && BMS.SF-BE-r1-p0627 && PAN.SF-BE-r1-p0627 && LEF.SF-BE-r1-p0627,ANTHESIS && MATURITY
