Attname,DPCount
2016_07_13-14_Leaf_Necrosis,698
2016_07_13-14_vegetation_index,698
2016_07_13_BAP_Leaf_Area,698
2016_07_13_laser_plant_height,698
2016_07_light_interception,698
2016_08_05-08_vegetation_index,698
2016_08_light_interception,698
2016_09_light_interception,698
SF16h_HGT1_120,698
SF16h_HGT2_120,698
SF16h_HGT3_120,698
SF16h_HGT_120_MEAN,698
SF16h_HGT_120_STD,698
SF16h_PAN1_120,698
SF16h_PAN2_120,698
SF16h_PAN3_120,698
SF16h_PAN_120_MEAN,698
SF16h_PAN_120_STD,698
SF16h_TWT_120,698
SF16h_WTL_120,698
SF16h_WTP_120,698
accession_origin=,697
accession_origin=Australia,244
accession_origin=Benin,439
accession_origin=Botswana,52
accession_origin=Burkina_Faso,319
accession_origin=Burundi,104
accession_origin=Cameroon,442
accession_origin=China,509
accession_origin=Egypt,37
accession_origin=Ethiopia,694
accession_origin=Former_Serbia_and_Montenegro,368
accession_origin=Former_Soviet_Union,82
accession_origin=Ghana,205
accession_origin=Hungary,306
accession_origin=India,277
accession_origin=Japan,53
accession_origin=Kenya,506
accession_origin=Malawi,559
accession_origin=Mali,468
accession_origin=Mexico,530
accession_origin=Nigeria,573
accession_origin=Rwanda,367
accession_origin=Senegal,20
accession_origin=South_Africa,607
accession_origin=Sudan,689
accession_origin=Swaziland,520
accession_origin=Syria,517
accession_origin=Tanzania,288
accession_origin=Togo,450
accession_origin=Turkey,620
accession_origin=Uganda,550
accession_origin=United_States,535
accession_origin=Yemen,163
accession_origin=Zaire,664
accession_origin=Zambia,565
accession_origin=Zimbabwe,424
accession_photoperiod=,698
accession_photoperiod=PHOTOPERIOD_INSENSITIVE,698
accession_photoperiod=PHOTOPERIOD_SENSITIVE,698
accession_race=,685
accession_race=Bicolor,206
accession_race=Caudatum,652
accession_race=Caudatum-bicolor,692
accession_race=Durra,574
accession_race=Durra-bicolor,117
accession_race=Durra-caudatum,581
accession_race=Guinea,650
accession_race=Guinea-bicolor,390
accession_race=Guinea-caudatum,413
accession_race=Guinea-durra,101
accession_race=Guinea-kafir,98
accession_race=Kafir,260
accession_race=Kafir-bicolor,589
accession_race=Kafir-caudatum,111
accession_race=Kafir-durra,26
accession_race=Mixed,557
accession_type=,698
accession_type=Cellulosic,698
accession_type=GRAIN,695
accession_type=Sweet,698
ADF,0
