Mean,Variance,InboundsScore
40.924309,17.668665,0.907054
44.435844,10.810326,0.932462
35.338619,22.415607,0.978022
44.003605,17.112520,0.872784
41.830330,22.370764,0.902128
38.297417,19.818434,0.979675
36.607117,20.434641,0.925456
42.030239,28.108166,0.966068
42.901321,15.921352,0.850914
42.579033,23.685310,0.893638
42.409309,20.743971,0.903578
44.192249,15.043532,0.978044
32.522861,24.293476,0.970027
37.643974,15.550937,0.943188
44.706608,17.073971,0.839662
42.889366,18.199589,0.971338
36.720894,26.074265,0.922873
40.183899,20.192411,0.930104
37.729206,21.676659,0.971311
36.154476,23.800488,0.953857
46.135891,5.051043,0.964912
44.849861,6.665143,0.906282
39.549614,20.400375,0.960403
41.067398,29.145880,0.906291
39.159901,33.794643,0.969697
44.717453,12.028841,0.947761
45.687012,5.693094,0.918033
40.344700,19.068781,0.959122
33.963928,18.617092,0.945811
36.346184,19.396017,0.950392
38.231415,48.544842,0.938567
33.671288,12.321803,0.972259
33.997910,13.565285,0.836231
44.273388,9.195353,0.841727
32.980579,12.794669,0.969697
32.784096,7.259405,0.983482
32.300873,9.193589,0.948768
37.897835,20.391354,0.973190
31.375628,6.787832,0.987229
32.960140,7.983047,0.962466
32.961330,8.349576,0.942657
31.926962,11.836785,0.972335
39.657993,12.342222,0.922391
41.058796,15.991638,0.913061
34.300415,15.336026,0.987928
31.558058,5.496827,0.962567
33.604771,9.589817,0.949670
33.698406,14.238903,0.978065
31.911531,5.925192,0.964888
44.669933,5.835844,0.947631
33.478233,17.799683,0.979893
32.516888,5.015378,0.915226
34.124462,11.207656,0.992238
32.366131,5.533396,0.961491
35.426605,14.863071,0.922463
32.256546,19.353651,0.975661
33.960400,11.332965,0.957092
33.721199,10.453253,0.945788
33.076397,11.271604,0.993481
31.751646,6.259386,0.986198
36.248268,27.741734,0.948250
33.190258,21.333988,0.970075
32.417530,7.290318,0.883163
31.711401,6.819416,0.935484
34.279438,14.902230,0.914669
32.539299,14.552624,0.965517
39.616776,32.421432,0.709091
33.391968,15.498136,0.964387
32.769016,8.001470,0.980892
34.701557,19.191946,0.961696
34.518906,9.073984,0.976687
34.588730,13.643345,0.947575
33.656136,9.000950,0.919532
30.963831,4.412092,0.992674
31.615820,5.310057,0.991239
33.031906,8.169805,0.890833
34.568047,25.195843,0.985392
33.654533,7.132379,0.904730
34.183281,7.783741,0.989116
35.577362,15.055573,0.977747
32.460892,15.219298,0.899301
35.847527,17.949533,0.957959
41.008606,29.885788,0.911722
31.914413,5.093129,0.933857
35.746250,29.741074,0.968450
32.159668,13.969397,0.959049
42.758907,19.724962,0.782490
34.498859,22.838013,0.965702
39.815998,21.533319,0.911311
31.843094,5.434655,0.989809
36.447079,32.320988,0.836096
32.039463,9.261916,0.967944
32.628025,5.522613,0.974922
31.435600,7.618096,0.932642
31.785368,17.282614,0.946349
38.960735,17.454041,0.892062
30.084999,5.016760,0.980469
32.017765,5.777249,0.984127
33.047699,15.786672,0.955234
41.105453,20.117466,0.960452
34.295055,16.358782,0.937289
37.787956,4.605781,0.975346
38.377007,5.353362,0.954072
38.540703,4.920901,0.983146
38.059387,9.167542,0.842334
38.731087,4.760252,0.968101
39.543964,1.837847,0.990121
37.927811,4.444704,0.988412
36.313904,12.705831,0.961293
38.291302,2.574768,0.994518
39.009274,3.693679,0.975451
38.531258,3.317467,0.979707
38.388496,5.913000,0.979522
38.939526,5.227019,0.972587
38.325661,4.878237,0.990465
38.622879,3.200383,0.992416
38.063152,1.181236,0.996771
38.250435,1.258146,0.997879
39.670647,3.322012,0.988901
38.465389,1.648742,0.988975
38.923168,4.836661,0.938070
38.178310,5.587329,0.981765
38.687469,1.409798,0.988675
37.320179,6.428271,0.984420
38.212410,3.556994,0.953667
32.665329,13.714096,0.914894
39.184422,4.074159,0.983370
38.095360,2.444784,0.996774
38.053429,1.498209,0.998925
37.221741,4.793931,0.970140
38.596222,5.215747,0.988152
33.253201,13.830420,0.931642
38.182228,1.725361,0.998954
38.289200,1.094720,0.997861
33.459190,7.966229,0.973177
38.721893,1.799722,1.000000
39.551025,8.049448,0.969907
37.676163,7.876000,0.769839
39.113300,6.990749,0.971589
38.921619,5.221267,0.983793
38.458679,1.307093,0.994652
45.423847,6.454669,0.964087
36.736340,4.992885,0.943786
37.935825,2.965648,0.987988
37.995365,1.990371,0.994051
38.675987,2.071628,0.990405
38.277714,1.609242,0.986696
38.528908,3.790360,0.959870
38.710171,4.043839,0.984427
39.211361,2.426615,0.983315
38.114769,2.621914,0.982703
38.391598,5.221175,0.986536
38.388992,2.428536,0.973700
39.524994,7.476419,0.962231
37.954815,6.468851,0.939234
38.524593,5.575270,0.964720
38.490673,2.353752,0.952070
38.114689,3.815604,0.990401
38.179874,2.817625,0.982984
