Attname,DPCount
2016_07_13-14_Leaf_Necrosis,698
2016_07_13-14_vegetation_index,698
2016_07_13_BAP_Leaf_Area,698
2016_07_13_laser_plant_height,698
2016_07_light_interception,698
2016_08_05-08_vegetation_index,698
2016_08_light_interception,698
2016_09_light_interception,698
SF16h_HGT1_120,698
SF16h_HGT2_120,698
SF16h_HGT3_120,698
SF16h_HGT_120_MEAN,698
SF16h_HGT_120_STD,698
SF16h_PAN1_120,698
SF16h_PAN2_120,698
SF16h_PAN3_120,698
SF16h_PAN_120_MEAN,698
SF16h_PAN_120_STD,698
SF16h_TWT_120,698
SF16h_WTL_120,698
SF16h_WTP_120,698
accession_origin=,695
accession_origin=Australia,55
accession_origin=Benin,55
accession_origin=Botswana,64
accession_origin=Burkina_Faso,383
accession_origin=Burundi,131
accession_origin=Cameroon,219
accession_origin=China,338
accession_origin=Egypt,79
accession_origin=Ethiopia,674
accession_origin=Former_Serbia_and_Montenegro,85
accession_origin=Former_Soviet_Union,36
accession_origin=Ghana,257
accession_origin=Hungary,175
accession_origin=India,382
accession_origin=Japan,53
accession_origin=Kenya,574
accession_origin=Malawi,642
accession_origin=Mali,397
accession_origin=Mexico,629
accession_origin=Nigeria,453
accession_origin=Rwanda,78
accession_origin=Senegal,226
accession_origin=South_Africa,566
accession_origin=Sudan,697
accession_origin=Swaziland,336
accession_origin=Syria,493
accession_origin=Tanzania,422
accession_origin=Togo,435
accession_origin=Turkey,149
accession_origin=Uganda,486
accession_origin=United_States,484
accession_origin=Yemen,137
accession_origin=Zaire,552
accession_origin=Zambia,381
accession_origin=Zimbabwe,498
accession_photoperiod=,676
accession_photoperiod=PHOTOPERIOD_INSENSITIVE,698
accession_photoperiod=PHOTOPERIOD_SENSITIVE,698
accession_race=,684
accession_race=Bicolor,92
accession_race=Caudatum,661
accession_race=Caudatum-bicolor,602
accession_race=Durra,614
accession_race=Durra-bicolor,300
accession_race=Durra-caudatum,606
accession_race=Guinea,621
accession_race=Guinea-bicolor,296
accession_race=Guinea-caudatum,614
accession_race=Guinea-durra,61
accession_race=Guinea-kafir,113
accession_race=Kafir,471
accession_race=Kafir-bicolor,124
accession_race=Kafir-caudatum,229
accession_race=Kafir-durra,189
accession_race=Mixed,446
accession_type=,693
accession_type=Cellulosic,698
accession_type=GRAIN,698
accession_type=Sweet,698
AD_ICP,0
