Mean,Variance,InboundsScore
0.652385,0.001382,0.990751
0.569729,0.004138,0.946265
0.585095,0.002501,0.990373
0.566501,0.002439,0.977968
0.661842,0.001497,0.977186
0.595939,0.004102,0.985014
0.661949,0.011204,0.979282
0.593388,0.008010,0.958641
0.719090,0.004588,0.984102
0.584969,0.003408,0.965926
0.608872,0.004128,0.974801
0.593357,0.003560,0.946768
0.643871,0.001641,0.982565
0.645443,0.008002,0.929392
0.579648,0.002400,0.998875
0.649835,0.002499,0.983607
0.567993,0.002436,0.991677
0.726541,0.005587,0.969027
0.639981,0.003485,0.961832
0.545141,0.002856,0.975515
0.589216,0.005013,0.927143
0.593067,0.004721,0.964096
0.599208,0.007007,0.857895
0.763655,0.005429,0.950820
0.640761,0.001418,0.990184
0.641213,0.001645,0.996346
0.721737,0.004576,0.986348
0.609663,0.001812,0.993797
0.637573,0.001951,0.995163
0.491607,0.001929,0.949405
0.657110,0.010011,0.970859
0.642810,0.002043,0.993925
0.626104,0.004547,0.941945
0.633594,0.001156,0.996479
0.588551,0.005747,0.984637
0.589146,0.002272,0.980930
0.662816,0.002707,0.983095
0.670692,0.013481,0.954545
0.614157,0.001566,0.997644
0.601135,0.003540,0.977961
0.723502,0.005653,0.946000
0.601463,0.005071,0.958389
0.636303,0.002496,0.978882
0.570209,0.002479,0.995429
0.603338,0.005343,0.991239
0.645958,0.001666,0.998812
0.640984,0.001939,0.965144
0.613342,0.002876,0.937107
0.533688,0.002065,0.987229
0.604110,0.005649,0.971317
0.565171,0.001942,0.995169
0.626813,0.001177,0.984981
0.544502,0.001520,0.995169
0.646731,0.003489,0.986911
0.619285,0.004549,0.973841
0.535061,0.001509,0.990874
0.625129,0.002428,0.974328
0.653184,0.002601,0.995181
0.609307,0.003270,0.981573
0.653164,0.008609,0.985806
0.584339,0.004006,0.989912
0.622280,0.001959,0.992857
0.623110,0.002150,0.958722
0.613955,0.002421,0.987835
0.667158,0.001664,0.991369
0.553181,0.006012,0.947291
0.545776,0.002740,0.977273
0.656682,0.003398,0.948814
0.770691,0.008550,0.975806
0.560881,0.002663,0.986731
