Attname,DPCount
2016_07_13-14_Leaf_Necrosis,698
2016_07_13-14_vegetation_index,698
2016_07_13_BAP_Leaf_Area,698
2016_07_13_laser_plant_height,698
2016_07_light_interception,698
2016_08_05-08_vegetation_index,698
2016_08_light_interception,698
2016_09_light_interception,698
SF16h_HGT1_120,698
SF16h_HGT2_120,698
SF16h_HGT3_120,698
SF16h_HGT_120_MEAN,698
SF16h_HGT_120_STD,698
SF16h_PAN1_120,698
SF16h_PAN2_120,698
SF16h_PAN3_120,698
SF16h_PAN_120_MEAN,698
SF16h_PAN_120_STD,698
SF16h_TWT_120,698
SF16h_WTL_120,698
SF16h_WTP_120,698
accession_origin=,694
accession_origin=Australia,157
accession_origin=Benin,81
accession_origin=Botswana,165
accession_origin=Burkina_Faso,450
accession_origin=Burundi,29
accession_origin=Cameroon,297
accession_origin=China,116
accession_origin=Egypt,133
accession_origin=Ethiopia,683
accession_origin=Former_Serbia_and_Montenegro,157
accession_origin=Former_Soviet_Union,137
accession_origin=Ghana,257
accession_origin=Hungary,417
accession_origin=India,421
accession_origin=Japan,91
accession_origin=Kenya,510
accession_origin=Malawi,461
accession_origin=Mali,427
accession_origin=Mexico,381
accession_origin=Nigeria,677
accession_origin=Rwanda,142
accession_origin=Senegal,293
accession_origin=South_Africa,510
accession_origin=Sudan,672
accession_origin=Swaziland,263
accession_origin=Syria,287
accession_origin=Tanzania,427
accession_origin=Togo,443
accession_origin=Turkey,265
accession_origin=Uganda,566
accession_origin=United_States,515
accession_origin=Yemen,141
accession_origin=Zaire,389
accession_origin=Zambia,534
accession_origin=Zimbabwe,148
accession_photoperiod=,400
accession_photoperiod=PHOTOPERIOD_INSENSITIVE,698
accession_photoperiod=PHOTOPERIOD_SENSITIVE,698
accession_race=,698
accession_race=Bicolor,133
accession_race=Caudatum,625
accession_race=Caudatum-bicolor,579
accession_race=Durra,629
accession_race=Durra-bicolor,247
accession_race=Durra-caudatum,435
accession_race=Guinea,674
accession_race=Guinea-bicolor,148
accession_race=Guinea-caudatum,649
accession_race=Guinea-durra,95
accession_race=Guinea-kafir,152
accession_race=Kafir,353
accession_race=Kafir-bicolor,302
accession_race=Kafir-caudatum,418
accession_race=Kafir-durra,162
accession_race=Mixed,96
accession_type=,396
accession_type=Cellulosic,698
accession_type=GRAIN,534
accession_type=Sweet,698
Adj_CP,0
