Mean,Variance,InboundsScore
9.095542,1.608630,0.974592
12.073298,1.061619,0.989189
11.576546,2.406045,0.983811
11.968676,1.865073,0.938859
11.736681,1.444095,0.973510
9.161063,3.570007,0.969811
6.564882,0.569104,0.981322
12.759324,1.826864,0.980170
13.061561,1.625040,0.959391
9.380409,2.085773,0.971272
10.487969,1.163190,0.990172
10.404433,3.314010,0.987461
10.070872,2.426253,0.982759
11.214814,1.199062,0.992327
5.793428,0.603657,0.986559
8.227681,1.083443,0.991537
14.028848,2.229374,0.970914
13.772695,1.074875,0.979757
9.589943,2.028789,0.983942
4.704216,1.966979,0.913621
12.814215,1.662834,0.979973
12.451927,1.308863,0.989262
8.989563,2.382174,0.960839
13.232703,2.247065,0.947441
9.745978,1.264400,0.988201
8.336101,3.322782,0.985375
12.066004,1.227514,0.986825
6.533568,0.860538,0.974320
12.853384,1.286354,0.993671
13.439863,1.263416,0.984576
13.462006,1.431808,0.954856
7.352595,1.706800,0.915739
10.240824,1.575980,0.984148
13.897101,1.779831,0.977961
9.881482,2.219806,0.967168
7.335587,1.381313,0.952681
12.388041,0.765166,0.980237
12.144436,0.999649,0.984516
8.861536,1.701692,0.985195
9.216320,2.835227,0.957567
11.885209,1.039999,0.978986
9.265482,3.188545,0.937500
6.783724,1.393923,0.988042
13.612078,1.950953,0.992248
11.851096,1.092781,1.000000
13.737002,2.514920,0.872170
10.359995,1.272035,0.984395
10.302212,1.686914,0.859184
11.131465,2.926978,0.980966
10.361364,2.481867,0.951983
9.680076,1.922349,0.963504
9.940976,2.992434,0.976852
8.287625,4.744410,0.969900
11.238010,1.403744,0.987670
10.582291,1.455690,0.990025
8.477977,1.958376,0.947443
8.906857,1.614279,0.980796
7.429821,2.157589,0.916811
10.108997,1.747254,0.992258
6.560864,1.042115,0.985359
6.239627,0.909146,0.967908
9.125067,1.712029,0.986264
6.606819,0.571855,0.922563
10.321319,2.017331,0.982069
7.479492,1.661181,0.944268
8.716335,2.227712,0.983718
14.466845,1.482184,0.815508
12.830988,2.130902,0.979282
9.601572,1.863405,0.989175
13.408795,1.325238,0.982346
9.688635,1.659453,0.995146
11.004768,1.313016,0.993750
6.962183,1.329705,0.981481
13.502410,2.813947,0.978172
9.773842,1.629331,0.997452
9.644168,1.860592,0.996350
10.471900,2.807075,0.956581
6.049590,0.692207,0.993132
11.829506,1.796144,0.985735
13.807970,1.233560,0.988780
10.341465,1.973884,0.971831
8.264434,2.974616,0.977992
13.812563,1.610576,0.981699
9.867068,3.582956,0.961609
10.482223,2.574035,0.914174
8.950837,2.482544,0.950558
9.580136,2.378694,0.960396
11.774648,1.396838,0.984190
14.126688,2.337079,0.975066
11.341652,0.897204,0.992528
12.456239,1.569771,0.968421
9.043110,1.829178,0.975207
13.063160,2.295064,0.993151
7.896339,3.745479,0.934132
10.693355,1.166629,0.987310
13.115872,1.058679,0.992063
11.720921,4.677371,0.922185
9.305245,2.729099,0.978752
11.237707,1.668635,0.993797
13.905630,1.465470,0.985392
10.255213,3.290994,0.962335
10.103778,2.603740,0.963343
9.273464,2.246462,0.982522
12.812647,1.513920,0.980198
9.790217,4.421468,0.922764
6.320785,0.707974,0.984085
9.895960,1.732025,0.984463
5.562163,1.549010,0.887482
9.958505,2.269340,0.967480
9.232767,2.976912,0.951586
6.650268,0.863781,0.950845
7.564878,1.803504,0.986706
7.085310,1.853791,0.984081
14.329364,5.873991,0.873563
