Attname,DPCount
2016_07_13-14_Leaf_Necrosis,698
2016_07_13-14_vegetation_index,698
2016_07_13_BAP_Leaf_Area,698
2016_07_13_laser_plant_height,698
2016_07_light_interception,698
2016_08_05-08_vegetation_index,698
2016_08_light_interception,698
2016_09_light_interception,698
SF16h_HGT1_120,698
SF16h_HGT2_120,698
SF16h_HGT3_120,698
SF16h_HGT_120_MEAN,698
SF16h_HGT_120_STD,698
SF16h_PAN1_120,698
SF16h_PAN2_120,698
SF16h_PAN3_120,698
SF16h_PAN_120_MEAN,698
SF16h_PAN_120_STD,698
SF16h_TWT_120,698
SF16h_WTL_120,698
SF16h_WTP_120,698
accession_origin=,640
accession_origin=Australia,51
accession_origin=Benin,598
accession_origin=Botswana,596
accession_origin=Burkina_Faso,698
accession_origin=Burundi,616
accession_origin=Cameroon,238
accession_origin=China,138
accession_origin=Egypt,113
accession_origin=Ethiopia,592
accession_origin=Former_Serbia_and_Montenegro,54
accession_origin=Former_Soviet_Union,254
accession_origin=Ghana,654
accession_origin=Hungary,673
accession_origin=India,636
accession_origin=Japan,99
accession_origin=Kenya,620
accession_origin=Malawi,697
accession_origin=Mali,487
accession_origin=Mexico,691
accession_origin=Nigeria,695
accession_origin=Rwanda,36
accession_origin=Senegal,2
accession_origin=South_Africa,326
accession_origin=Sudan,593
accession_origin=Swaziland,440
accession_origin=Syria,47
accession_origin=Tanzania,496
accession_origin=Togo,502
accession_origin=Turkey,71
accession_origin=Uganda,516
accession_origin=United_States,478
accession_origin=Yemen,560
accession_origin=Zaire,497
accession_origin=Zambia,672
accession_origin=Zimbabwe,153
accession_photoperiod=,698
accession_photoperiod=PHOTOPERIOD_INSENSITIVE,677
accession_photoperiod=PHOTOPERIOD_SENSITIVE,670
accession_race=,661
accession_race=Bicolor,245
accession_race=Caudatum,698
accession_race=Caudatum-bicolor,617
accession_race=Durra,643
accession_race=Durra-bicolor,233
accession_race=Durra-caudatum,669
accession_race=Guinea,678
accession_race=Guinea-bicolor,139
accession_race=Guinea-caudatum,681
accession_race=Guinea-durra,183
accession_race=Guinea-kafir,457
accession_race=Kafir,282
accession_race=Kafir-bicolor,287
accession_race=Kafir-caudatum,388
accession_race=Kafir-durra,195
accession_race=Mixed,482
accession_type=,698
accession_type=Cellulosic,677
accession_type=GRAIN,696
accession_type=Sweet,692
Ash,0
