Mean,Variance,InboundsScore
2.814219,0.257549,0.956318
2.706741,0.301544,0.988622
2.695709,0.196990,0.996483
2.814215,0.146316,0.969925
2.876799,0.252787,0.935216
2.767979,0.156894,0.996159
2.811380,0.078259,0.992647
2.794780,0.106016,0.997677
3.013755,0.384853,0.985788
1.869245,0.621927,0.975089
2.808690,0.061978,0.997748
2.828480,0.142515,0.993023
2.606794,0.251431,0.995098
2.770570,0.075464,0.991304
2.436397,0.840148,0.994366
2.659799,0.099565,0.988848
2.838063,0.106464,0.992982
2.688879,0.255851,0.990488
2.229407,0.584464,0.990180
2.816765,0.073820,0.994369
1.252941,2.505871,0.890269
2.969402,0.107479,1.000000
2.501378,0.167125,0.960165
2.673094,0.208476,0.971317
2.844162,0.157794,0.992727
2.852419,0.307598,0.986395
2.691793,0.241231,0.973937
2.696474,0.108798,0.996454
2.831280,0.273988,0.985507
1.485018,2.075662,0.947589
2.692790,0.242634,0.990777
2.218979,0.501890,0.991922
2.740215,0.143617,0.998780
1.864961,0.740715,0.983333
1.985419,0.497383,0.985804
2.753759,0.107949,0.986270
2.171237,0.669921,0.969543
2.891832,0.082281,0.996471
1.787888,0.660109,0.969072
2.819940,0.037357,0.991627
2.770656,0.080451,0.996499
2.160764,0.755748,0.959276
2.706652,0.278844,0.977876
1.101969,2.112256,0.811133
2.819109,0.081337,0.996412
2.872322,0.069375,0.994048
3.000764,0.148623,0.998789
2.775246,0.060072,0.988875
2.925292,0.164739,0.995232
2.397889,0.245897,0.861454
2.802165,0.075171,0.994033
2.762244,0.167579,0.985969
2.568019,0.217827,0.993455
2.851397,0.049523,1.000000
2.819862,0.105155,0.998805
2.593158,0.273705,1.000000
2.698762,0.084283,0.998848
2.806972,0.252073,0.995221
3.320132,0.217442,0.977012
3.394183,0.210477,0.949515
2.459908,0.574455,0.996875
2.736734,0.070301,0.993804
2.251736,0.685512,0.978947
2.850272,0.154288,0.998856
2.725547,0.105757,0.996368
2.831552,0.329611,0.991347
2.724312,0.103495,1.000000
2.624635,0.115577,0.983269
2.707472,0.083045,0.976162
2.783418,0.032360,0.995289
2.976518,0.184200,0.996416
2.815224,0.151638,0.997613
2.674070,0.076497,0.993990
2.502785,0.250710,0.991696
2.759873,0.082901,0.988173
2.359901,0.706277,0.982229
2.613812,0.049042,0.994962
2.551305,1.180649,0.976485
2.515650,0.366884,0.993917
2.842056,0.264537,0.984868
2.274627,0.495032,0.992806
2.755100,0.073083,0.993015
2.812594,0.081386,0.996520
2.360956,0.184662,0.957162
2.093517,0.509782,0.985423
2.166074,0.466526,0.982063
2.398786,0.339874,0.988095
2.248717,0.682651,0.961240
2.975982,0.255104,0.996241
2.868670,0.229927,0.984021
2.770818,0.181804,0.996368
2.261505,0.443662,0.995146
2.684522,0.066918,0.998800
2.530300,0.856985,0.992000
2.924877,0.176268,0.997528
2.844846,0.389601,0.991094
2.373371,0.588744,0.977742
2.550334,0.956299,0.951009
2.680284,0.286976,0.998789
3.423407,0.194734,0.969981
2.905501,0.137726,0.987937
2.628063,0.144476,0.995266
2.723915,0.090166,0.988016
3.026096,0.325415,0.971795
2.597700,0.108172,0.998768
2.697881,0.335693,0.991239
2.863275,0.225333,0.989619
2.639892,0.249827,0.984049
2.800670,0.212294,0.994173
2.840558,0.039968,0.998845
3.036334,0.424811,0.949367
2.712256,0.346733,0.991411
2.120559,0.664796,0.995377
2.220886,0.653641,0.930357
2.428641,0.688827,0.961089
2.441080,0.229135,0.978231
2.679644,0.453925,0.993998
2.712333,0.354632,0.988930
2.315976,0.603136,0.986755
1.892777,0.898149,1.000000
2.424821,0.844664,0.945565
2.659008,0.081555,0.992814
2.788282,1.353833,0.945000
2.902116,0.218836,0.997561
2.582922,0.210049,0.987500
2.994941,0.161634,0.994943
2.753714,0.266196,0.993671
2.825527,0.249319,0.992823
2.346235,0.207988,0.887892
3.223705,0.143903,0.988136
2.865531,0.154082,0.989196
2.691430,0.331168,0.995062
2.831495,0.100643,0.997644
3.064361,0.261071,0.988220
2.885010,0.110252,0.998808
2.540107,0.179500,0.836898
2.883517,0.169380,0.967914
2.501211,0.255874,0.953421
2.817902,0.150188,0.998812
2.122129,0.919317,0.968280
2.995260,0.241320,0.990345
2.043230,0.619638,0.978405
2.662084,0.218408,0.992771
2.528784,0.144115,0.985034
2.629835,0.142075,0.992386
2.250888,1.036878,0.969163
2.443388,0.151749,0.971631
2.788033,0.133208,0.992874
2.769769,0.160865,0.992481
2.977988,0.201428,0.986536
2.525347,0.380501,0.995152
2.803122,0.166632,1.000000
2.378748,0.625932,0.939446
2.797954,0.058473,0.994369
2.768385,0.276372,0.994019
2.850841,0.169109,0.995152
2.752193,0.390057,0.977081
3.022078,0.231177,0.972350
2.554048,0.296180,0.982361
2.873003,0.364218,0.991315
2.537691,0.539630,0.980636
