Attname,DPCount
2016_07_13-14_Leaf_Necrosis,698
2016_07_13-14_vegetation_index,698
2016_07_13_BAP_Leaf_Area,698
2016_07_13_laser_plant_height,698
2016_07_light_interception,698
2016_08_05-08_vegetation_index,698
2016_08_light_interception,698
2016_09_light_interception,698
SF16h_HGT1_120,698
SF16h_HGT2_120,698
SF16h_HGT3_120,698
SF16h_HGT_120_MEAN,698
SF16h_HGT_120_STD,698
SF16h_PAN1_120,698
SF16h_PAN2_120,698
SF16h_PAN3_120,698
SF16h_PAN_120_MEAN,698
SF16h_PAN_120_STD,698
SF16h_TWT_120,698
SF16h_WTL_120,698
SF16h_WTP_120,698
accession_origin=,697
accession_origin=Australia,165
accession_origin=Benin,469
accession_origin=Botswana,29
accession_origin=Burkina_Faso,392
accession_origin=Burundi,60
accession_origin=Cameroon,352
accession_origin=China,476
accession_origin=Egypt,47
accession_origin=Ethiopia,692
accession_origin=Former_Serbia_and_Montenegro,132
accession_origin=Former_Soviet_Union,86
accession_origin=Ghana,254
accession_origin=Hungary,245
accession_origin=India,333
accession_origin=Japan,118
accession_origin=Kenya,545
accession_origin=Malawi,479
accession_origin=Mali,526
accession_origin=Mexico,570
accession_origin=Nigeria,649
accession_origin=Rwanda,301
accession_origin=Senegal,241
accession_origin=South_Africa,454
accession_origin=Sudan,689
accession_origin=Swaziland,506
accession_origin=Syria,424
accession_origin=Tanzania,396
accession_origin=Togo,553
accession_origin=Turkey,624
accession_origin=Uganda,588
accession_origin=United_States,446
accession_origin=Yemen,57
accession_origin=Zaire,657
accession_origin=Zambia,558
accession_origin=Zimbabwe,349
accession_photoperiod=,694
accession_photoperiod=PHOTOPERIOD_INSENSITIVE,698
accession_photoperiod=PHOTOPERIOD_SENSITIVE,698
accession_race=,692
accession_race=Bicolor,235
accession_race=Caudatum,636
accession_race=Caudatum-bicolor,675
accession_race=Durra,585
accession_race=Durra-bicolor,235
accession_race=Durra-caudatum,566
accession_race=Guinea,618
accession_race=Guinea-bicolor,332
accession_race=Guinea-caudatum,489
accession_race=Guinea-durra,57
accession_race=Guinea-kafir,203
accession_race=Kafir,372
accession_race=Kafir-bicolor,603
accession_race=Kafir-caudatum,106
accession_race=Kafir-durra,28
accession_race=Mixed,332
accession_type=,696
accession_type=Cellulosic,698
accession_type=GRAIN,661
accession_type=Sweet,698
Cellulose,0
