Mean,Variance,InboundsScore
32.604713,1.857941,0.987356
33.414883,3.036715,0.989362
32.919613,4.373064,0.991813
27.422316,11.129135,0.994573
33.537827,4.788874,0.991774
32.689434,2.791646,0.990499
33.574966,1.832480,0.995465
34.624538,2.622215,0.946497
33.802685,2.451154,0.996579
32.937344,1.581733,0.990708
28.087576,14.305693,0.979651
29.176180,9.969535,0.940252
33.006607,3.329227,0.994090
33.150303,17.379080,0.977492
33.385830,2.682701,0.997740
33.486729,1.890981,0.994233
37.234848,19.110846,0.963918
26.148211,2.381897,0.991049
32.009983,6.047458,0.990716
32.736774,4.844178,0.950617
27.530680,6.878019,0.984952
33.275917,2.276383,0.995215
32.075329,6.628503,0.991678
32.671432,3.388077,0.989738
33.934456,5.353987,0.987608
32.871216,4.139521,0.985714
28.278208,7.235982,0.991792
34.269920,3.275994,0.980907
31.186592,4.464084,0.997308
34.012066,5.643118,0.994019
27.668524,8.104918,0.992000
26.737104,4.614871,0.982644
34.108234,5.371907,0.968370
31.853836,4.600574,0.996000
32.414444,4.262418,0.997540
28.827997,15.869310,0.961252
33.144287,1.793875,0.979263
37.399250,10.771734,0.885776
32.469376,18.490301,0.982085
38.137596,11.897741,0.931677
32.667076,3.319665,0.994337
33.656403,2.889533,0.986207
31.338987,16.320246,0.983750
32.201614,11.825959,0.855438
32.956432,6.690521,0.978562
32.431614,3.750342,0.988944
32.537868,21.707634,0.961821
33.870567,2.840402,0.997661
32.620422,1.660926,0.996495
31.972553,31.451427,0.956909
33.861980,1.748292,0.994125
33.356377,9.536054,0.981685
33.532906,3.929597,0.987074
26.746466,8.181659,0.938911
32.892181,4.951761,0.998836
32.389099,6.317359,0.987654
27.973391,12.056423,0.974825
32.542618,8.428950,0.984973
33.305820,1.408181,0.996552
35.607399,18.884382,0.897213
33.175018,3.065964,0.985222
33.491245,7.068347,0.992727
32.754192,2.290206,0.994166
32.664627,3.461036,0.976801
32.702805,1.416432,0.992656
28.153860,6.300290,0.927069
33.655773,1.927812,0.982599
32.914787,1.666473,0.995322
33.869892,0.941454,0.991908
29.503939,13.636388,0.956656
33.203362,2.370804,0.994200
33.681042,2.155286,0.997712
33.445118,3.188069,0.996445
34.041264,6.285777,0.976630
33.499737,3.421190,0.982249
32.876114,3.150793,0.994104
26.468470,4.768632,0.983849
28.421957,17.095907,0.973574
33.016575,1.586253,0.995261
28.809135,12.547571,0.986072
29.357733,12.459303,0.974474
33.546188,2.193177,0.993103
34.309818,3.796273,0.988263
32.589077,2.910391,0.997753
31.391756,5.273942,0.988304
34.967541,4.740013,0.989783
27.797815,9.538800,0.982097
31.420185,17.738054,0.980303
32.289532,3.893443,0.961306
26.677113,4.038384,0.993726
31.955814,14.340253,0.932177
33.593540,2.234807,0.996499
33.294289,18.373446,0.978691
28.040632,13.437942,0.927557
32.201195,3.436859,0.990667
32.869858,0.779888,0.997720
37.705944,8.076410,0.947727
33.828136,3.403452,0.996552
38.299160,5.539121,0.962882
33.611599,3.264977,0.986063
32.694447,27.725193,0.934189
33.515923,2.198421,0.995370
32.929745,2.823025,0.979115
33.028538,2.761846,0.996495
28.329746,6.606919,0.971950
34.157814,3.410554,0.955446
30.833408,6.849287,0.994483
32.855019,11.915602,0.976471
33.136093,2.532899,0.985542
33.255020,1.759513,0.995187
33.497768,3.648600,0.994026
33.640896,18.003363,0.949287
31.330679,5.903149,0.989796
32.825909,1.193181,0.996618
35.059879,17.442984,0.967153
34.081593,4.481045,0.974296
32.507915,3.633250,0.972152
33.692680,3.229950,0.993983
32.454441,3.383590,0.986699
32.764256,1.990237,0.998770
28.182419,10.031054,0.955267
33.075890,3.016176,0.996556
37.687801,15.086013,0.967742
26.465761,4.318792,0.989529
34.516563,3.098002,0.991917
34.050007,1.253677,0.995316
