Attname,DPCount
2016_07_13-14_Leaf_Necrosis,698
2016_07_13-14_vegetation_index,698
2016_07_13_BAP_Leaf_Area,698
2016_07_13_laser_plant_height,698
2016_07_light_interception,698
2016_08_05-08_vegetation_index,698
2016_08_light_interception,698
2016_09_light_interception,698
SF16h_HGT1_120,698
SF16h_HGT2_120,698
SF16h_HGT3_120,698
SF16h_HGT_120_MEAN,698
SF16h_HGT_120_STD,698
SF16h_PAN1_120,698
SF16h_PAN2_120,698
SF16h_PAN3_120,698
SF16h_PAN_120_MEAN,698
SF16h_PAN_120_STD,698
SF16h_TWT_120,698
SF16h_WTL_120,698
SF16h_WTP_120,698
accession_origin=,697
accession_origin=Australia,184
accession_origin=Benin,38
accession_origin=Botswana,206
accession_origin=Burkina_Faso,401
accession_origin=Burundi,153
accession_origin=Cameroon,404
accession_origin=China,375
accession_origin=Egypt,218
accession_origin=Ethiopia,694
accession_origin=Former_Serbia_and_Montenegro,154
accession_origin=Former_Soviet_Union,84
accession_origin=Ghana,425
accession_origin=Hungary,206
accession_origin=India,448
accession_origin=Japan,189
accession_origin=Kenya,530
accession_origin=Malawi,576
accession_origin=Mali,388
accession_origin=Mexico,345
accession_origin=Nigeria,643
accession_origin=Rwanda,145
accession_origin=Senegal,225
accession_origin=South_Africa,615
accession_origin=Sudan,659
accession_origin=Swaziland,391
accession_origin=Syria,113
accession_origin=Tanzania,405
accession_origin=Togo,604
accession_origin=Turkey,249
accession_origin=Uganda,557
accession_origin=United_States,416
accession_origin=Yemen,96
accession_origin=Zaire,426
accession_origin=Zambia,429
accession_origin=Zimbabwe,68
accession_photoperiod=,585
accession_photoperiod=PHOTOPERIOD_INSENSITIVE,698
accession_photoperiod=PHOTOPERIOD_SENSITIVE,698
accession_race=,697
accession_race=Bicolor,146
accession_race=Caudatum,619
accession_race=Caudatum-bicolor,597
accession_race=Durra,641
accession_race=Durra-bicolor,354
accession_race=Durra-caudatum,438
accession_race=Guinea,698
accession_race=Guinea-bicolor,315
accession_race=Guinea-caudatum,577
accession_race=Guinea-durra,174
accession_race=Guinea-kafir,128
accession_race=Kafir,470
accession_race=Kafir-bicolor,399
accession_race=Kafir-caudatum,466
accession_race=Kafir-durra,54
accession_race=Mixed,55
accession_type=,596
accession_type=Cellulosic,698
accession_type=GRAIN,513
accession_type=Sweet,698
Crude_protein,0
