Mean,Variance,InboundsScore
8.660775,3.541275,0.909270
6.556312,3.996037,0.956262
6.442505,3.034487,0.956113
6.953359,6.380266,0.903158
7.854424,4.866629,0.826087
5.390791,1.871810,0.972296
6.974644,3.549481,0.965812
5.811194,2.868590,0.978221
6.212449,4.216052,0.899814
6.708862,3.786165,0.874739
5.836273,2.645249,0.909091
5.822725,3.146873,0.932874
5.429935,1.657071,0.950887
6.653345,2.999787,0.935986
6.880659,6.386654,0.908096
5.722764,3.229371,0.986207
7.349069,3.430468,0.955197
5.558977,1.945531,0.953587
5.905586,1.492480,0.965007
5.953939,2.125107,0.951342
6.358167,4.957572,0.951681
7.397616,3.569509,0.937618
7.060834,5.341567,0.970472
6.713207,2.784196,0.903069
5.681698,2.017634,0.962238
6.815797,4.123074,0.947059
3.926128,0.921146,0.930390
5.865262,2.614288,0.965574
5.025097,1.606090,0.968345
6.561030,2.147289,0.974551
4.741855,1.064261,0.961588
5.631028,1.197651,0.981603
4.889448,1.776573,0.936900
4.194280,0.970167,0.868825
5.203738,1.444039,0.988944
4.464985,1.066923,0.978121
5.699445,1.036125,0.970037
5.262004,1.129248,0.984556
4.749427,0.762345,0.989170
5.429224,0.680687,0.984394
4.711401,1.289127,0.944290
5.399041,1.090172,0.980094
6.989585,2.896002,0.967093
5.351041,0.967738,0.969623
5.184654,0.613380,0.991131
5.808200,1.623167,0.929677
5.040555,1.054346,0.983730
5.053941,1.163942,0.985455
4.683092,1.270355,0.967296
4.379960,0.974183,0.956661
5.022927,1.098106,0.971119
6.162748,1.217580,0.969032
6.185206,0.891967,0.986979
5.667429,1.409875,0.963731
6.217219,2.161805,0.962406
5.467399,1.735699,0.960106
5.473332,1.241866,0.979268
5.409883,1.527771,0.948750
5.176960,1.100485,0.992883
5.469607,1.189036,0.985525
4.730725,1.186304,0.970976
5.410649,1.446355,0.955764
5.350754,0.793224,0.956195
4.606131,2.054030,0.917232
6.744431,1.490825,0.911977
5.285975,0.909288,0.977117
4.670002,1.071092,0.579687
6.386736,2.253277,0.953333
4.929183,1.216895,0.980769
4.931006,1.392369,0.968031
6.630027,1.439424,0.963464
5.958356,0.984478,0.944785
5.297286,1.648066,0.896597
4.816384,1.007794,0.991505
4.874335,0.846939,0.987457
5.416679,1.885453,0.937583
5.152096,1.016095,0.984337
6.682020,1.146288,0.960114
5.854094,0.561368,0.976616
5.230234,1.577047,0.962629
4.783413,2.096548,0.842384
5.569163,1.888451,0.947514
5.285356,1.686913,0.922096
4.850653,0.660914,0.987516
5.504813,2.034119,0.964444
4.984667,0.855584,0.948413
4.368928,0.653415,0.877551
5.028242,1.321130,0.989691
5.210674,0.965752,0.950202
4.711323,0.441151,0.983721
5.178769,2.015238,0.868502
5.734940,1.247410,0.963659
5.028708,0.977873,0.991326
5.135477,1.138857,0.932886
5.217864,1.071030,0.959085
5.120345,1.938264,0.936782
5.225641,1.759229,0.961190
5.777726,0.953370,0.997602
5.736014,1.285113,0.973042
4.430363,0.829267,0.974046
5.725245,1.050724,0.971711
7.839391,1.736784,0.966879
7.446554,1.498186,0.953867
10.238168,1.814256,0.966250
6.058879,1.352603,0.673016
5.919213,1.399221,0.937879
7.011170,1.396679,0.978036
7.098717,1.619266,0.984868
7.339890,2.397872,0.963513
7.513945,1.512708,0.986842
7.357678,1.666806,0.920378
7.099102,1.559282,0.965475
9.004815,2.425867,0.909561
10.292621,2.005908,0.920000
6.511241,1.138253,0.973369
9.573883,2.460073,0.965340
9.791245,1.951883,0.982164
10.333326,1.314140,0.980630
8.141104,0.988934,0.984204
10.296795,1.409304,0.977163
6.043487,1.375534,0.940625
8.285074,0.934962,0.965969
6.906349,1.090512,0.978121
7.889544,2.175242,0.958816
10.543957,1.310970,0.966981
4.830497,1.380407,0.864230
7.815919,2.589707,0.946085
9.234326,1.900785,0.981663
10.100506,0.884844,0.991860
8.028455,1.867418,0.960370
7.141070,1.597665,0.981982
5.817065,1.140608,0.936532
9.902140,1.467948,0.987624
9.307784,0.965469,0.983355
5.259758,0.718229,0.992462
8.788704,1.736763,0.979670
8.596143,1.407979,0.960681
5.923217,1.475044,0.708202
6.139428,1.468637,0.958393
8.030643,1.529656,0.971166
8.369905,0.944113,0.990708
3.546362,0.276996,0.954064
6.333774,1.625627,0.933813
8.266262,1.173292,0.981685
10.142816,0.994472,0.984813
8.785911,1.977658,0.978697
9.180239,1.821625,0.966365
8.694132,1.497547,0.930946
9.005885,1.843346,0.970938
6.508666,1.958227,0.972715
7.466777,2.209766,0.950269
6.883840,1.103892,0.980595
6.910747,1.726696,0.964865
7.223600,1.891306,0.946452
5.499330,0.666410,0.912773
5.974172,1.025139,0.934230
6.852760,1.832796,0.975547
7.390544,1.264141,0.990244
10.629288,1.293129,0.920103
9.547640,2.735817,0.945013
6.207535,1.858365,0.981283
9.935622,1.195774,0.988412
6.739908,1.459201,0.976347
7.502783,2.088104,0.959897
5.668174,1.708836,0.983891
6.641746,1.300262,0.996315
6.382783,1.730172,0.975104
9.437269,2.454256,0.950187
4.978066,1.672001,0.878453
8.698232,1.277380,0.950904
8.841197,1.331188,0.953750
5.885117,1.265744,0.928244
10.509070,1.175353,0.964330
5.785275,1.013027,0.973298
8.074438,1.568579,0.976309
6.351660,1.893328,0.950525
5.912832,1.306300,0.942590
8.752003,1.023406,0.987995
10.137545,1.865066,0.962453
5.449952,1.406565,0.935252
7.558819,1.159692,0.961230
9.654497,2.085442,0.968474
5.732365,1.772188,0.963351
7.678008,1.530916,0.955787
7.601878,1.907961,0.967524
7.754390,1.643913,0.965995
8.498014,1.361507,0.982500
7.680399,2.028665,0.973890
6.739535,1.670740,0.966533
7.916955,1.646288,0.967784
7.100148,3.325381,0.972495
6.890291,2.675770,0.936886
7.580394,1.327422,0.981550
9.921953,1.303243,0.988109
8.022454,1.898173,0.903226
9.902358,1.936419,0.970660
5.955945,1.343878,0.976471
7.184135,1.612483,0.942999
5.917829,1.085879,0.955556
7.835002,1.859566,0.980344
8.544725,1.297900,0.978426
7.116810,1.712571,0.926554
9.404416,1.763752,0.976744
8.117114,1.411423,0.967337
8.078815,1.684934,0.958333
8.126733,1.946671,0.972585
9.111497,2.072665,0.971939
4.330730,1.138412,0.930269
8.710043,2.086164,0.958442
8.060591,1.191155,0.978750
6.714756,1.645725,0.966897
7.959201,1.741325,0.902655
8.917665,2.018462,0.931727
8.558065,1.213085,0.958442
9.558542,1.857815,0.979268
9.190527,1.443663,0.948814
8.241808,1.018668,0.994005
7.728639,1.394873,0.973856
5.507535,1.079767,0.923445
5.914330,1.681560,0.924615
8.392217,0.973310,0.956072
8.029744,1.386113,0.953771
4.311325,0.603078,0.977987
8.008085,1.256635,0.969333
6.754646,1.806127,0.960165
10.246853,1.026694,0.987119
10.723676,1.583765,0.975093
5.419091,1.262033,0.981108
5.368332,2.246352,0.964010
10.114894,1.177167,0.975816
5.260085,1.357268,0.958281
9.805722,2.426594,0.913863
3.889594,0.531232,0.966490
8.413992,1.757983,0.975062
5.141169,1.630738,0.960756
8.345808,1.379713,0.978562
10.885761,2.434722,0.953224
8.111870,1.338562,0.962606
11.385152,3.942265,0.947581
8.586143,1.372786,0.972292
5.250777,2.384246,0.972818
11.214451,1.828404,0.979721
8.563562,1.532198,0.967662
10.652208,2.221583,0.951792
10.112531,1.191378,0.976687
8.112886,1.008295,0.982822
7.123416,1.125275,0.958611
8.883935,1.913382,0.956298
10.182128,1.528578,0.980998
7.523413,4.898263,0.963333
7.625757,1.750379,0.975062
5.852613,1.995046,0.975714
6.397602,1.006208,0.968661
10.333288,1.341892,0.980952
8.141480,1.164782,0.992814
9.140045,1.073925,0.993998
10.386181,1.132072,0.989498
9.797610,2.077600,0.970075
10.158742,1.366483,0.956627
10.788857,1.592120,0.977941
9.484910,1.342884,0.991745
10.041531,2.167107,0.965706
6.972140,1.576455,0.982644
10.602397,1.416534,0.993835
11.330408,3.473006,0.975904
12.148338,3.122306,0.994792
10.346073,1.852451,0.989607
7.887758,0.864868,0.992771
8.895372,1.087528,0.965060
9.282420,1.777491,0.979493
11.664831,2.240734,0.992376
8.286620,2.801288,0.931601
11.152600,3.016060,0.947984
12.290017,2.769597,0.970706
8.129685,1.578262,0.941860
6.630709,1.527482,0.968919
7.345634,1.265938,0.993895
10.331205,1.471327,0.974178
8.293365,1.409171,0.965347
9.307664,2.763005,0.958656
8.080366,1.551204,0.971917
6.506378,1.852540,0.880952
6.185309,1.563957,0.897554
6.627742,1.136298,0.979592
7.324689,1.612527,0.983418
10.518801,1.738320,0.979115
11.042525,1.502000,0.977914
7.356569,2.132674,0.947712
10.732320,2.233632,0.973945
7.716979,1.454810,0.987775
10.284580,2.170265,0.969059
11.135588,2.559548,0.958698
9.633515,2.152330,0.971142
10.972561,1.265462,0.993236
12.567834,3.327743,0.968919
10.259688,1.298626,0.981640
8.222650,0.977801,0.981132
11.237040,2.584194,0.978408
10.340968,1.142742,0.985023
9.532841,1.681141,0.980769
7.770173,0.688014,0.996207
12.031783,3.330667,0.963215
7.123122,1.632764,0.963494
9.824717,2.436131,0.947644
7.575281,2.021195,0.936782
9.824911,1.559651,0.986585
7.583698,1.825290,0.961318
4.759409,1.650152,0.900000
8.251411,1.351384,0.978443
10.638255,2.679092,0.928571
9.765780,0.781255,0.981043
11.178868,1.547008,0.970323
8.078606,2.953914,0.961165
6.983333,1.472159,0.964520
5.383157,1.427958,0.964817
10.846146,1.594213,0.982822
10.085726,1.516918,0.941176
10.591949,1.273165,0.986795
9.317284,2.434930,0.915094
11.504706,1.294080,0.982667
10.303010,1.556336,0.993932
10.530078,1.315553,0.979141
7.029072,1.493741,0.978437
11.826568,2.161218,0.967347
9.103613,2.451833,0.961881
7.598440,1.885853,0.985175
8.919372,1.258161,0.952625
10.007082,0.705287,0.991696
7.841773,1.418135,0.974359
10.601298,1.446252,0.986553
10.375927,1.384542,0.998830
11.683910,2.288710,0.980818
6.967091,1.222500,0.981132
11.155512,1.842448,0.945428
9.897414,2.362409,0.969456
9.125936,1.365214,0.980094
10.426804,1.270170,0.992027
9.396832,1.501024,0.992999
7.051903,1.110241,0.993947
8.503263,1.672727,0.954257
8.463017,2.654516,0.915775
10.307817,1.055032,0.994200
9.399887,1.618004,0.960494
10.563447,1.608130,0.973526
5.945905,1.590533,0.962319
5.827003,1.234989,0.977364
6.973497,1.612023,0.982895
11.587539,2.599788,0.965834
9.644904,1.626457,0.980907
11.761423,5.097785,0.970194
8.618242,1.080589,0.976572
9.510418,1.483957,0.978597
7.765660,1.488949,0.969657
10.106066,1.137415,0.994246
7.118147,2.086009,0.930894
10.381834,1.274169,0.989387
10.778162,1.806658,0.982630
5.100556,2.134327,0.961801
10.456627,1.597881,0.962040
11.349914,2.496439,0.981949
10.511469,1.161127,0.983890
11.765001,2.713108,0.993378
6.872983,1.877482,0.982143
11.406754,3.064344,0.985130
8.488418,1.497143,0.946085
9.860113,1.456999,0.982434
8.132911,2.982441,0.880989
7.937684,2.003728,0.983117
8.775765,1.978027,0.967448
10.247833,1.776547,0.959459
8.149570,1.381929,0.973042
7.006216,1.714366,0.949936
5.101800,1.065225,0.942779
9.670307,1.479299,0.978036
10.065931,1.584615,0.941323
11.470483,2.823945,0.943912
6.878050,1.595644,0.942308
9.870089,2.270894,0.971640
7.848144,2.029119,0.938375
11.477387,2.462228,0.946019
10.620733,0.918558,0.991973
9.483765,1.706956,0.988861
10.466928,1.372544,0.990730
7.609198,2.710627,0.928870
12.196487,2.686952,0.983893
12.040799,2.469987,0.985714
9.761722,1.062223,0.979167
11.488988,2.557605,0.963446
11.769224,2.620554,0.970430
9.852797,2.203916,0.983029
10.150664,1.205160,0.989498
10.786175,2.039296,0.953887
11.319400,1.644314,0.994859
11.480533,2.865445,0.956873
11.663685,2.925824,0.983376
9.053456,2.101903,0.924147
8.109749,1.902171,0.989130
7.705813,1.973921,0.926129
11.131068,1.769636,0.979444
10.176603,1.106455,0.976163
5.295643,1.860261,0.962697
9.671917,1.191014,0.982166
3.990200,0.521812,0.973643
9.349726,1.753868,0.982234
6.959735,1.834620,0.971233
10.273017,0.943204,0.966667
11.711479,2.474137,0.968839
7.925387,1.256925,0.995104
6.918866,1.382430,0.974160
9.905538,1.482656,0.977556
10.406310,1.388620,0.977025
6.586964,1.671991,0.983355
9.325392,1.659497,0.940506
11.841088,2.869529,0.958940
10.467818,1.380019,0.987298
10.193747,0.990051,0.976275
10.683431,1.988675,0.970960
9.403975,2.974296,0.925272
11.628061,2.796404,0.738652
10.368977,4.048118,0.927515
7.952548,1.325119,0.976744
8.022460,1.256692,0.988930
11.266705,4.896641,0.913279
8.766823,2.594575,0.986804
11.774725,4.403453,0.963589
7.976533,1.704991,0.945040
7.706180,2.690020,0.873800
7.841381,1.200239,0.958175
9.001662,3.353044,0.917582
10.208772,1.135948,0.991841
7.473621,1.583614,0.980271
8.283649,1.635298,0.908406
8.370120,1.477834,0.964497
9.354488,2.306900,0.952559
10.453291,1.328492,0.986286
10.930213,2.702542,0.986436
10.939470,2.289834,0.942211
9.166338,1.220960,0.981460
8.121140,1.338966,0.960508
9.152387,1.881411,0.946848
11.035881,2.904678,0.971963
10.420164,1.647164,0.969549
9.085029,1.395184,0.966398
10.051633,1.944535,0.981928
12.360040,7.189073,0.876990
7.325377,1.842450,0.964798
9.295242,2.363612,0.954847
12.145585,4.069114,0.936599
11.091456,3.145505,0.959072
10.550785,1.561558,0.983153
9.854920,4.604697,0.918803
10.416296,1.757634,0.948931
9.323081,1.624300,0.981795
10.976048,1.122146,0.985258
9.659681,1.438970,0.967626
6.933580,2.013024,0.933437
12.038419,3.228343,0.956710
7.290683,3.026176,0.914530
4.259145,0.842385,0.913928
9.646792,2.226785,0.966057
6.487556,1.288733,0.948229
11.294662,3.015891,0.901389
7.991476,2.935098,0.895461
7.254351,1.605463,0.975000
10.782856,2.222024,0.870712
7.391010,1.123200,0.983071
6.581788,1.293002,0.975741
8.209249,1.542484,0.978934
7.016775,0.943796,0.978774
11.116512,2.107602,0.958656
7.166204,1.317611,0.985185
10.030338,1.643430,0.980464
10.426047,2.713852,0.986453
8.920736,1.551985,0.968170
7.610465,1.070327,0.981912
9.779505,0.963142,0.993031
11.127611,2.553070,0.976804
11.032043,2.306922,0.981084
12.076643,2.887546,0.925874
9.727398,1.138938,0.997783
11.665437,2.073467,0.748327
9.581533,1.538378,0.983721
9.306997,1.271312,0.954051
11.003205,2.809957,0.990099
9.006742,1.637234,0.987358
11.612535,2.373496,0.983539
6.818865,1.739535,0.956104
11.474094,2.054991,0.935233
7.616556,4.062657,0.964824
12.253525,2.793649,0.972441
6.577784,1.655274,0.978290
8.169415,1.787570,0.965649
9.755639,1.804398,0.961870
6.211859,1.327061,0.988251
5.215847,1.357843,0.974930
10.420913,1.648937,0.969400
10.086487,1.131136,0.991031
10.039006,0.994278,0.980256
9.941938,1.589516,0.990643
11.325006,6.136604,0.961593
8.810992,2.745406,0.947730
11.354883,2.700781,0.983627
9.612290,2.392380,0.977690
8.840006,1.124629,0.981862
8.501376,0.998393,0.983030
12.415032,2.812762,0.989376
9.755868,1.634494,0.990610
11.854199,2.380648,0.976501
12.128976,2.605100,0.937090
12.274047,3.376277,0.968379
8.029746,3.224991,0.850000
10.073678,1.200561,0.995413
6.726543,4.248893,0.946502
11.314059,2.568023,0.968011
8.965454,1.380069,0.986763
7.092493,0.991445,0.987624
9.043702,2.576695,0.949086
10.780653,1.501548,0.980606
9.500624,1.351197,0.988777
11.627959,2.008412,0.976280
9.918064,1.172882,0.994350
10.502280,1.555810,0.946324
7.166008,1.217077,0.985525
9.984413,1.442003,0.981524
10.324423,3.096235,0.948810
6.959197,2.343402,0.948138
6.390538,1.705934,0.930233
10.779261,1.557063,0.984300
9.541260,1.925201,0.910506
8.813671,2.811532,0.950413
10.315770,1.341478,0.979738
9.519518,1.357061,0.987400
10.647436,1.816545,0.974940
7.963376,1.528667,0.989390
8.493999,1.193517,0.968789
10.019297,1.139642,0.982619
11.263327,1.915582,0.987639
12.098425,2.832358,0.978947
9.476287,1.692638,0.987952
11.660814,1.464422,0.993850
11.625185,3.135571,0.985935
7.141606,1.334039,0.983791
9.148597,1.782989,0.970701
10.044261,1.398378,0.977887
7.910428,1.462939,0.983095
11.092156,1.484383,0.979090
11.274589,1.915876,0.951507
7.767844,0.735753,0.997732
4.117378,0.758346,0.981073
11.281913,2.085084,0.977330
9.957946,1.625253,0.956349
11.308360,2.333391,0.968254
10.857648,1.873877,0.968098
7.355987,2.375326,0.975887
7.926243,1.701306,0.973615
9.440517,2.090311,0.966931
5.003084,1.930225,0.883657
5.436095,1.112849,0.980663
7.745609,1.483725,0.982005
9.693617,1.863563,0.973978
9.354609,1.310325,0.976716
10.278793,1.362201,0.982057
7.803405,0.966510,0.975452
6.351878,1.881249,0.958519
5.817827,1.156824,0.978856
6.583295,1.091468,0.988204
9.888058,1.579814,0.934243
4.257507,0.692270,0.980085
9.195718,2.128579,0.972368
11.732895,2.535318,0.938931
10.649236,1.849508,0.966184
6.943061,2.371537,0.984993
11.123950,2.070903,0.979695
11.595927,1.933611,0.980443
9.443089,1.489337,0.988053
10.308620,1.113112,0.979469
11.490988,1.606440,0.984029
9.391136,1.668714,0.981651
5.557670,0.957766,0.986874
11.573100,2.717241,0.968474
11.445007,1.746646,0.986041
10.269160,1.683519,0.970353
8.523951,2.002758,0.932773
7.918750,1.900855,0.977992
10.007233,1.577741,0.985366
8.792676,1.575785,0.976471
8.386908,1.504771,0.959339
8.250867,1.618023,0.967862
10.698654,1.577907,0.983491
9.080527,1.254653,0.966912
7.516472,1.779235,0.968379
9.131963,0.911184,0.975758
9.864931,1.740959,0.989324
10.373384,1.123904,0.963139
9.139897,2.294780,0.959318
10.130622,1.151202,0.948335
5.535943,1.131315,0.981928
7.193905,1.529875,0.961992
10.104138,1.389658,0.944575
7.228387,2.185818,0.973316
10.519523,1.881192,0.961023
8.425128,0.974589,0.981020
8.901512,1.362222,0.991617
7.037834,1.981212,0.963061
11.409389,2.850504,0.975278
11.393196,2.123583,0.989262
11.667522,4.524048,0.872404
5.386678,1.153368,0.969925
5.711647,1.191854,0.985148
5.135950,1.170088,0.973384
6.376544,1.374661,0.985014
6.408989,1.970132,0.952055
8.829036,2.513548,0.949785
5.270802,0.872061,0.977556
4.956797,0.789240,0.990698
4.755089,0.979479,0.978856
4.893287,0.919137,0.989730
6.328819,0.846998,0.988079
4.786494,0.851381,0.986618
5.210736,1.096144,0.985037
4.738467,1.102627,0.989912
4.955346,1.057644,0.957447
4.798116,1.078673,0.942857
5.030580,0.725201,0.971985
5.075880,2.590605,0.917827
5.415713,1.536573,0.973042
4.884895,2.604272,0.964674
4.968257,0.600444,0.988304
6.288003,0.821442,0.988651
7.420683,1.746982,0.931751
6.357841,1.372531,0.939093
5.663869,1.070036,0.987294
5.604057,1.596504,0.961230
8.686469,2.360962,0.973174
5.798239,1.388928,0.940278
5.439928,0.961176,0.983586
5.936831,3.234363,0.936134
5.459941,1.692363,0.967967
5.828029,1.436409,0.948254
4.818897,0.786802,0.975098
4.990183,0.956150,0.933921
4.908467,0.826716,0.977832
5.027160,0.664153,0.972840
4.334823,0.862985,0.976574
8.848244,3.652252,0.965414
4.760561,1.115393,0.981936
6.561124,1.466078,0.964963
4.785967,1.165931,0.978589
5.235302,1.072692,0.987715
5.643946,1.089599,0.974425
5.018185,1.188779,0.986403
8.889443,2.127160,0.937913
5.670802,0.902136,0.962056
5.827178,2.042691,0.963738
5.169961,1.089858,0.981949
5.590929,0.994953,0.873832
4.942249,0.718553,0.984412
5.129733,1.042771,0.986146
5.574574,0.743197,0.962532
6.773313,0.954874,0.974684
4.923870,1.274418,0.897297
5.008742,0.945868,0.977807
5.003195,1.003838,0.979849
5.222668,0.498835,0.991745
4.891038,1.180877,0.984615
5.170131,0.869511,0.994104
7.451982,2.483309,0.960526
6.156850,1.373304,0.973684
5.311170,0.915067,0.986889
5.192199,1.166463,0.976801
5.217391,0.724414,0.992583
5.707585,1.088627,0.952580
5.119628,0.841451,0.992299
7.126151,2.660253,0.945525
6.516286,4.257614,0.958425
6.108319,2.915257,0.969404
7.949677,3.017755,0.956357
6.478690,1.340880,0.986587
7.457992,2.795005,0.961957
6.805949,1.562967,0.991349
7.052327,3.291817,0.949057
7.424221,3.056334,0.827368
6.860981,2.541442,0.953925
6.266658,1.427232,0.973214
4.338270,1.195373,0.954955
7.543596,2.644940,0.888696
7.081743,1.906555,0.978003
7.402751,2.673351,0.979522
6.217424,1.642980,0.955267
6.741040,2.625330,0.969697
7.042968,1.993026,0.969072
6.066094,1.609165,0.975867
7.791207,1.625825,0.984645
7.305587,2.829347,0.992000
6.598314,2.041698,0.941653
7.166953,3.138806,0.838115
7.434263,2.085159,0.980969
7.737097,2.860758,0.960000
