Attname,DPCount
2016_07_13-14_Leaf_Necrosis,698
2016_07_13-14_vegetation_index,698
2016_07_13_BAP_Leaf_Area,698
2016_07_13_laser_plant_height,698
2016_07_light_interception,698
2016_08_05-08_vegetation_index,698
2016_08_light_interception,698
2016_09_light_interception,698
SF16h_HGT1_120,698
SF16h_HGT2_120,698
SF16h_HGT3_120,698
SF16h_HGT_120_MEAN,698
SF16h_HGT_120_STD,698
SF16h_PAN1_120,697
SF16h_PAN2_120,697
SF16h_PAN3_120,697
SF16h_PAN_120_MEAN,698
SF16h_PAN_120_STD,698
SF16h_TWT_120,698
SF16h_WTL_120,698
SF16h_WTP_120,698
accession_origin=,696
accession_origin=Australia,264
accession_origin=Benin,70
accession_origin=Botswana,195
accession_origin=Burkina_Faso,518
accession_origin=Burundi,78
accession_origin=Cameroon,146
accession_origin=China,196
accession_origin=Egypt,22
accession_origin=Ethiopia,685
accession_origin=Former_Serbia_and_Montenegro,243
accession_origin=Former_Soviet_Union,270
accession_origin=Ghana,436
accession_origin=Hungary,511
accession_origin=India,640
accession_origin=Japan,156
accession_origin=Kenya,648
accession_origin=Malawi,683
accession_origin=Mali,444
accession_origin=Mexico,677
accession_origin=Nigeria,544
accession_origin=Rwanda,247
accession_origin=Senegal,92
accession_origin=South_Africa,453
accession_origin=Sudan,686
accession_origin=Swaziland,271
accession_origin=Syria,93
accession_origin=Tanzania,467
accession_origin=Togo,564
accession_origin=Turkey,216
accession_origin=Uganda,658
accession_origin=United_States,458
accession_origin=Yemen,123
accession_origin=Zaire,596
accession_origin=Zambia,472
accession_origin=Zimbabwe,494
accession_photoperiod=,551
accession_photoperiod=PHOTOPERIOD_INSENSITIVE,695
accession_photoperiod=PHOTOPERIOD_SENSITIVE,698
accession_race=,698
accession_race=Bicolor,158
accession_race=Caudatum,697
accession_race=Caudatum-bicolor,637
accession_race=Durra,613
accession_race=Durra-bicolor,535
accession_race=Durra-caudatum,636
accession_race=Guinea,596
accession_race=Guinea-bicolor,342
accession_race=Guinea-caudatum,698
accession_race=Guinea-durra,44
accession_race=Guinea-kafir,516
accession_race=Kafir,449
accession_race=Kafir-bicolor,308
accession_race=Kafir-caudatum,97
accession_race=Kafir-durra,208
accession_race=Mixed,195
accession_type=,548
accession_type=Cellulosic,698
accession_type=GRAIN,509
accession_type=Sweet,698
DCAD,0
