Mean,Variance,InboundsScore
20.505552,85.342003,0.954397
9.341100,67.762634,0.910280
20.577168,18.226742,0.991892
16.184242,60.678310,0.929895
20.376663,42.550182,0.953045
20.715370,15.195384,0.985714
15.498695,78.228035,0.924209
18.863186,36.219341,0.967168
17.946562,30.796497,0.895857
13.499771,85.109024,0.932879
18.924433,35.952641,0.913877
19.336607,21.676508,0.952310
22.233879,14.222074,0.985843
20.090624,30.515736,0.951908
7.073395,62.117283,0.868687
18.940666,36.697227,0.984848
16.795164,53.270599,0.902058
19.646502,23.108885,0.946726
21.406570,14.475295,0.988048
18.884325,36.772518,0.952485
11.710397,59.672443,0.958067
11.896808,97.825699,0.907917
16.306992,87.018677,0.969432
19.707708,23.127129,0.942362
21.741947,10.059930,0.978814
15.731570,67.273674,0.919935
21.909937,15.642309,0.952135
18.732828,35.294483,0.972983
20.403631,12.459373,0.938160
15.751808,60.005268,0.930290
22.572725,8.301399,0.989757
21.120729,11.177806,0.994417
16.841587,31.975922,0.914587
20.948755,13.988185,0.953519
22.228125,15.845307,0.995019
18.225986,17.355669,0.971726
21.037262,16.494991,0.982917
20.832003,6.893008,0.985032
19.930574,16.030342,0.983871
20.010344,9.715609,0.975994
16.942350,40.663948,0.920875
20.374470,25.100485,0.947903
19.600828,31.894852,0.925270
20.082823,20.764585,0.950557
21.752106,9.247249,0.995062
18.283930,20.807117,0.973554
21.455830,9.588817,0.974428
20.287117,21.351185,0.983914
16.882303,14.538753,0.962199
21.590044,10.332245,0.987688
22.639288,10.653689,0.984375
21.742752,10.688507,0.977642
21.884159,14.437824,0.989053
22.382807,15.392227,0.987936
19.832600,31.538832,0.931171
20.162918,32.196243,0.985304
20.322741,14.958122,0.977889
19.906872,25.095282,0.953394
22.929316,7.656437,0.991094
21.879278,7.612336,0.994452
22.597813,14.692491,0.983269
21.555273,14.537716,0.951791
18.437075,12.357215,0.867941
19.655630,21.991741,0.941926
19.510225,22.193771,0.961281
21.183666,13.519288,0.983440
19.108536,17.518208,0.717770
21.180161,13.758183,0.988629
19.233639,20.618660,0.954511
20.460180,12.593101,0.978632
22.877155,11.540114,0.982930
19.909193,18.467922,0.968208
17.432133,19.736895,0.880795
20.620403,9.932601,0.987342
20.662197,14.859146,0.983182
17.093515,40.803375,0.901557
21.108414,14.956280,0.992063
19.850697,22.478889,0.965103
20.188057,7.920812,0.991846
20.919426,25.807671,0.986092
19.040194,13.540417,0.870607
20.319323,60.949612,0.972561
19.854368,27.241245,0.908003
16.499996,28.209778,0.909268
21.269709,12.344318,0.989783
18.583256,15.436743,0.938312
20.765562,15.168790,0.952096
21.386646,16.421535,0.955482
16.977209,69.888092,0.934022
21.123882,7.284212,0.970506
19.302088,42.448612,0.894606
20.337130,42.428577,0.971391
21.580769,13.124888,0.991139
18.409733,16.294542,0.933665
20.997171,15.246035,0.967914
20.180658,34.755848,0.943424
20.502680,12.916958,0.985640
22.168768,8.094819,0.997365
21.068573,11.509022,0.949216
21.583357,11.457988,0.984023
17.787525,35.382580,0.940619
18.195166,63.578671,0.965562
20.073874,35.507591,0.945607
17.634956,69.272522,0.949422
19.078382,24.466368,0.771180
19.049307,19.809065,0.975347
18.587862,41.222092,0.985163
20.982346,11.153473,0.994561
14.843388,190.436279,0.930174
20.956406,22.660971,0.988750
20.057341,22.688877,0.937697
19.954847,22.581465,0.995946
16.768145,79.033577,0.952676
18.042150,47.524815,0.927445
20.407862,12.534938,0.981844
17.065205,30.440004,0.974320
18.836584,45.248726,0.974322
17.167532,25.849209,0.981928
18.405607,30.707123,0.987705
17.746214,35.968937,0.979857
17.912279,17.572451,0.918703
20.795214,10.784754,0.978662
19.639200,29.001993,0.976584
20.456179,19.353756,0.983676
15.651873,43.574268,0.918389
18.432238,9.569440,0.898754
17.515554,34.552685,0.970350
20.867308,18.633841,0.990968
17.413494,30.448357,0.977843
19.652004,40.907047,0.982634
20.489473,24.267954,0.979536
19.317570,14.709044,0.973995
19.869762,16.534327,0.989011
18.408300,19.064795,0.986111
20.021486,8.881824,0.979931
17.244244,36.382942,0.992021
18.130962,36.253998,0.975867
16.607878,52.019680,0.784916
19.052845,21.504637,0.980085
20.281357,21.856861,0.981086
20.036201,26.993483,0.985801
22.382124,5.443270,0.985353
20.443806,24.287598,0.951650
19.627470,47.761696,0.944287
18.374935,28.035717,0.975142
18.250353,23.144642,0.983533
18.980602,29.916569,0.960212
17.153759,67.480385,0.923994
18.656300,43.708767,0.955687
18.883965,20.244181,0.986175
19.983118,26.147566,0.973743
20.049162,27.065889,0.983101
19.953930,17.285923,0.951979
16.011829,32.084137,0.961710
19.216265,18.455019,0.953112
19.221252,17.736439,0.965099
19.003996,22.275894,0.924301
21.145435,18.608271,0.977778
14.626077,138.849075,0.877551
14.375003,62.016453,0.892651
19.922216,13.177410,0.994609
17.996216,23.126480,0.967168
20.133341,23.357712,0.982036
21.075296,10.020054,0.993075
21.688490,13.066669,0.979613
21.564571,12.166604,0.992273
21.017162,7.660310,0.992258
16.484241,46.442535,0.974468
15.560757,60.834133,0.876092
16.305191,52.734188,0.973941
20.457537,34.517975,0.971083
19.518520,10.172192,0.954687
15.809352,50.835556,0.966693
19.935526,16.497236,0.989943
19.653454,25.422384,0.981907
20.259758,22.792921,0.961429
20.221964,15.579464,0.943778
18.151127,24.442699,0.897139
17.037552,51.933529,0.965151
19.159321,17.435017,0.951771
18.580948,104.388397,0.986861
18.159069,35.914890,0.987087
21.407722,10.692367,0.994723
19.575405,34.964958,0.952096
17.444128,47.952469,0.953547
18.245779,38.948303,0.975703
20.124279,15.452505,0.986823
20.093786,28.515579,0.987324
20.193140,22.462910,0.956674
15.818600,62.645260,0.962237
8.098374,107.682587,0.932914
19.054192,31.483131,0.937063
18.987337,19.066614,0.993369
17.880156,40.303493,0.956011
