Attname,DPCount
2016_07_13-14_Leaf_Necrosis,698
2016_07_13-14_vegetation_index,698
2016_07_13_BAP_Leaf_Area,698
2016_07_13_laser_plant_height,698
2016_07_light_interception,698
2016_08_05-08_vegetation_index,698
2016_08_light_interception,698
2016_09_light_interception,698
SF16h_HGT1_120,698
SF16h_HGT2_120,698
SF16h_HGT3_120,698
SF16h_HGT_120_MEAN,698
SF16h_HGT_120_STD,698
SF16h_PAN1_120,698
SF16h_PAN2_120,698
SF16h_PAN3_120,698
SF16h_PAN_120_MEAN,698
SF16h_PAN_120_STD,698
SF16h_TWT_120,698
SF16h_WTL_120,698
SF16h_WTP_120,698
accession_origin=,696
accession_origin=Australia,276
accession_origin=Benin,206
accession_origin=Botswana,139
accession_origin=Burkina_Faso,460
accession_origin=Burundi,427
accession_origin=Cameroon,221
accession_origin=China,379
accession_origin=Egypt,342
accession_origin=Ethiopia,698
accession_origin=Former_Serbia_and_Montenegro,528
accession_origin=Former_Soviet_Union,97
accession_origin=Ghana,506
accession_origin=Hungary,324
accession_origin=India,658
accession_origin=Japan,59
accession_origin=Kenya,492
accession_origin=Malawi,637
accession_origin=Mali,419
accession_origin=Mexico,576
accession_origin=Nigeria,418
accession_origin=Rwanda,78
accession_origin=Senegal,110
accession_origin=South_Africa,643
accession_origin=Sudan,609
accession_origin=Swaziland,241
accession_origin=Syria,105
accession_origin=Tanzania,261
accession_origin=Togo,400
accession_origin=Turkey,506
accession_origin=Uganda,395
accession_origin=United_States,368
accession_origin=Yemen,405
accession_origin=Zaire,561
accession_origin=Zambia,424
accession_origin=Zimbabwe,480
accession_photoperiod=,698
accession_photoperiod=PHOTOPERIOD_INSENSITIVE,698
accession_photoperiod=PHOTOPERIOD_SENSITIVE,692
accession_race=,668
accession_race=Bicolor,316
accession_race=Caudatum,670
accession_race=Caudatum-bicolor,693
accession_race=Durra,693
accession_race=Durra-bicolor,560
accession_race=Durra-caudatum,595
accession_race=Guinea,536
accession_race=Guinea-bicolor,71
accession_race=Guinea-caudatum,601
accession_race=Guinea-durra,17
accession_race=Guinea-kafir,144
accession_race=Kafir,213
accession_race=Kafir-bicolor,616
accession_race=Kafir-caudatum,79
accession_race=Kafir-durra,182
accession_race=Mixed,557
accession_type=,698
accession_type=Cellulosic,695
accession_type=GRAIN,688
accession_type=Sweet,689
Dry_Matter,0
