Mean,Variance,InboundsScore
91.508888,0.467003,0.938127
91.286598,0.172349,0.935045
91.573997,0.179746,0.983648
91.372452,0.500083,0.893588
91.231010,0.497594,0.902691
91.742393,0.199183,0.993036
91.488304,0.239984,0.938532
91.353783,0.367171,0.962644
92.122009,0.624298,0.875721
91.279182,0.218811,0.959243
91.761032,0.241017,0.922781
91.748421,0.280898,0.936643
91.583473,0.268161,0.981869
91.396271,0.324018,0.926771
91.123734,0.282549,0.887439
91.466995,0.389151,0.972727
91.335953,0.188324,0.902649
91.830444,0.187749,0.956336
91.464546,0.453385,0.990741
91.609558,0.378614,0.957928
91.342545,0.217459,0.953101
91.166451,0.357344,0.926746
91.039459,0.239144,0.982287
91.787552,0.298651,0.925040
91.568855,0.217969,0.974185
91.087273,0.363735,0.922945
92.596001,0.157122,0.962882
91.629738,0.288109,0.958824
91.769096,0.390151,0.920507
91.728539,0.183376,0.951706
92.403862,0.353722,0.976705
91.778717,0.313548,0.991576
92.197800,0.430386,0.885417
92.803375,0.427482,0.857732
91.669891,0.332494,0.986975
92.131409,0.487123,0.971810
91.639282,0.244115,0.967164
91.764877,0.346615,0.976682
91.826561,0.296808,0.979973
91.844826,0.220698,0.959355
91.901947,0.551905,0.932300
91.562546,0.316339,0.975169
91.467407,0.331962,0.897466
92.101326,0.211440,0.955704
91.804817,0.273307,0.984752
92.678772,0.434470,0.974315
91.790833,0.208328,0.953128
91.934509,0.227426,0.982930
92.082726,0.468488,0.955836
92.526726,0.192484,0.972689
91.723381,0.225317,0.991239
91.548302,0.258164,0.970345
91.798691,0.235519,0.987005
91.553490,0.365211,0.978052
91.604828,0.320853,0.946676
91.525818,0.311983,0.972818
91.731934,0.281555,0.964564
91.843384,0.319055,0.953454
91.650345,0.228486,0.997230
91.608986,0.101031,0.995238
92.041962,0.429555,0.954704
91.404167,0.271303,0.977041
91.932602,0.528192,0.913565
91.866165,0.421491,0.963873
91.755058,0.311099,0.944743
91.619331,0.239856,0.985969
92.682587,0.411038,0.632568
91.685005,0.287184,0.981383
92.059853,0.583403,0.942206
91.829010,0.354727,0.978022
91.915657,0.138591,0.989717
91.861008,0.319512,0.948420
92.677368,0.431004,0.876520
91.828430,0.260009,0.990741
91.871124,0.376144,0.984752
92.130730,0.434260,0.889980
91.718025,0.166537,0.994885
91.930962,0.208280,0.957476
91.931015,0.225426,0.989651
91.511856,0.211406,0.974834
92.124580,0.543062,0.890675
91.766327,0.312483,0.959859
91.710426,0.420855,0.902230
91.695557,0.346945,0.919475
91.646835,0.227228,0.996089
91.823517,0.771429,0.923944
92.852478,0.182274,0.859688
91.658409,0.349538,0.952390
92.278915,0.516563,0.900897
91.756752,0.288036,0.981107
92.177361,0.716037,0.886471
91.651993,0.295965,0.974376
92.014885,0.510289,0.981241
92.498108,0.612647,0.921708
91.525810,0.451557,0.957202
92.011131,0.493004,0.907674
91.905792,0.532403,0.988095
91.419548,0.288994,0.984006
91.665161,0.418042,0.973955
92.703362,0.224997,0.976697
92.144127,0.359749,0.929403
91.810860,0.283789,0.980407
92.018829,0.297705,0.960110
91.577599,0.179328,0.958391
92.450897,0.563025,0.805415
92.295052,0.288872,0.980966
92.329979,0.310952,0.981055
92.022598,0.172064,0.988258
91.751083,0.272771,0.943504
92.039627,0.103066,0.997590
92.115204,0.333078,0.939651
92.230980,0.228217,0.992683
91.816368,0.142740,0.953047
91.657791,0.193983,0.900364
92.120071,0.252974,0.988930
91.838623,0.205687,0.970213
91.689980,0.121197,0.976918
91.682831,0.121660,0.985751
92.278679,0.272312,0.987671
91.467606,0.103909,0.979960
92.241241,0.400507,0.930142
91.964012,0.113946,0.978102
92.430283,0.292666,0.977602
91.756805,0.161758,0.976146
91.440659,0.082442,0.913088
92.147720,0.680911,0.899536
92.185699,0.317811,0.976250
91.913780,0.130644,0.995043
91.637901,0.172623,0.979566
91.871727,0.202474,0.968608
92.050674,0.220985,0.989196
92.122696,0.550141,0.966906
91.979294,0.172896,0.985897
91.828629,0.066566,0.998782
91.819168,0.279899,0.986430
92.021225,0.164031,0.989051
91.940163,0.209899,0.975309
92.299072,0.653896,0.774648
92.392609,0.275445,0.973782
91.973747,0.118233,0.986029
91.914337,0.170080,0.989841
92.711983,0.253649,0.965116
92.033806,0.329494,0.949191
91.958740,0.174870,0.950475
91.528847,0.170405,0.979908
91.817734,0.241212,0.987585
