Attname,DPCount
2016_07_13-14_Leaf_Necrosis,698
2016_07_13-14_vegetation_index,698
2016_07_13_BAP_Leaf_Area,698
2016_07_13_laser_plant_height,698
2016_07_light_interception,698
2016_08_05-08_vegetation_index,698
2016_08_light_interception,698
2016_09_light_interception,698
SF16h_HGT1_120,698
SF16h_HGT2_120,698
SF16h_HGT3_120,698
SF16h_HGT_120_MEAN,698
SF16h_HGT_120_STD,698
SF16h_PAN1_120,698
SF16h_PAN2_120,698
SF16h_PAN3_120,698
SF16h_PAN_120_MEAN,698
SF16h_PAN_120_STD,698
SF16h_TWT_120,698
SF16h_WTL_120,698
SF16h_WTP_120,698
accession_origin=,697
accession_origin=Australia,119
accession_origin=Benin,315
accession_origin=Botswana,92
accession_origin=Burkina_Faso,489
accession_origin=Burundi,99
accession_origin=Cameroon,48
accession_origin=China,419
accession_origin=Egypt,295
accession_origin=Ethiopia,684
accession_origin=Former_Serbia_and_Montenegro,173
accession_origin=Former_Soviet_Union,41
accession_origin=Ghana,285
accession_origin=Hungary,374
accession_origin=India,280
accession_origin=Japan,191
accession_origin=Kenya,556
accession_origin=Malawi,472
accession_origin=Mali,466
accession_origin=Mexico,290
accession_origin=Nigeria,570
accession_origin=Rwanda,66
accession_origin=Senegal,152
accession_origin=South_Africa,438
accession_origin=Sudan,698
accession_origin=Swaziland,412
accession_origin=Syria,296
accession_origin=Tanzania,432
accession_origin=Togo,431
accession_origin=Turkey,451
accession_origin=Uganda,634
accession_origin=United_States,487
accession_origin=Yemen,273
accession_origin=Zaire,398
accession_origin=Zambia,541
accession_origin=Zimbabwe,289
accession_photoperiod=,551
accession_photoperiod=PHOTOPERIOD_INSENSITIVE,698
accession_photoperiod=PHOTOPERIOD_SENSITIVE,698
accession_race=,682
accession_race=Bicolor,156
accession_race=Caudatum,656
accession_race=Caudatum-bicolor,596
accession_race=Durra,659
accession_race=Durra-bicolor,265
accession_race=Durra-caudatum,467
accession_race=Guinea,682
accession_race=Guinea-bicolor,227
accession_race=Guinea-caudatum,609
accession_race=Guinea-durra,247
accession_race=Guinea-kafir,73
accession_race=Kafir,326
accession_race=Kafir-bicolor,110
accession_race=Kafir-caudatum,362
accession_race=Kafir-durra,85
accession_race=Mixed,143
accession_type=,559
accession_type=Cellulosic,698
accession_type=GRAIN,592
accession_type=Sweet,698
EE_Fat,0
