Mean,Variance,InboundsScore
1.016211,0.002738,0.928797
1.046877,0.002373,0.941463
0.924929,0.004223,0.953565
1.017681,0.005169,0.915641
0.961072,0.004957,0.906349
0.952769,0.004959,0.970874
0.947341,0.004953,0.952998
1.016101,0.003812,0.972125
1.015783,0.003566,0.953416
1.043193,0.003533,0.938967
0.963949,0.005922,0.931783
1.004289,0.003650,0.937685
0.918139,0.007037,0.984825
0.953710,0.004759,0.946349
1.067241,0.001692,0.864322
1.016994,0.003355,0.972932
0.969714,0.004563,0.937299
0.946178,0.005820,0.946027
0.934858,0.004675,0.952105
0.936261,0.004565,0.954766
1.048371,0.003394,0.942623
1.031273,0.002013,0.889246
0.993329,0.005442,0.950794
0.976499,0.005678,0.919877
0.921660,0.004983,0.935897
1.045180,0.002802,0.910959
0.962920,0.001911,0.904762
0.967555,0.005711,0.923841
0.853607,0.002727,0.937677
0.927562,0.005048,0.949675
0.870134,0.004457,0.960055
0.843922,0.003064,0.965699
0.837592,0.003711,0.945227
0.955504,0.003343,0.911765
0.867853,0.001838,0.989809
0.819946,0.001337,0.985677
0.854487,0.003444,0.970745
0.882635,0.003324,0.982667
0.835426,0.000864,0.978182
0.861565,0.001714,0.971429
0.806725,0.002244,0.939522
0.849183,0.001752,0.984516
0.990129,0.003419,0.971429
0.935740,0.004681,0.957101
0.868267,0.002527,0.987104
0.844344,0.002525,0.950413
0.837231,0.001605,0.985075
0.867742,0.003097,0.971129
0.834210,0.002861,0.963873
0.959280,0.002563,0.951439
0.845522,0.002025,0.980366
0.837243,0.001654,0.972717
0.854751,0.003553,0.959786
0.844749,0.002503,0.941785
0.884648,0.003399,0.952843
0.861287,0.003525,0.954918
0.860514,0.002007,0.960705
0.848680,0.001996,0.943046
0.868077,0.001471,0.992574
0.841562,0.001534,0.993711
0.889902,0.002583,0.953846
0.864633,0.002381,0.940460
0.845758,0.002841,0.945481
0.819180,0.000951,0.962916
0.874155,0.004522,0.946595
0.859858,0.001686,0.991657
0.885283,0.004659,0.704082
0.889398,0.004479,0.960544
0.832593,0.001241,0.977108
0.856686,0.003064,0.976131
0.862841,0.002492,0.979167
0.834315,0.002287,0.936351
0.832181,0.001826,0.900662
0.820803,0.000888,0.986998
0.843054,0.001247,0.984127
0.821351,0.002257,0.937233
0.879114,0.002009,0.970390
0.852659,0.003315,0.956885
0.840037,0.001462,0.974889
