Attname,DPCount
2016_07_13-14_Leaf_Necrosis,698
2016_07_13-14_vegetation_index,698
2016_07_13_BAP_Leaf_Area,698
2016_07_13_laser_plant_height,698
2016_07_light_interception,698
2016_08_05-08_vegetation_index,698
2016_08_light_interception,698
2016_09_light_interception,698
SF16h_HGT1_120,698
SF16h_HGT2_120,698
SF16h_HGT3_120,698
SF16h_HGT_120_MEAN,698
SF16h_HGT_120_STD,698
SF16h_PAN1_120,698
SF16h_PAN2_120,698
SF16h_PAN3_120,698
SF16h_PAN_120_MEAN,698
SF16h_PAN_120_STD,698
SF16h_TWT_120,698
SF16h_WTL_120,698
SF16h_WTP_120,698
accession_origin=,689
accession_origin=Australia,65
accession_origin=Benin,183
accession_origin=Botswana,83
accession_origin=Burkina_Faso,455
accession_origin=Burundi,552
accession_origin=Cameroon,528
accession_origin=China,392
accession_origin=Egypt,196
accession_origin=Ethiopia,698
accession_origin=Former_Serbia_and_Montenegro,107
accession_origin=Former_Soviet_Union,31
accession_origin=Ghana,496
accession_origin=Hungary,162
accession_origin=India,343
accession_origin=Japan,44
accession_origin=Kenya,430
accession_origin=Malawi,583
accession_origin=Mali,266
accession_origin=Mexico,141
accession_origin=Nigeria,472
accession_origin=Rwanda,252
accession_origin=Senegal,559
accession_origin=South_Africa,283
accession_origin=Sudan,696
accession_origin=Swaziland,562
accession_origin=Syria,574
accession_origin=Tanzania,502
accession_origin=Togo,584
accession_origin=Turkey,522
accession_origin=Uganda,663
accession_origin=United_States,415
accession_origin=Yemen,118
accession_origin=Zaire,518
accession_origin=Zambia,406
accession_origin=Zimbabwe,60
accession_photoperiod=,698
accession_photoperiod=PHOTOPERIOD_INSENSITIVE,698
accession_photoperiod=PHOTOPERIOD_SENSITIVE,698
accession_race=,693
accession_race=Bicolor,164
accession_race=Caudatum,649
accession_race=Caudatum-bicolor,540
accession_race=Durra,638
accession_race=Durra-bicolor,522
accession_race=Durra-caudatum,625
accession_race=Guinea,570
accession_race=Guinea-bicolor,290
accession_race=Guinea-caudatum,547
accession_race=Guinea-durra,75
accession_race=Guinea-kafir,185
accession_race=Kafir,295
accession_race=Kafir-bicolor,345
accession_race=Kafir-caudatum,482
accession_race=Kafir-durra,463
accession_race=Mixed,151
accession_type=,698
accession_type=Cellulosic,691
accession_type=GRAIN,415
accession_type=Sweet,698
Hemicellulose,0
