Mean,Variance,InboundsScore
28.415171,0.708520,0.960938
27.612656,0.460809,0.946528
27.480450,0.874904,0.991957
28.042624,1.447057,0.932902
28.038427,1.253241,0.937649
27.631670,1.147202,0.990728
27.460852,0.850579,0.945494
27.588434,0.932430,0.982781
28.037479,1.095090,0.899881
27.381830,0.914321,0.947178
27.753164,1.064509,0.923051
27.758904,0.376555,0.974969
27.274633,1.306669,0.979536
27.465076,0.783667,0.944239
27.581900,0.697262,0.894147
27.799179,0.575733,0.990604
27.361439,1.193367,0.938640
28.029400,1.239369,0.950977
27.613663,0.600719,0.993773
27.470407,1.544696,0.959016
27.775917,0.524930,0.964817
28.104303,0.615465,0.945848
27.426710,0.490410,0.989796
27.790300,0.657707,0.913198
27.508354,1.563887,0.970943
27.936026,0.560229,0.972028
28.718210,0.766074,0.954262
27.974165,0.746056,0.985237
26.545013,1.688374,0.924362
27.560104,0.995176,0.937408
27.216499,2.622428,0.956587
26.371618,1.720041,0.977654
25.438059,3.637344,0.892706
28.557526,1.819809,0.878661
26.763041,1.620188,0.981894
26.209209,1.553397,0.972179
26.375296,0.988218,0.966950
27.406624,1.869930,0.949667
25.430393,1.507763,0.983895
26.535563,1.657756,0.942468
25.536648,2.156388,0.931588
26.016443,1.322295,0.962846
28.176769,0.773669,0.925328
27.820272,1.869713,0.924469
26.895239,1.444142,0.988349
25.159922,3.422817,0.939968
26.060472,1.701364,0.942879
26.617670,2.530643,0.970126
23.965611,4.166398,0.958904
28.680513,0.808982,0.951852
26.261580,1.674903,0.979079
26.424007,1.630824,0.922437
26.503023,1.600586,0.973739
26.396734,2.047812,0.973611
27.036633,1.218969,0.948003
26.651543,1.762537,0.960867
26.487951,2.681139,0.946249
26.796787,1.711729,0.916532
26.683281,1.545406,0.983673
26.455029,2.167745,0.986686
27.782389,1.640548,0.967494
26.821918,1.885908,0.952580
25.202621,4.165003,0.896942
25.971247,2.308381,0.910979
26.733723,1.203180,0.914617
26.539480,1.144832,0.973123
25.316227,7.022758,0.718182
26.650791,2.184011,0.966901
25.760223,1.727820,0.966219
26.293644,2.132609,0.966521
26.918131,1.296769,0.973992
26.409046,1.360874,0.943618
24.043716,4.334931,0.872024
25.537779,0.999054,0.990210
25.920694,0.901038,0.983146
25.681038,2.427149,0.896905
27.318039,0.868256,0.982211
26.826010,1.413294,0.921915
26.668180,1.283271,0.968116
27.309254,1.167200,0.972332
24.097782,4.517416,0.860125
27.377447,1.200906,0.953753
27.574966,1.581599,0.922676
25.626251,0.997370,0.927556
27.373224,1.238844,0.990528
25.163132,2.436707,0.947723
27.986904,2.620330,0.883966
27.303383,2.105977,0.949165
27.671356,2.258118,0.912307
25.883703,1.433222,0.985673
26.654669,3.644345,0.845697
25.687988,2.384725,0.934491
26.262260,1.794731,0.965035
23.808508,6.424024,0.898757
25.494917,2.765887,0.933020
27.568871,2.612844,0.887901
25.072977,1.971685,0.975867
26.311287,1.541694,0.980865
25.963903,2.132533,0.954482
28.355026,1.892903,0.965649
26.922409,1.692289,0.918764
27.280069,1.402294,0.965296
27.641813,1.689218,0.950000
27.784159,0.744985,0.977594
26.548124,4.213002,0.781019
27.242680,1.788239,0.965836
27.948425,1.126961,0.983073
27.631912,0.750628,0.980418
