Attname,DPCount
2016_07_13-14_Leaf_Necrosis,698
2016_07_13-14_vegetation_index,698
2016_07_13_BAP_Leaf_Area,698
2016_07_13_laser_plant_height,698
2016_07_light_interception,698
2016_08_05-08_vegetation_index,698
2016_08_light_interception,698
2016_09_light_interception,698
SF16h_HGT1_120,698
SF16h_HGT2_120,698
SF16h_HGT3_120,698
SF16h_HGT_120_MEAN,698
SF16h_HGT_120_STD,698
SF16h_PAN1_120,698
SF16h_PAN2_120,698
SF16h_PAN3_120,698
SF16h_PAN_120_MEAN,698
SF16h_PAN_120_STD,698
SF16h_TWT_120,698
SF16h_WTL_120,698
SF16h_WTP_120,698
accession_origin=,682
accession_origin=Australia,72
accession_origin=Benin,64
accession_origin=Botswana,170
accession_origin=Burkina_Faso,625
accession_origin=Burundi,113
accession_origin=Cameroon,106
accession_origin=China,430
accession_origin=Egypt,521
accession_origin=Ethiopia,634
accession_origin=Former_Serbia_and_Montenegro,26
accession_origin=Former_Soviet_Union,108
accession_origin=Ghana,430
accession_origin=Hungary,266
accession_origin=India,256
accession_origin=Japan,263
accession_origin=Kenya,647
accession_origin=Malawi,616
accession_origin=Mali,564
accession_origin=Mexico,359
accession_origin=Nigeria,668
accession_origin=Rwanda,78
accession_origin=Senegal,520
accession_origin=South_Africa,439
accession_origin=Sudan,686
accession_origin=Swaziland,399
accession_origin=Syria,58
accession_origin=Tanzania,519
accession_origin=Togo,683
accession_origin=Turkey,323
accession_origin=Uganda,691
accession_origin=United_States,570
accession_origin=Yemen,508
accession_origin=Zaire,309
accession_origin=Zambia,372
accession_origin=Zimbabwe,577
accession_photoperiod=,696
accession_photoperiod=PHOTOPERIOD_INSENSITIVE,698
accession_photoperiod=PHOTOPERIOD_SENSITIVE,698
accession_race=,697
accession_race=Bicolor,447
accession_race=Caudatum,675
accession_race=Caudatum-bicolor,561
accession_race=Durra,681
accession_race=Durra-bicolor,511
accession_race=Durra-caudatum,342
accession_race=Guinea,698
accession_race=Guinea-bicolor,216
accession_race=Guinea-caudatum,634
accession_race=Guinea-durra,32
accession_race=Guinea-kafir,48
accession_race=Kafir,517
accession_race=Kafir-bicolor,368
accession_race=Kafir-caudatum,441
accession_race=Kafir-durra,250
accession_race=Mixed,427
accession_type=,698
accession_type=Cellulosic,698
accession_type=GRAIN,684
accession_type=Sweet,698
Lignin,0
