Mean,Variance,InboundsScore
5.132522,0.470107,0.892857
5.881006,0.638614,0.935484
5.290629,0.353696,0.988345
5.512609,0.496019,0.908163
5.674263,1.321242,0.867159
5.549513,0.298178,0.974490
5.426088,0.465781,0.955056
5.634921,0.589280,0.960265
6.141855,0.428934,0.951923
5.194084,0.864970,0.929412
5.622195,0.453436,0.918605
5.782940,0.445579,0.953216
5.267936,0.518123,0.994987
5.563386,0.398648,0.980556
5.450983,0.649876,0.860169
5.792216,0.353544,0.956268
5.388210,0.488097,0.964856
5.923419,0.290710,0.978667
5.499441,0.318711,0.994845
5.536444,0.591673,0.945736
5.904057,0.524468,0.932624
5.470245,0.450803,0.910345
5.515053,0.732814,0.948630
5.747402,0.418349,0.911681
5.630126,0.415343,0.964912
5.600991,0.504949,0.906149
6.919112,0.078369,0.942387
5.612354,0.509626,0.983471
5.548801,0.403329,0.964912
5.538285,0.164581,0.990499
6.111080,0.499606,0.969605
5.589419,0.267036,0.979684
5.472168,0.319776,0.947075
7.033990,0.362244,0.853333
5.518944,0.202813,0.985577
5.839526,0.242714,0.985542
5.744335,0.266231,0.982183
5.644317,0.344485,0.990544
5.571128,0.288171,0.997625
5.536369,0.265037,0.988180
5.639026,0.376347,0.959135
5.439717,0.417487,0.976636
5.524701,0.362458,0.968023
6.096176,0.262153,0.968000
5.536356,0.144657,0.993520
5.601473,0.385247,0.966102
5.662931,0.300511,0.988095
5.817644,0.514312,0.966495
5.716182,0.232816,0.952854
6.795535,0.182689,0.963801
5.503561,0.292485,0.981818
5.547365,0.500774,0.963325
5.908642,0.199562,0.993023
5.719934,0.550194,0.977723
5.451488,0.581793,0.946602
5.378799,0.251865,0.980000
5.740621,0.282475,0.979263
5.659275,0.275806,0.948837
5.542390,0.174128,0.983051
5.429040,0.195946,0.990588
6.261169,0.796201,0.944805
5.419113,0.263942,0.949761
5.519526,0.357804,0.939086
5.787388,0.267092,0.983373
5.833702,0.437221,0.947494
5.707962,0.211063,0.995604
6.869259,0.326886,0.495726
5.499266,0.296951,0.979263
5.238822,0.187035,0.988038
5.598275,0.349005,0.977221
5.738940,0.233882,0.993039
5.814545,0.368032,0.924051
5.912555,0.443980,0.859375
5.421573,0.140821,0.988864
5.397595,0.204054,0.991323
5.519341,0.491575,0.944882
5.593911,0.220101,0.979730
5.757843,0.095751,0.995327
5.889103,0.152718,0.995086
5.467102,0.247385,0.981221
5.561141,0.629570,0.877049
5.781248,0.369096,0.966057
5.624627,0.339444,0.923858
5.420904,0.357707,0.997658
5.611181,0.331177,0.980198
5.426010,0.392396,0.947368
6.878240,0.557718,0.885965
5.669360,0.351590,0.990244
6.048700,0.723743,0.934605
5.627235,0.294017,0.985714
6.381134,0.711981,0.843636
5.464069,0.523911,0.965174
5.769535,0.420373,0.984848
5.762080,0.519282,0.932432
5.570713,0.285407,0.985646
6.211508,0.513495,0.906752
5.533756,0.357638,0.990385
5.531100,0.394874,0.985401
5.385823,0.353383,0.981221
6.444223,0.591541,0.969799
6.002996,0.275468,0.995204
5.500997,0.336126,0.980907
5.671043,0.574662,0.959900
4.993700,0.669537,0.942408
6.389478,0.392364,0.757732
6.078331,0.209116,0.969152
6.151642,0.368229,0.957606
5.713800,0.177361,0.997567
5.619309,0.126470,0.991209
5.552600,0.158609,0.990610
5.795467,0.470774,0.968000
5.898294,0.266714,0.988208
5.021119,0.361056,0.969412
4.660940,1.166271,0.923483
5.851433,0.269705,0.990805
5.295806,0.154161,0.980247
4.855605,0.509265,0.989873
4.304210,0.758821,0.986772
5.490584,0.215760,0.985401
4.510495,0.632869,0.968668
6.320890,0.579981,0.958101
5.346795,0.148039,0.953380
5.906544,0.167344,0.995465
5.456768,0.209263,0.967366
4.599028,0.471442,0.949198
5.943207,0.682411,0.869333
5.543820,0.299951,0.951724
5.143311,0.303244,0.981524
4.693807,0.499091,0.974684
5.176602,0.515707,0.975309
5.859075,0.172198,0.986111
5.670747,0.366762,0.946136
4.883409,0.269015,0.992736
5.004466,0.417818,0.981481
5.525345,0.300757,0.979638
5.313426,0.433574,0.984340
5.087483,0.364807,0.968992
6.135977,1.376661,0.758209
5.872552,0.301058,0.991011
5.499097,0.227394,0.981439
5.428433,0.240097,0.990930
6.933972,0.149422,0.966527
5.739425,0.166383,0.978417
5.627925,0.252692,0.990632
4.546067,0.583394,0.994950
5.351298,0.217235,0.983412
5.286243,0.109579,0.997619
5.324476,0.348513,0.943311
5.102705,0.518163,0.959900
5.988883,0.368330,0.983254
5.682820,0.267704,0.986486
5.952306,0.265829,0.993072
5.916175,0.178760,0.993103
5.417760,1.044550,0.946524
6.363331,0.373052,0.966480
6.096342,0.371026,0.976623
5.908054,0.147828,0.993182
5.770439,0.120710,0.995495
4.084938,0.801517,0.846405
5.064698,0.476157,0.955774
6.078172,0.134422,1.000000
4.787485,0.310466,0.994845
6.041096,0.345269,0.984848
5.529903,0.402630,0.982759
5.385236,0.181089,0.991189
5.908574,0.125573,0.997717
5.902631,0.114994,0.997773
5.206898,0.326562,0.985258
5.755152,0.915615,0.798799
5.634111,0.334070,0.971429
5.216679,0.239378,0.978520
5.803955,0.400899,0.946237
4.244617,0.476691,0.952113
5.983974,0.401614,0.964736
5.514662,0.330893,0.987531
5.873948,0.294248,0.967290
5.556955,0.186578,0.977728
5.418284,0.124857,0.986696
4.723292,0.788289,0.949868
5.707877,0.281529,0.934605
5.240288,0.567550,0.966292
4.909421,0.694683,0.982843
5.804843,0.393550,0.985401
5.768295,0.209574,0.983412
5.198125,0.958576,0.972527
5.584239,0.961580,0.954424
5.201509,0.424235,0.990268
5.428359,0.946086,0.965347
5.955574,0.272878,0.947781
5.523357,0.209039,0.968523
5.336411,0.405439,0.951923
5.884193,0.465164,0.966752
5.771703,0.142803,0.997748
4.949485,0.353992,0.997573
5.204287,0.886805,0.941463
4.415754,0.827359,0.956923
5.911811,0.308080,0.987893
5.858512,0.296184,0.955000
5.703313,0.140487,1.000000
5.616637,0.306130,0.986175
5.255321,0.395480,0.992500
5.759722,1.096211,0.922280
5.035542,0.799363,0.983254
5.232305,0.309306,0.966427
5.336664,0.382082,0.985915
5.529628,0.206756,0.995475
5.035171,0.316925,0.960396
6.852978,0.300806,0.908297
4.986485,0.721357,0.976684
5.180429,0.179000,0.997653
5.595335,0.548216,0.980488
5.589374,0.427874,0.979405
5.055406,0.855095,0.935065
5.291339,0.533552,0.963235
5.223965,0.317044,0.974811
5.123991,0.633965,0.943152
5.302402,0.362031,0.991170
5.493108,0.583321,0.941476
5.622263,0.550859,0.930481
5.717990,0.329019,0.960494
5.363667,0.131942,0.987562
5.436774,0.388863,0.963768
6.572138,0.372763,0.939286
5.124157,0.325766,0.995516
5.822272,0.338617,0.979747
4.606348,0.383622,0.980556
4.632381,1.025792,0.965147
5.368869,0.367495,0.997549
5.746055,0.563918,0.962217
4.929659,0.477164,0.960422
5.461236,0.621600,0.947658
4.905883,0.766639,0.912921
7.070374,0.307690,0.951965
5.349025,0.170319,0.988558
5.882270,0.286263,0.990588
5.286579,0.360110,0.986143
4.374654,0.824583,0.931138
5.361837,0.370596,0.973039
3.689270,1.832993,0.960123
5.313391,0.356611,0.984055
5.659768,0.059769,0.971765
3.877750,0.387355,0.986150
5.476247,0.236051,0.984270
4.017633,0.370837,0.940298
4.649490,0.369617,0.971503
5.591735,0.482464,0.965879
6.071659,0.321387,0.972010
5.327129,0.417419,0.974771
4.596940,0.603610,0.942857
5.462374,0.228483,0.988263
5.649796,0.112514,0.965675
5.702894,0.227129,0.980630
5.841504,0.286078,0.974359
4.949204,0.217686,1.000000
5.238204,0.287824,0.990719
5.124705,0.188886,0.997613
4.226983,0.470236,0.992647
4.887059,0.619908,0.976923
4.549899,0.531479,0.966292
4.170901,0.348126,0.970149
5.219380,0.187060,0.993166
4.773929,0.364057,0.979950
