Attname,DPCount
2016_07_13-14_Leaf_Necrosis,698
2016_07_13-14_vegetation_index,698
2016_07_13_BAP_Leaf_Area,698
2016_07_13_laser_plant_height,698
2016_07_light_interception,698
2016_08_05-08_vegetation_index,698
2016_08_light_interception,697
2016_09_light_interception,698
SF16h_HGT1_120,698
SF16h_HGT2_120,698
SF16h_HGT3_120,698
SF16h_HGT_120_MEAN,698
SF16h_HGT_120_STD,698
SF16h_PAN1_120,698
SF16h_PAN2_120,698
SF16h_PAN3_120,698
SF16h_PAN_120_MEAN,698
SF16h_PAN_120_STD,698
SF16h_TWT_120,698
SF16h_WTL_120,698
SF16h_WTP_120,698
accession_origin=,698
accession_origin=Australia,325
accession_origin=Benin,425
accession_origin=Botswana,110
accession_origin=Burkina_Faso,629
accession_origin=Burundi,68
accession_origin=Cameroon,209
accession_origin=China,563
accession_origin=Egypt,166
accession_origin=Ethiopia,692
accession_origin=Former_Serbia_and_Montenegro,93
accession_origin=Former_Soviet_Union,377
accession_origin=Ghana,394
accession_origin=Hungary,106
accession_origin=India,196
accession_origin=Japan,109
accession_origin=Kenya,586
accession_origin=Malawi,413
accession_origin=Mali,527
accession_origin=Mexico,561
accession_origin=Nigeria,578
accession_origin=Rwanda,67
accession_origin=Senegal,228
accession_origin=South_Africa,399
accession_origin=Sudan,597
accession_origin=Swaziland,72
accession_origin=Syria,208
accession_origin=Tanzania,383
accession_origin=Togo,601
accession_origin=Turkey,611
accession_origin=Uganda,450
accession_origin=United_States,529
accession_origin=Yemen,539
accession_origin=Zaire,428
accession_origin=Zambia,468
accession_origin=Zimbabwe,635
accession_photoperiod=,698
accession_photoperiod=PHOTOPERIOD_INSENSITIVE,693
accession_photoperiod=PHOTOPERIOD_SENSITIVE,698
accession_race=,674
accession_race=Bicolor,443
accession_race=Caudatum,631
accession_race=Caudatum-bicolor,690
accession_race=Durra,641
accession_race=Durra-bicolor,305
accession_race=Durra-caudatum,230
accession_race=Guinea,615
accession_race=Guinea-bicolor,62
accession_race=Guinea-caudatum,605
accession_race=Guinea-durra,36
accession_race=Guinea-kafir,163
accession_race=Kafir,485
accession_race=Kafir-bicolor,610
accession_race=Kafir-caudatum,491
accession_race=Kafir-durra,65
accession_race=Mixed,678
accession_type=,698
accession_type=Cellulosic,696
accession_type=GRAIN,692
accession_type=Sweet,697
NEG_OARDC,0
