Mean,Variance,InboundsScore
30.833990,13.294133,0.908238
30.364836,17.363621,0.907478
32.900311,5.249978,0.993072
27.298037,11.427367,0.873185
28.471973,17.336037,0.912390
31.641506,8.237207,0.980653
31.419043,11.336189,0.933861
28.084726,10.216573,0.977816
26.604015,8.575512,0.895458
31.714813,20.069025,0.937669
27.242907,9.620624,0.924978
27.535362,11.792102,0.963918
33.553322,6.418330,0.990899
31.138615,11.693693,0.943871
29.899591,9.677419,0.901914
27.246546,11.982856,0.977124
32.780224,8.679993,0.921348
29.381269,11.167726,0.939502
30.794441,9.841704,0.979925
33.278355,15.721487,0.958843
27.458401,12.019897,0.948956
30.152336,8.823533,0.901042
31.856138,9.241762,0.966184
29.395807,11.427137,0.946443
30.130947,11.481191,0.973353
28.776159,11.129390,0.928571
22.506451,3.260138,0.931343
30.983879,12.920157,0.966992
33.457302,7.674583,0.968204
32.258224,5.268754,0.957103
29.199770,28.924585,0.969896
34.154110,4.454625,0.995397
33.495853,8.314031,0.892369
23.279215,6.636840,0.821839
33.924778,7.622934,0.989387
33.950581,5.945247,0.987059
33.913486,5.385127,0.971339
32.708164,5.632557,0.987923
35.371193,3.487515,0.994097
33.715641,5.879966,0.974552
34.471390,7.845212,0.971738
34.163551,7.700137,0.975356
29.830770,8.966937,0.906739
28.394140,10.930785,0.940819
33.800541,6.409661,0.993873
34.897705,6.177700,0.972877
32.907093,6.738638,0.955712
33.147675,6.582278,0.980594
34.933243,5.555120,0.967665
23.729195,10.687619,0.946779
34.175419,5.234590,0.984884
33.697926,4.219229,0.955632
32.584724,5.200439,0.992982
33.960255,6.589620,0.975553
32.608799,5.257352,0.972198
33.911163,6.082720,0.954327
32.959354,6.961121,0.967053
33.911343,5.091771,0.956419
34.227470,4.369235,0.995470
34.776043,3.308786,0.995506
28.267258,19.529726,0.965074
34.123283,6.596692,0.976526
33.487694,7.575117,0.939748
34.509701,3.562258,0.967779
33.247860,7.273596,0.942284
34.507496,4.916675,0.994325
26.569252,18.626862,0.636467
33.470570,5.460767,0.979762
34.428436,6.155746,0.980161
34.080891,4.003182,0.978286
32.917164,3.047508,0.991101
33.142658,6.871933,0.967352
33.199631,7.411023,0.893266
35.763309,4.685062,0.993023
35.175110,1.680768,0.996670
34.042213,5.593194,0.880520
32.610847,7.276015,0.988493
32.939678,5.876940,0.962724
32.999985,4.374689,0.991583
33.083260,8.208228,0.990930
35.485588,8.001295,0.889964
31.866310,6.483421,0.973102
28.282919,11.693683,0.932086
34.549210,2.838595,0.961303
32.780144,5.874501,0.986410
35.651047,7.255904,0.974937
23.461292,5.538242,0.790123
32.467899,8.637927,0.962090
28.917862,13.247275,0.910015
34.884628,3.549476,0.991141
29.158955,17.308195,0.874872
34.386337,9.100149,0.982272
34.358891,5.081624,0.995470
34.859962,4.367531,0.963486
34.141808,12.326068,0.969268
29.451107,12.799464,0.925550
35.684425,5.300342,0.989157
34.355042,5.014503,0.986651
33.680840,5.713739,0.957050
26.224812,15.849411,0.950838
32.067768,6.752362,0.960160
31.722454,2.532362,0.972560
31.445713,5.147363,0.957027
33.448875,3.861615,0.981257
30.084084,7.663434,0.796386
30.149038,2.684423,0.981962
