Attname,DPCount
2016_07_13-14_Leaf_Necrosis,698
2016_07_13-14_vegetation_index,698
2016_07_13_BAP_Leaf_Area,698
2016_07_13_laser_plant_height,698
2016_07_light_interception,698
2016_08_05-08_vegetation_index,698
2016_08_light_interception,698
2016_09_light_interception,698
SF16h_HGT1_120,698
SF16h_HGT2_120,698
SF16h_HGT3_120,698
SF16h_HGT_120_MEAN,698
SF16h_HGT_120_STD,698
SF16h_PAN1_120,698
SF16h_PAN2_120,698
SF16h_PAN3_120,698
SF16h_PAN_120_MEAN,698
SF16h_PAN_120_STD,698
SF16h_TWT_120,698
SF16h_WTL_120,698
SF16h_WTP_120,698
accession_origin=,687
accession_origin=Australia,53
accession_origin=Benin,331
accession_origin=Botswana,224
accession_origin=Burkina_Faso,613
accession_origin=Burundi,54
accession_origin=Cameroon,144
accession_origin=China,645
accession_origin=Egypt,10
accession_origin=Ethiopia,688
accession_origin=Former_Serbia_and_Montenegro,18
accession_origin=Former_Soviet_Union,61
accession_origin=Ghana,457
accession_origin=Hungary,183
accession_origin=India,339
accession_origin=Japan,49
accession_origin=Kenya,588
accession_origin=Malawi,592
accession_origin=Mali,514
accession_origin=Mexico,420
accession_origin=Nigeria,663
accession_origin=Rwanda,72
accession_origin=Senegal,178
accession_origin=South_Africa,504
accession_origin=Sudan,686
accession_origin=Swaziland,137
accession_origin=Syria,8
accession_origin=Tanzania,345
accession_origin=Togo,455
accession_origin=Turkey,93
accession_origin=Uganda,651
accession_origin=United_States,525
accession_origin=Yemen,501
accession_origin=Zaire,357
accession_origin=Zambia,666
accession_origin=Zimbabwe,156
accession_photoperiod=,506
accession_photoperiod=PHOTOPERIOD_INSENSITIVE,697
accession_photoperiod=PHOTOPERIOD_SENSITIVE,698
accession_race=,667
accession_race=Bicolor,479
accession_race=Caudatum,675
accession_race=Caudatum-bicolor,646
accession_race=Durra,664
accession_race=Durra-bicolor,485
accession_race=Durra-caudatum,523
accession_race=Guinea,652
accession_race=Guinea-bicolor,411
accession_race=Guinea-caudatum,637
accession_race=Guinea-durra,56
accession_race=Guinea-kafir,85
accession_race=Kafir,489
accession_race=Kafir-bicolor,122
accession_race=Kafir-caudatum,296
accession_race=Kafir-durra,372
accession_race=Mixed,135
accession_type=,495
accession_type=Cellulosic,698
accession_type=GRAIN,685
accession_type=Sweet,698
NEL3x_ADF,0
