Mean,Variance,InboundsScore
76.118141,22.768227,0.958005
78.746887,41.989758,0.947541
72.037712,5.736357,0.994778
75.522316,26.505556,0.937853
74.636658,21.299858,0.944134
70.734268,13.847200,0.989011
73.099838,12.187734,0.984496
75.264236,20.385422,0.966667
73.122665,31.871874,0.956757
75.603401,17.739695,0.935976
73.418472,23.244637,0.882192
74.658669,51.463879,0.967123
71.177605,4.027434,0.994937
71.643585,4.373427,0.985507
78.116890,14.750105,0.868421
72.892372,7.003344,0.984615
74.620399,13.063992,0.981579
72.110893,18.043085,0.966667
71.257515,8.952864,0.989717
72.354683,18.259342,0.954315
76.567375,33.868404,0.949367
76.818085,26.448950,0.873377
74.714745,20.579454,0.968085
72.116989,13.940632,0.962217
70.663612,8.333676,0.960106
80.235619,84.342590,0.901695
69.512985,8.185940,0.906077
73.490799,12.708139,0.982005
68.560806,10.529993,0.961877
71.605118,30.000265,0.966321
69.289093,2.930134,0.986842
69.245033,6.326698,0.991803
69.974808,11.689593,0.950920
69.114525,15.645624,0.934844
70.172379,6.599320,0.978836
68.173271,4.881256,0.976401
68.566292,5.086007,0.986595
68.761749,6.249534,0.984655
67.674675,3.787390,0.982188
68.428719,6.530750,0.981481
69.393517,14.770518,0.919403
69.549416,4.087308,0.994751
73.509087,27.288239,0.981771
68.535576,12.694553,0.935185
68.834778,5.975235,0.992366
67.445145,3.214990,0.971129
68.731934,2.513674,0.994536
68.073059,6.457551,0.959128
68.689903,2.025770,0.955145
68.990349,14.940465,0.957831
68.607780,3.073651,0.985000
68.566994,1.622577,0.976247
68.322624,7.405907,0.977941
68.685356,2.620192,0.981132
69.250320,9.938044,0.983051
69.616409,8.810568,0.989556
68.698837,9.920884,0.973753
68.168312,6.319678,0.957576
69.900055,5.742954,0.987245
69.572365,5.887359,0.997462
69.568085,8.039322,0.964072
71.285004,21.705946,0.932432
68.583046,12.255715,0.939726
69.510536,13.076480,0.991597
69.118500,12.200259,0.936288
68.554779,9.988218,0.987406
67.795021,11.516267,0.713376
69.906013,6.050151,0.976864
68.654037,16.722452,0.990000
69.292603,6.880680,0.949333
67.886284,7.089083,0.992665
67.750107,6.234039,0.934844
67.507690,7.862335,0.871720
67.971268,1.904329,0.992443
69.348640,12.547298,0.992147
67.834900,9.006291,0.965418
69.230774,5.492458,0.990196
68.830177,22.276007,0.983099
67.972466,12.889859,0.974093
69.919815,14.392675,0.951567
67.211174,16.093714,0.901493
70.112709,24.281641,0.964392
69.423660,26.817259,0.901538
68.204956,2.100989,0.992084
70.673393,7.770162,0.989041
68.075104,6.932310,0.945055
68.177437,9.295635,0.942363
69.570129,6.069090,0.969613
68.694214,10.759720,0.937143
68.904846,6.126178,0.982005
70.548584,17.909855,0.862295
69.930168,16.841307,0.970027
67.650909,9.309798,0.991202
68.327866,4.365434,0.929178
