Attname,DPCount
SF16h_HGT1_120,698
SF16h_HGT2_120,698
SF16h_HGT3_120,698
SF16h_TWT_120,698
SF16h_WTP_120,698
SF16h_WTL_120,698
SF16h_PAN1_120,698
SF16h_PAN2_120,698
SF16h_PAN3_120,698
2016_07_13-14_Leaf_Necrosis,698
2016_07_13-14_vegetation_index,698
2016_08_05-08_vegetation_index,698
2016_07_13_BAP_Leaf_Area,698
2016_07_13_laser_plant_height,698
2016_07_light_interception,698
2016_08_light_interception,698
2016_09_light_interception,698
gps_eastings_UTMzone17N,698
gps_northings_UTMzone17N,698
accession_photoperiod,698
accession_type,698
accession_origin,698
accession_race,693
NEL3x_OARDC,0
