Mean,Variance,InboundsScore
58.396835,8.056363,0.920863
57.298000,7.997373,0.936975
60.213528,2.291824,0.995624
55.740879,5.875261,0.905738
56.075077,6.864711,0.933014
59.850376,6.405777,0.981481
61.707722,6.556497,0.917840
56.832012,4.030848,0.985611
55.107613,5.196851,0.934156
57.829197,5.230532,0.923810
56.498077,6.814236,0.937500
55.633423,4.792429,0.972763
60.802311,4.088598,0.991051
60.115261,6.436807,0.969048
57.225979,8.246530,0.829365
55.846653,4.549947,0.981618
61.211899,6.143916,0.913151
58.606342,9.430125,0.956012
59.044960,2.191900,0.990566
61.426033,8.049914,0.974299
55.256611,4.800272,0.941423
57.367027,3.678967,0.863799
60.154758,4.135830,0.961929
57.626316,6.645272,0.937956
58.145035,7.594232,0.963190
57.125523,4.187785,0.897810
53.383560,1.481183,0.933333
59.968784,9.101772,0.973494
62.146648,5.128523,0.967172
60.287712,2.133875,0.988636
56.778503,11.473131,0.983740
62.600594,4.894126,0.986928
63.583881,6.436107,0.938953
53.978664,4.790926,0.841584
61.345776,4.017599,0.988611
62.156506,5.756032,0.984694
62.157864,5.575490,0.983759
62.169632,6.016733,0.972540
63.190365,3.919637,0.992327
61.933918,4.043299,0.961637
63.273392,5.014247,0.945026
62.561188,4.247837,0.970370
58.429367,5.786258,0.968481
58.505375,7.695701,0.923077
62.929237,2.900625,0.997753
63.177299,9.242994,0.917614
62.712299,3.102668,0.990499
61.372353,6.232282,0.963942
63.127655,6.313611,0.957020
54.175587,2.756456,0.916201
61.585712,5.161143,0.986270
62.152348,4.482216,0.970588
60.676270,3.222023,0.991131
62.003059,7.309493,0.968215
59.856831,3.524212,0.974359
62.123409,4.337290,0.977629
62.199368,4.344566,0.987041
61.659302,3.159940,0.955665
61.177906,5.169825,0.986486
62.522991,4.384919,0.986726
58.138420,10.320877,0.930233
61.936459,6.377715,0.960557
63.129276,5.164048,0.927978
62.854618,2.335387,0.984887
61.917931,5.071414,0.957944
62.449333,3.980136,0.997748
54.965595,11.425481,0.612360
62.484142,4.430515,0.980088
63.333141,5.668344,0.967172
62.188457,3.252973,0.959620
60.808186,2.095097,0.983573
61.135811,6.024829,0.938824
63.933250,9.018166,0.869565
