Attname,DPCount
2016_07_13-14_Leaf_Necrosis,698
2016_07_13-14_vegetation_index,698
2016_07_13_BAP_Leaf_Area,698
2016_07_13_laser_plant_height,698
2016_07_light_interception,698
2016_08_05-08_vegetation_index,698
2016_08_light_interception,698
2016_09_light_interception,698
SF16h_HGT1_120,698
SF16h_HGT2_120,698
SF16h_HGT3_120,698
SF16h_HGT_120_MEAN,698
SF16h_HGT_120_STD,698
SF16h_PAN1_120,698
SF16h_PAN2_120,698
SF16h_PAN3_120,698
SF16h_PAN_120_MEAN,698
SF16h_PAN_120_STD,698
SF16h_TWT_120,698
SF16h_WTL_120,698
SF16h_WTP_120,698
accession_origin=,694
accession_origin=Australia,270
accession_origin=Benin,254
accession_origin=Botswana,79
accession_origin=Burkina_Faso,628
accession_origin=Burundi,20
accession_origin=Cameroon,421
accession_origin=China,624
accession_origin=Egypt,136
accession_origin=Ethiopia,697
accession_origin=Former_Serbia_and_Montenegro,24
accession_origin=Former_Soviet_Union,250
accession_origin=Ghana,302
accession_origin=Hungary,93
accession_origin=India,281
accession_origin=Japan,106
accession_origin=Kenya,648
accession_origin=Malawi,460
accession_origin=Mali,529
accession_origin=Mexico,568
accession_origin=Nigeria,537
accession_origin=Rwanda,152
accession_origin=Senegal,262
accession_origin=South_Africa,423
accession_origin=Sudan,581
accession_origin=Swaziland,192
accession_origin=Syria,311
accession_origin=Tanzania,385
accession_origin=Togo,651
accession_origin=Turkey,636
accession_origin=Uganda,458
accession_origin=United_States,531
accession_origin=Yemen,447
accession_origin=Zaire,410
accession_origin=Zambia,525
accession_origin=Zimbabwe,463
accession_photoperiod=,698
accession_photoperiod=PHOTOPERIOD_INSENSITIVE,698
accession_photoperiod=PHOTOPERIOD_SENSITIVE,694
accession_race=,684
accession_race=Bicolor,332
accession_race=Caudatum,591
accession_race=Caudatum-bicolor,685
accession_race=Durra,557
accession_race=Durra-bicolor,390
accession_race=Durra-caudatum,389
accession_race=Guinea,661
accession_race=Guinea-bicolor,153
accession_race=Guinea-caudatum,587
accession_race=Guinea-durra,62
accession_race=Guinea-kafir,247
accession_race=Kafir,482
accession_race=Kafir-bicolor,649
accession_race=Kafir-caudatum,554
accession_race=Kafir-durra,41
accession_race=Mixed,637
accession_type=,698
accession_type=Cellulosic,694
accession_type=GRAIN,698
accession_type=Sweet,695
NEM_OARDC,0
