Mean,Variance,InboundsScore
54.866734,22.819771,0.885714
54.317677,21.321211,0.935561
57.599808,9.936206,0.991001
50.839710,16.775312,0.900917
52.264370,23.872807,0.860674
56.249104,10.498439,0.979738
58.326118,17.509117,0.942822
51.923931,18.037462,0.972536
50.247570,13.861960,0.923695
56.874523,21.444712,0.917073
51.045677,12.456753,0.939900
51.017670,14.421482,0.957237
58.383835,10.663878,0.979753
56.978573,10.787468,0.976879
54.209743,16.693119,0.849776
51.749874,19.436361,0.982114
57.735081,14.998022,0.940104
53.752140,19.958162,0.955182
54.883621,10.638553,0.984713
57.375473,17.751902,0.978129
51.448929,18.409767,0.955390
53.531788,12.349004,0.877323
56.724842,15.187643,0.969565
53.970467,11.417020,0.945055
54.862190,17.690294,0.969444
52.205849,19.513304,0.935065
45.436993,3.630790,0.928994
54.999596,17.582153,0.984146
57.456970,8.270468,0.965693
57.484482,11.022554,0.986254
52.891876,34.101273,0.968966
58.352428,9.544585,0.992966
58.346767,9.903776,0.929635
46.159740,6.635040,0.867647
57.877453,10.729124,0.990442
59.168175,6.768733,0.982906
59.160484,6.649544,0.985746
57.362038,8.299844,0.979929
60.888264,7.168918,0.986826
58.925011,5.521153,0.977273
59.391399,8.376675,0.964720
58.400200,14.193765,0.965770
53.616081,16.788717,0.971642
52.687180,13.156324,0.965774
59.452583,6.146347,0.994686
60.972031,7.561054,0.972873
59.179150,10.193934,0.989078
57.884415,10.355875,0.975265
60.528088,6.369650,0.974260
46.958389,7.558070,0.939828
59.027985,8.975344,0.987298
58.385887,8.953016,0.965831
57.705872,8.172820,0.997773
59.388035,5.841506,0.986159
57.434788,7.123674,0.973517
59.426182,9.831213,0.989510
58.242870,6.668245,0.983945
57.479271,10.510772,0.971393
58.527916,6.068437,0.986425
59.724819,5.445618,0.991131
53.010391,25.957005,0.963415
59.196598,8.250746,0.957520
60.012794,7.302462,0.964912
59.654156,6.118805,0.949761
58.033829,10.876204,0.959044
59.176811,9.334021,0.982552
51.226833,31.036448,0.628429
58.966003,9.238772,0.974943
59.947777,6.917910,0.988053
58.069241,13.003020,0.962264
57.322475,4.397098,0.997895
56.747723,12.336377,0.954598
59.168556,11.963403,0.901282
60.981445,6.148792,0.992974
60.031460,5.282251,0.995526
58.830513,10.917974,0.943949
57.815136,7.789332,0.992054
56.781563,7.337248,0.982495
57.360340,8.219681,0.988999
57.291649,8.304486,0.989749
60.865097,11.317785,0.893082
57.658401,11.554714,0.967890
53.330669,18.338802,0.948963
60.087158,4.020167,0.991745
56.692417,8.974982,0.992188
60.658382,8.743491,0.942893
46.808090,12.425930,0.801858
57.738003,17.392319,0.974760
53.667843,32.833324,0.960064
60.261551,4.517890,0.981798
52.170490,23.060776,0.864253
59.911560,7.285236,0.977350
58.394691,9.278172,0.991736
60.604504,9.064202,0.948686
59.342907,9.817856,0.961768
53.681080,21.495205,0.948758
61.738182,7.816034,0.989324
59.277489,4.896781,0.996746
58.506424,11.800804,0.996567
50.862408,26.161877,0.946058
57.089645,8.369720,0.992400
56.211075,3.147745,0.991579
55.536728,4.478474,0.967368
57.538483,5.128863,0.969231
54.237282,7.017192,0.766515
54.147171,4.064078,0.978818
54.779537,2.607250,0.988409
55.539898,1.902670,0.995863
55.965649,6.481674,0.992521
55.954033,4.569974,0.991507
54.851494,4.842549,0.982979
55.577358,2.736751,0.995708
57.332386,2.729057,0.975992
57.655708,5.773485,0.972129
54.588589,4.076352,0.990291
56.881695,3.351001,0.987111
57.862831,3.700254,0.992383
58.639301,2.719707,0.994457
54.926765,2.219048,0.991605
58.743065,5.227221,0.983070
53.891479,6.825916,0.972540
55.946716,3.332183,0.985011
54.485256,2.165516,0.992299
56.372017,5.112306,0.987234
58.545094,5.141713,0.988950
60.114185,10.156549,0.916459
55.342850,3.227957,0.986229
57.018490,3.590526,0.990635
58.423485,4.287595,0.997847
56.894932,5.271524,0.986081
54.289894,3.589119,0.993485
59.013062,10.839397,0.939320
57.625008,3.211529,0.996845
56.568527,4.094317,0.995829
59.656288,8.234611,0.991813
56.468754,3.377724,0.996839
56.187180,3.243718,0.978746
54.730488,9.010624,0.751452
54.636112,14.205889,0.956468
55.258331,2.601897,0.994715
56.108337,1.789927,1.000000
45.863380,4.491792,0.937853
56.216896,6.019057,0.976271
56.108757,3.532800,0.990426
58.160034,2.758386,0.996732
57.023434,3.358611,0.996855
57.305706,5.784043,0.975713
56.676460,2.877889,0.983211
55.905010,3.292557,0.974657
54.922894,3.381964,0.991516
55.373444,3.593172,0.979809
54.323597,3.041300,0.997833
54.734741,3.815682,0.989955
54.827553,4.523866,0.973941
54.445950,7.535241,0.943311
54.473412,4.341412,0.960373
55.455376,3.425662,0.988601
55.348087,2.254337,0.998925
58.756920,7.139868,0.918246
56.644318,2.720018,0.985761
54.550110,4.551347,0.997847
57.428486,1.725685,0.996865
54.320820,3.403579,0.994612
55.844524,2.382918,0.995842
59.328388,9.801774,0.981265
56.474072,5.611581,0.998935
55.221317,3.183804,0.996901
56.659451,3.402863,0.989396
60.310757,9.372184,0.826347
55.937778,3.409292,0.984962
56.884220,4.036978,0.983069
54.743565,7.873883,0.966279
58.912766,3.937499,0.983012
54.596390,4.731811,0.995671
55.946873,3.784328,0.989733
56.681847,9.738113,0.975474
57.398285,10.079353,0.945946
56.775116,2.580405,0.993724
57.792229,5.127068,0.981069
59.480724,12.314969,0.942356
56.521210,5.460031,0.990281
57.705082,6.202815,0.987027
58.108044,8.294526,0.981818
55.024101,6.187374,0.984252
