Attname,DPCount
2016_07_13-14_Leaf_Necrosis,698
2016_07_13-14_vegetation_index,698
2016_07_13_BAP_Leaf_Area,698
2016_07_13_laser_plant_height,698
2016_07_light_interception,698
2016_08_05-08_vegetation_index,698
2016_08_light_interception,698
2016_09_light_interception,698
SF16h_HGT1_120,698
SF16h_HGT2_120,698
SF16h_HGT3_120,698
SF16h_HGT_120_MEAN,698
SF16h_HGT_120_STD,698
SF16h_PAN1_120,698
SF16h_PAN2_120,698
SF16h_PAN3_120,698
SF16h_PAN_120_MEAN,698
SF16h_PAN_120_STD,698
SF16h_TWT_120,698
SF16h_WTL_120,698
SF16h_WTP_120,698
accession_origin=,693
accession_origin=Australia,127
accession_origin=Benin,318
accession_origin=Botswana,72
accession_origin=Burkina_Faso,413
accession_origin=Burundi,114
accession_origin=Cameroon,318
accession_origin=China,479
accession_origin=Egypt,92
accession_origin=Ethiopia,685
accession_origin=Former_Serbia_and_Montenegro,316
accession_origin=Former_Soviet_Union,69
accession_origin=Ghana,333
accession_origin=Hungary,398
accession_origin=India,258
accession_origin=Japan,87
accession_origin=Kenya,576
accession_origin=Malawi,506
accession_origin=Mali,532
accession_origin=Mexico,460
accession_origin=Nigeria,654
accession_origin=Rwanda,101
accession_origin=Senegal,31
accession_origin=South_Africa,513
accession_origin=Sudan,672
accession_origin=Swaziland,521
accession_origin=Syria,518
accession_origin=Tanzania,336
accession_origin=Togo,479
accession_origin=Turkey,664
accession_origin=Uganda,581
accession_origin=United_States,568
accession_origin=Yemen,78
accession_origin=Zaire,557
accession_origin=Zambia,476
accession_origin=Zimbabwe,226
accession_photoperiod=,698
accession_photoperiod=PHOTOPERIOD_INSENSITIVE,698
accession_photoperiod=PHOTOPERIOD_SENSITIVE,698
accession_race=,693
accession_race=Bicolor,224
accession_race=Caudatum,613
accession_race=Caudatum-bicolor,646
accession_race=Durra,641
accession_race=Durra-bicolor,322
accession_race=Durra-caudatum,522
accession_race=Guinea,656
accession_race=Guinea-bicolor,178
accession_race=Guinea-caudatum,581
accession_race=Guinea-durra,62
accession_race=Guinea-kafir,121
accession_race=Kafir,442
accession_race=Kafir-bicolor,524
accession_race=Kafir-caudatum,188
accession_race=Kafir-durra,20
accession_race=Mixed,225
accession_type=,686
accession_type=Cellulosic,698
accession_type=GRAIN,638
accession_type=Sweet,698
NFC,0
