Mean,Variance,InboundsScore
20.336168,14.092495,0.941083
19.429811,19.395988,0.942548
26.434883,39.494831,0.979814
19.029980,10.365587,0.899107
23.938354,28.914864,0.872174
23.660213,36.029198,0.974436
25.567987,45.192333,0.917808
22.306099,31.211432,0.973822
21.233791,23.230640,0.871714
20.775814,33.846947,0.953820
20.808668,15.858298,0.867207
20.693441,28.656551,0.949919
29.657734,36.278526,0.977848
24.633739,19.922197,0.925878
20.260691,25.456388,0.849587
20.095680,12.523141,0.986343
25.810669,41.043293,0.892450
21.987532,27.122871,0.913945
25.704151,34.074783,0.967164
26.876167,47.186985,0.923608
18.104769,7.303269,0.968254
18.126408,9.873026,0.934529
22.282345,19.476969,0.974965
24.602282,27.795044,0.870596
27.348824,49.070236,0.962089
19.202082,18.329994,0.953737
16.615664,4.545935,0.923788
23.530195,34.683880,0.961952
31.519772,26.661753,0.916733
24.877220,33.472466,0.913980
28.435570,70.339073,0.948963
30.458094,22.066460,0.969410
33.300858,33.397984,0.850297
18.168674,17.455925,0.866197
32.364136,12.733389,0.980289
35.449284,18.736237,0.976190
33.753307,13.456403,0.953930
26.173210,32.628609,0.963764
35.182362,14.583205,0.985788
31.745008,22.518312,0.956835
34.990986,19.075722,0.946143
32.133904,25.825956,0.968708
22.068554,17.721571,0.920513
22.130192,34.376759,0.932603
31.097143,29.172176,0.984848
36.176178,15.509272,0.951321
32.078018,24.914492,0.954381
31.923191,26.720476,0.974700
36.872696,15.031741,0.971108
18.679234,11.007532,0.958506
33.239784,15.842654,0.979140
32.482006,15.074502,0.911424
32.610191,16.122749,0.985677
32.969540,8.818802,0.970260
28.706190,22.477148,0.887879
32.417614,20.665115,0.960921
32.013653,23.929340,0.957202
31.588961,17.868530,0.946011
32.788212,15.378932,0.986553
33.815742,9.533723,0.987097
28.303644,35.943314,0.965116
31.132347,33.718655,0.952991
34.542133,24.626038,0.913183
34.446472,21.664856,0.940443
29.901781,21.147297,0.886025
33.237911,18.027353,0.978829
27.554131,79.705780,0.658317
29.547691,30.200056,0.951764
34.822739,21.459843,0.972622
31.762615,38.479328,0.945799
31.284760,11.862672,0.977127
33.134632,19.291357,0.942113
36.019482,27.482996,0.926275
35.712360,12.394619,0.989822
34.473896,14.055737,0.986284
34.643711,22.476585,0.926344
30.722485,35.948788,0.976623
30.905853,19.566420,0.913951
32.558708,12.926494,0.988732
29.530096,27.381763,0.975721
36.046997,20.854660,0.904130
26.686871,21.389082,0.948718
24.780275,38.397396,0.876034
33.977474,11.284980,0.945223
27.873489,41.273582,0.948590
34.483940,25.119877,0.949930
20.517467,42.050972,0.848965
29.533798,28.115839,0.965473
24.020613,38.925076,0.879823
35.906227,8.763824,0.990099
29.295527,43.553257,0.856464
33.139439,11.657505,0.957265
32.230591,23.594973,0.985658
