Attname,DPCount
2016_07_13-14_Leaf_Necrosis,698
2016_07_13-14_vegetation_index,698
2016_07_13_BAP_Leaf_Area,698
2016_07_13_laser_plant_height,698
2016_07_light_interception,698
2016_08_05-08_vegetation_index,698
2016_08_light_interception,698
2016_09_light_interception,698
SF16h_HGT1_120,698
SF16h_HGT2_120,698
SF16h_HGT3_120,698
SF16h_HGT_120_MEAN,698
SF16h_HGT_120_STD,698
SF16h_PAN1_120,698
SF16h_PAN2_120,698
SF16h_PAN3_120,698
SF16h_PAN_120_MEAN,698
SF16h_PAN_120_STD,698
SF16h_TWT_120,698
SF16h_WTL_120,698
SF16h_WTP_120,698
accession_origin=,695
accession_origin=Australia,65
accession_origin=Benin,81
accession_origin=Botswana,95
accession_origin=Burkina_Faso,467
accession_origin=Burundi,292
accession_origin=Cameroon,533
accession_origin=China,291
accession_origin=Egypt,184
accession_origin=Ethiopia,698
accession_origin=Former_Serbia_and_Montenegro,130
accession_origin=Former_Soviet_Union,136
accession_origin=Ghana,416
accession_origin=Hungary,447
accession_origin=India,489
accession_origin=Japan,286
accession_origin=Kenya,528
accession_origin=Malawi,459
accession_origin=Mali,408
accession_origin=Mexico,289
accession_origin=Nigeria,645
accession_origin=Rwanda,236
accession_origin=Senegal,190
accession_origin=South_Africa,507
accession_origin=Sudan,653
accession_origin=Swaziland,395
accession_origin=Syria,53
accession_origin=Tanzania,281
accession_origin=Togo,667
accession_origin=Turkey,313
accession_origin=Uganda,535
accession_origin=United_States,349
accession_origin=Yemen,107
accession_origin=Zaire,525
accession_origin=Zambia,461
accession_origin=Zimbabwe,385
accession_photoperiod=,649
accession_photoperiod=PHOTOPERIOD_INSENSITIVE,698
accession_photoperiod=PHOTOPERIOD_SENSITIVE,698
accession_race=,698
accession_race=Bicolor,300
accession_race=Caudatum,615
accession_race=Caudatum-bicolor,548
accession_race=Durra,654
accession_race=Durra-bicolor,331
accession_race=Durra-caudatum,510
accession_race=Guinea,698
accession_race=Guinea-bicolor,246
accession_race=Guinea-caudatum,614
accession_race=Guinea-durra,146
accession_race=Guinea-kafir,63
accession_race=Kafir,460
accession_race=Kafir-bicolor,479
accession_race=Kafir-caudatum,261
accession_race=Kafir-durra,214
accession_race=Mixed,123
accession_type=,651
accession_type=Cellulosic,698
accession_type=GRAIN,565
accession_type=Sweet,698
SPCP,0
