Mean,Variance,InboundsScore
49.986320,1373.968994,0.859107
7.810033,1231.303955,0.924752
26.952600,598.460754,0.979647
7.523578,1121.555786,0.928962
27.460436,952.866150,0.915625
16.901834,622.075073,0.975260
36.724949,1335.183716,0.945324
-6.234386,537.224854,0.981982
6.052574,1020.940979,0.932088
13.662847,1168.440674,0.910331
-2.645350,669.127075,0.940966
-9.885724,767.504028,0.968343
26.119158,686.608826,0.978552
28.437654,688.655823,0.959828
-0.972581,550.563904,0.836066
6.537242,486.230347,0.966867
24.065983,1289.596069,0.947839
17.719400,492.081726,0.975131
11.371338,381.655609,0.976982
24.015001,983.698242,0.927492
-11.086279,803.261353,0.940206
7.369695,740.768372,0.935238
27.763924,1251.243408,0.941985
41.791683,1366.366211,0.882545
12.200690,681.287659,0.936107
-3.673290,445.899689,0.925781
-13.959802,281.347778,0.936345
19.803513,749.793518,0.911051
38.725777,755.398499,0.929825
32.252045,464.843536,0.965812
24.320633,880.739319,0.969777
40.971111,540.012695,0.980211
35.551819,475.739929,0.938992
-8.970675,642.744202,0.869121
24.847895,400.388245,0.994083
38.045223,488.218506,0.972752
38.048023,461.091431,0.974265
26.093979,612.748108,0.983871
32.427486,371.330170,0.986634
24.016468,460.548981,0.970886
31.684191,502.334045,0.946299
23.545227,369.322632,0.979419
27.381449,727.070557,0.971264
20.857805,659.138550,0.972368
19.998478,311.314514,0.995365
41.043259,485.544342,0.939351
20.099768,418.320618,0.989937
18.424219,495.075531,0.979618
23.525314,374.871307,0.964529
-7.814116,431.937592,0.962000
17.615084,393.509247,0.983668
41.896065,499.896606,0.966452
48.949146,365.390228,0.968839
23.745848,525.776733,0.944801
48.948776,786.299805,0.925249
33.134407,711.691711,0.948370
33.074379,538.628723,0.966667
34.415936,570.588501,0.955787
26.457247,428.699127,0.991647
34.582211,430.674408,0.993983
22.196098,654.463928,0.966234
29.460588,365.377014,0.963768
44.138889,335.037933,0.951380
35.455536,605.047363,0.953750
56.968224,337.899628,0.928571
28.353474,395.968445,0.991505
19.812649,892.128296,0.695798
30.129728,423.400818,0.979268
28.965305,409.780945,0.984694
23.882126,395.604797,0.966427
54.141262,328.214935,0.972000
49.360195,293.831451,0.921488
40.552521,368.312195,0.907821
26.673746,322.315491,0.987805
19.617659,403.751007,0.987685
34.377029,585.519531,0.925824
19.587273,430.975830,0.980794
51.513817,274.567474,0.969415
48.593700,244.092697,0.978695
18.649153,366.817444,0.967448
27.345692,476.829865,0.865906
34.522522,874.859375,0.910638
9.838425,688.695740,0.910112
45.563797,293.243774,0.973277
27.543964,486.572754,0.964333
33.933788,179.658798,0.934023
2.933213,849.045776,0.842650
24.402876,293.988098,0.992583
26.351593,712.790039,0.933029
37.570953,369.487610,0.964461
44.726753,536.053467,0.837307
42.816711,760.321716,0.943101
34.255947,485.983826,0.979950
46.108688,379.522522,0.918803
28.934088,392.999603,0.980198
20.982536,481.738037,0.964000
38.009247,610.725037,0.962865
21.342701,393.091248,0.988277
24.906176,488.919708,0.980099
0.443867,439.100891,0.964111
47.632370,325.365997,0.976839
55.590477,344.342163,0.972936
47.182518,352.318848,0.951219
74.616447,333.352539,0.953608
45.151188,250.923065,0.834979
43.863529,242.968460,0.976124
48.373234,318.121246,0.969333
46.268456,196.204742,0.982667
44.195393,369.596008,0.959778
55.863426,186.014374,0.962865
50.385433,350.039581,0.928467
55.508396,398.668732,0.927614
73.076248,424.566406,0.935065
80.163979,427.821594,0.933604
54.874233,353.569550,0.968085
76.616142,394.838623,0.958656
76.846664,206.410324,0.990676
81.096718,252.930511,0.981971
60.404419,205.484146,0.973856
86.931557,182.176773,0.990599
48.817173,343.229980,0.945906
64.349777,316.134125,0.972621
59.498871,295.225128,0.981108
59.742485,359.323853,0.976456
88.429245,242.006851,0.977723
42.729042,325.666199,0.919668
62.491173,331.170258,0.962092
80.928818,353.951904,0.975217
86.269653,279.135590,0.983313
61.719173,401.311890,0.956583
47.212936,259.366272,0.992032
50.032871,540.794922,0.953079
85.992821,316.009796,0.979882
80.256660,473.653625,0.980198
35.077477,586.532410,0.982118
71.682945,385.623138,0.980815
63.828472,560.036804,0.945187
37.074757,582.872437,0.749211
39.834763,474.514160,0.969040
50.621479,261.212860,0.977027
64.286613,354.026886,0.955224
-18.073439,512.121094,0.964657
57.547264,333.696198,0.927273
67.694229,366.847748,0.938562
82.401192,247.064697,0.978261
71.235275,319.158173,0.973945
74.761292,277.966156,0.985663
69.458527,329.739105,0.944513
74.082588,486.502045,0.960000
53.459625,273.739960,0.986005
59.851685,289.557007,0.970270
51.948456,225.432114,0.994744
60.246422,301.949768,0.982094
48.747555,388.875519,0.952055
48.928612,323.026855,0.910819
51.308533,415.121674,0.923741
50.659447,271.735229,0.985019
57.148804,200.237320,0.996399
81.066635,251.222565,0.940781
83.917648,968.081543,0.940337
51.742897,192.559708,0.992519
82.834717,184.642014,0.987668
53.984814,267.191589,0.980964
56.722660,372.166412,0.973518
35.146351,574.482056,0.984829
50.451778,203.907837,0.996169
52.785175,210.205826,0.981366
73.316536,745.379822,0.966278
37.009876,325.667969,0.794908
63.731731,420.776245,0.953186
76.618179,532.778931,0.951020
48.114861,465.087433,0.914798
87.049217,542.674988,0.947295
45.276608,365.423859,0.969343
68.269981,407.393036,0.950000
54.896416,508.315399,0.935821
53.275509,658.004395,0.945508
73.543060,319.736023,0.976716
77.287910,166.006271,0.962485
49.471863,392.345581,0.946328
56.482723,751.783325,0.956215
72.773865,268.367584,0.980630
43.529827,569.457275,0.970706
61.793907,522.605774,0.978495
55.676342,410.073120,0.964427
59.199772,302.905029,0.974150
66.886581,178.065384,0.982864
55.225109,473.039368,0.976134
50.741478,233.798706,0.978289
60.704067,385.248169,0.970470
4.508937,715.440063,0.923077
53.150436,327.803284,0.954839
53.597363,253.293304,0.989286
86.006454,259.646027,0.989209
65.138077,350.914062,0.950820
78.856453,335.423004,0.959424
44.877354,357.245850,0.975362
55.657425,347.124664,0.947917
50.545242,294.255066,0.986318
61.168423,332.949646,0.981959
61.107681,403.119293,0.974457
45.061718,721.428955,0.931129
78.014404,325.295258,0.966102
59.048927,419.668640,0.971390
65.640251,420.142120,0.949796
64.590912,265.919434,0.969349
70.624168,596.783813,0.926129
-5.245820,815.805725,0.923414
68.693886,801.539490,0.944369
66.899826,299.904907,0.977556
46.941036,657.583679,0.982430
59.996418,263.022156,0.962871
74.726524,572.050964,0.930851
69.132240,292.955200,0.964427
83.684982,466.503326,0.965473
83.899132,356.779053,0.939040
63.057781,291.116150,0.988138
61.476913,379.523254,0.949785
48.620548,309.416107,0.895317
47.890873,396.631439,0.948949
61.346619,286.427399,0.981530
62.113888,297.200562,0.965389
-7.437703,325.357147,0.961464
66.635666,418.248993,0.986755
46.104210,368.536438,0.977058
79.021133,311.114594,0.990741
87.266296,372.082855,0.979665
39.927040,446.510162,0.972222
25.722301,582.256348,0.983607
79.189423,262.342682,0.975723
30.277555,398.235565,0.961104
81.236885,439.754852,0.962916
-10.738329,399.420380,0.969199
59.612915,293.377808,0.980392
33.936081,626.267029,0.951773
62.186321,405.910950,0.959339
87.406342,555.251221,0.942857
60.898079,677.578308,0.956399
89.143044,485.023346,0.962517
64.541725,298.163300,0.950061
44.824478,418.960358,0.952654
86.030846,413.040253,0.970696
67.433563,241.360184,0.970626
85.269028,285.117554,0.963975
73.064835,235.661926,0.988067
65.400688,291.971130,0.986996
54.407070,402.722595,0.974930
72.227165,281.172852,0.976923
77.162750,206.979065,0.981330
39.241562,782.949890,0.982482
60.416473,209.982132,0.977215
53.542816,462.522339,0.981818
55.575424,260.175964,0.973009
81.376694,288.850128,0.997792
60.047802,193.591507,0.985330
76.469711,189.202179,0.989667
80.482849,251.355499,0.996346
74.787758,303.908356,0.981685
82.783455,346.104462,0.958595
83.999535,268.281708,0.994097
81.340286,226.489761,0.993023
84.572205,322.606354,0.982544
53.602695,329.527252,0.985677
82.648186,242.280701,0.992991
97.850777,581.865173,0.973226
94.975632,611.010193,0.988593
79.162659,341.343292,0.987981
61.453514,251.229065,0.991326
70.642746,222.833771,0.971119
75.356461,221.052704,0.968937
96.723282,796.999939,0.965132
68.391869,674.522888,0.937870
82.106209,386.074249,0.959583
91.123131,541.685120,0.947861
68.470589,368.764282,0.955471
60.608223,237.184967,0.973077
59.857731,238.286102,0.991347
80.311005,253.697632,0.982185
68.121681,230.184860,0.970696
85.297379,378.137238,0.976409
65.259209,159.356400,0.980210
53.278809,263.572571,0.933610
48.751865,584.771362,0.941441
52.021790,276.257477,0.981013
61.032463,209.087296,0.988693
82.650352,220.834335,0.984356
88.821220,365.134521,0.991794
63.182148,267.339417,0.951886
82.734550,460.902588,0.980700
59.202347,174.668274,0.994859
85.211334,514.126831,0.982927
89.929634,626.353516,0.967617
81.053810,228.941376,0.989498
84.201553,170.080872,0.994426
98.144707,541.567505,0.973719
82.155411,354.965424,0.981265
65.948502,201.552475,0.990465
93.181023,729.873169,0.961021
85.381950,411.188019,0.995311
80.512962,478.681671,0.983247
67.383492,217.431290,0.980519
102.654381,724.719055,0.964937
57.378136,354.421875,0.958512
82.505829,203.354446,0.955959
64.570877,466.504150,0.959184
76.267242,351.423309,0.982565
61.704525,810.482361,0.964387
1.609835,840.962891,0.913043
67.337433,333.398407,0.974328
87.956642,718.473083,0.961686
78.060478,146.717361,0.988221
81.714699,408.636200,0.958491
58.015072,532.945251,0.976454
56.153847,390.348846,0.974457
37.470238,371.352264,0.970246
83.400879,321.680695,0.983471
82.979294,418.574799,0.945455
81.209633,301.196503,0.994318
72.516113,264.916901,0.970037
90.363358,355.521576,0.988506
81.613457,267.476898,0.990136
81.708855,318.492462,0.990431
50.770615,223.767685,0.980690
89.870293,353.731842,0.985825
72.766899,394.675751,0.965517
56.206970,217.649918,0.990921
77.453194,408.563416,0.966752
79.139030,219.990585,0.991637
60.500362,302.281464,0.979798
75.758904,303.673157,0.989144
83.131088,272.884705,0.995449
88.628754,499.997803,0.981132
54.484467,343.939026,0.977690
90.221031,524.836365,0.933042
76.829704,494.137634,0.963904
78.673500,255.285736,0.973717
79.291328,233.884689,0.989196
74.748734,165.840149,0.996407
57.701912,232.951172,0.991463
67.626114,419.630035,0.984615
59.018227,564.550537,0.971910
77.062492,136.619186,0.996512
85.333107,270.507111,0.965560
80.736938,213.369919,0.985348
52.765991,464.273682,0.963016
45.817142,436.241669,0.956016
55.451916,288.990417,0.991422
90.234756,517.929443,0.968112
80.285858,295.027344,0.990687
97.260750,825.873596,0.960508
65.693130,224.702667,0.979786
71.649521,233.543747,0.994388
61.712044,305.091858,0.987730
82.909447,157.059464,0.994518
48.340542,279.277527,0.954738
80.999161,315.152191,0.993258
81.946373,318.065308,0.986811
34.448303,656.898560,0.971391
79.396889,208.469742,0.984018
87.048447,325.885529,0.993990
80.851227,301.577820,0.994337
89.625092,435.284119,0.987147
55.222141,413.240234,0.963115
93.386330,374.618164,0.984932
72.987740,284.950867,0.971686
82.008492,292.925262,0.979953
67.437996,404.247314,0.942254
59.313457,393.412018,0.970822
70.813232,291.099579,0.973236
83.202263,359.295563,0.976162
61.759678,271.107758,0.961290
54.240574,309.661438,0.955357
