Attname,DPCount
2016_07_13-14_Leaf_Necrosis,698
2016_07_13-14_vegetation_index,698
2016_07_13_BAP_Leaf_Area,698
2016_07_13_laser_plant_height,698
2016_07_light_interception,698
2016_08_05-08_vegetation_index,698
2016_08_light_interception,698
2016_09_light_interception,698
SF16h_HGT1_120,698
SF16h_HGT2_120,698
SF16h_HGT3_120,698
SF16h_HGT_120_MEAN,698
SF16h_HGT_120_STD,698
SF16h_PAN1_120,698
SF16h_PAN2_120,698
SF16h_PAN3_120,698
SF16h_PAN_120_MEAN,698
SF16h_PAN_120_STD,698
SF16h_TWT_120,698
SF16h_WTL_120,698
SF16h_WTP_120,698
accession_origin=,679
accession_origin=Australia,12
accession_origin=Benin,522
accession_origin=Botswana,63
accession_origin=Burkina_Faso,177
accession_origin=Burundi,513
accession_origin=Cameroon,206
accession_origin=China,474
accession_origin=Egypt,5
accession_origin=Ethiopia,698
accession_origin=Former_Serbia_and_Montenegro,7
accession_origin=Former_Soviet_Union,222
accession_origin=Ghana,694
accession_origin=Hungary,310
accession_origin=India,652
accession_origin=Japan,191
accession_origin=Kenya,640
accession_origin=Malawi,445
accession_origin=Mali,407
accession_origin=Mexico,577
accession_origin=Nigeria,455
accession_origin=Rwanda,198
accession_origin=Senegal,74
accession_origin=South_Africa,217
accession_origin=Sudan,621
accession_origin=Swaziland,218
accession_origin=Syria,307
accession_origin=Tanzania,133
accession_origin=Togo,583
accession_origin=Turkey,601
accession_origin=Uganda,365
accession_origin=United_States,634
accession_origin=Yemen,54
accession_origin=Zaire,416
accession_origin=Zambia,435
accession_origin=Zimbabwe,355
accession_photoperiod=,698
accession_photoperiod=PHOTOPERIOD_INSENSITIVE,694
accession_photoperiod=PHOTOPERIOD_SENSITIVE,692
accession_race=,662
accession_race=Bicolor,225
accession_race=Caudatum,567
accession_race=Caudatum-bicolor,641
accession_race=Durra,648
accession_race=Durra-bicolor,512
accession_race=Durra-caudatum,445
accession_race=Guinea,560
accession_race=Guinea-bicolor,216
accession_race=Guinea-caudatum,502
accession_race=Guinea-durra,91
accession_race=Guinea-kafir,633
accession_race=Kafir,571
accession_race=Kafir-bicolor,539
accession_race=Kafir-caudatum,562
accession_race=Kafir-durra,497
accession_race=Mixed,98
accession_type=,698
accession_type=Cellulosic,696
accession_type=GRAIN,698
accession_type=Sweet,695
Starch,0
