Mean,Variance,InboundsScore
0.400334,0.096316,0.895498
0.181848,0.085966,0.950495
0.568981,0.116418,0.974106
0.096384,0.137353,0.887665
0.423951,0.142921,0.918685
0.574908,0.069517,0.969448
0.682272,0.073547,0.947566
0.203075,0.109603,0.982609
0.162774,0.074581,0.904382
0.292849,0.077507,0.935922
0.210099,0.062710,0.965844
0.128593,0.101818,0.979284
0.691760,0.065421,0.989714
0.564901,0.058188,0.962830
0.130478,0.109031,0.811321
0.081825,0.083229,0.968504
0.640106,0.055358,0.947236
0.346703,0.127766,0.954899
0.574645,0.055530,0.975904
0.592003,0.054898,0.969363
0.072046,0.063294,0.940039
0.252417,0.056384,0.881579
0.476422,0.097519,0.947436
0.361018,0.076152,0.943428
0.208426,0.091020,0.947573
0.163028,0.169197,0.920082
0.128441,0.064894,0.910714
0.553875,0.102138,0.930328
0.783643,0.094559,0.935028
0.689778,0.072086,0.968137
0.657861,0.165108,0.968481
0.917714,0.050283,0.981366
0.936988,0.144240,0.942113
0.178673,0.090860,0.881137
0.829529,0.045856,0.987864
0.777690,0.040794,0.972877
0.813772,0.057830,0.975062
0.739011,0.059322,0.987745
0.841407,0.087867,0.983806
0.883075,0.045353,0.979319
0.802228,0.080690,0.945312
0.771194,0.057621,0.984944
0.483530,0.075140,0.970549
0.383092,0.104877,0.933549
0.812725,0.035204,0.991716
0.902725,0.134856,0.963585
0.765632,0.052909,0.981157
0.756925,0.062384,0.970701
0.931954,0.068158,0.970423
0.152005,0.076234,0.936675
0.775049,0.047593,0.983312
0.701551,0.067057,0.975248
0.640869,0.100917,0.965636
0.826058,0.063377,0.943182
0.623543,0.078039,0.949173
0.742118,0.119941,0.944588
0.729605,0.071323,0.983173
0.781955,0.044889,0.948510
0.818491,0.049478,0.986998
0.849775,0.057321,0.986618
0.622479,0.147511,0.964861
0.812818,0.061689,0.966627
0.949564,0.073950,0.961178
0.765348,0.059048,0.970203
0.783997,0.085790,0.965174
0.814463,0.041470,0.983133
0.579188,0.195709,0.776031
0.801632,0.045182,0.980583
0.903615,0.073766,0.983333
0.842006,0.058772,0.981707
0.632933,0.015894,0.990385
0.657672,0.040426,0.953036
0.817158,0.057664,0.921986
0.850995,0.051910,0.988432
0.833779,0.045627,0.986111
0.874346,0.115432,0.961756
0.628709,0.036642,0.980952
0.653574,0.049831,0.967366
0.616075,0.051424,0.978161
0.691220,0.110761,0.967113
0.861274,0.166479,0.901288
0.685705,0.067171,0.954321
0.214080,0.100443,0.911885
0.789545,0.111432,0.977556
0.691462,0.074239,0.974457
0.921670,0.045317,0.951351
0.335886,0.118373,0.868106
0.716253,0.088253,0.979191
0.575848,0.142375,0.950843
0.780790,0.045778,0.972656
0.650125,0.156296,0.864815
0.869569,0.090124,0.971467
0.832421,0.066260,0.984791
1.080796,0.194459,0.919275
0.784356,0.059862,0.984476
0.582529,0.103710,0.965426
0.900723,0.099790,0.979310
0.836198,0.053327,0.991556
0.782604,0.053646,0.986503
0.394512,0.120386,0.953237
0.648159,0.071434,0.987371
0.657470,0.051631,0.979393
0.725278,0.170034,0.964194
0.663190,0.053911,0.969832
0.578687,0.056456,0.890663
0.536047,0.053055,0.982538
0.516244,0.054219,0.985588
0.704631,0.042435,0.990022
0.628927,0.069132,0.974699
