Attname,DPCount
2016_07_13-14_Leaf_Necrosis,698
2016_07_13-14_vegetation_index,698
2016_07_13_BAP_Leaf_Area,698
2016_07_13_laser_plant_height,698
2016_07_light_interception,698
2016_08_05-08_vegetation_index,698
2016_08_light_interception,698
2016_09_light_interception,698
SF16h_HGT1_120,698
SF16h_HGT2_120,698
SF16h_HGT3_120,698
SF16h_HGT_120_MEAN,698
SF16h_HGT_120_STD,698
SF16h_PAN1_120,698
SF16h_PAN2_120,698
SF16h_PAN3_120,698
SF16h_PAN_120_MEAN,698
SF16h_PAN_120_STD,698
SF16h_TWT_120,698
SF16h_WTL_120,698
SF16h_WTP_120,698
accession_origin=,692
accession_origin=Australia,338
accession_origin=Benin,534
accession_origin=Botswana,366
accession_origin=Burkina_Faso,549
accession_origin=Burundi,225
accession_origin=Cameroon,92
accession_origin=China,403
accession_origin=Egypt,233
accession_origin=Ethiopia,675
accession_origin=Former_Serbia_and_Montenegro,12
accession_origin=Former_Soviet_Union,273
accession_origin=Ghana,458
accession_origin=Hungary,107
accession_origin=India,395
accession_origin=Japan,110
accession_origin=Kenya,472
accession_origin=Malawi,488
accession_origin=Mali,294
accession_origin=Mexico,492
accession_origin=Nigeria,662
accession_origin=Rwanda,107
accession_origin=Senegal,148
accession_origin=South_Africa,300
accession_origin=Sudan,657
accession_origin=Swaziland,99
accession_origin=Syria,45
accession_origin=Tanzania,315
accession_origin=Togo,395
accession_origin=Turkey,371
accession_origin=Uganda,492
accession_origin=United_States,596
accession_origin=Yemen,575
accession_origin=Zaire,464
accession_origin=Zambia,695
accession_origin=Zimbabwe,211
accession_photoperiod=,698
accession_photoperiod=PHOTOPERIOD_INSENSITIVE,698
accession_photoperiod=PHOTOPERIOD_SENSITIVE,698
accession_race=,683
accession_race=Bicolor,523
accession_race=Caudatum,692
accession_race=Caudatum-bicolor,617
accession_race=Durra,695
accession_race=Durra-bicolor,340
accession_race=Durra-caudatum,446
accession_race=Guinea,634
accession_race=Guinea-bicolor,400
accession_race=Guinea-caudatum,662
accession_race=Guinea-durra,13
accession_race=Guinea-kafir,93
accession_race=Kafir,456
accession_race=Kafir-bicolor,457
accession_race=Kafir-caudatum,214
accession_race=Kafir-durra,175
accession_race=Mixed,230
accession_type=,698
accession_type=Cellulosic,698
accession_type=GRAIN,577
accession_type=Sweet,698
TDN_OARDC,0
