Mean,Variance,InboundsScore
66.404594,3.701932,0.990338
65.574814,5.095390,0.994969
62.040928,7.373885,0.962480
69.002495,3.927547,0.986281
66.084251,4.293921,0.986842
67.538162,4.101771,0.993789
64.595329,2.586494,0.992736
63.568756,4.127069,0.991217
65.517525,5.444227,0.984868
65.181435,6.354765,0.981504
64.931427,8.540448,0.991195
68.670158,11.507628,0.928344
64.531326,8.773058,0.988355
66.161736,5.548182,0.968370
64.468803,5.922187,0.984185
64.771790,2.440250,0.996420
66.038292,4.805208,0.989474
65.463234,16.730181,0.967018
69.777039,2.687698,0.987688
67.028946,9.182405,0.895296
64.077354,9.502516,0.976253
64.494011,3.297835,0.993430
65.502640,8.064444,0.983931
64.426918,3.376379,0.964720
68.664940,6.036433,0.981481
63.999557,3.372644,0.993773
65.054108,6.371661,0.971654
65.122787,9.214133,0.944015
68.297005,5.217864,0.993961
64.709450,1.739902,0.995012
62.575100,7.644457,0.944858
66.422523,5.033329,0.993827
63.215805,15.895677,0.954345
64.715134,3.719962,0.987854
70.938614,15.697249,0.956303
66.239586,6.907175,0.970960
63.884525,9.376989,0.985658
64.488235,14.941388,0.969655
66.397377,4.895153,0.987147
69.125862,6.009512,0.979560
64.783440,5.353536,0.993983
66.183006,12.664262,0.980746
63.933495,5.564929,0.980075
67.543602,17.536642,0.957938
66.131546,4.720241,0.990874
63.982605,4.536020,0.990303
63.239021,3.872036,0.986076
66.582512,5.932701,0.988053
66.462692,3.982358,0.996073
65.374962,4.349141,0.972845
64.276451,8.080320,0.990014
67.727341,4.496661,0.985770
66.104965,2.972369,0.991860
69.655266,7.420085,0.981869
65.304153,3.436929,0.993135
66.639946,9.204492,0.989770
68.406883,16.343540,0.932229
65.485741,7.092885,0.978049
71.038811,7.539730,0.989426
69.708214,11.468925,0.980663
65.471893,5.552187,0.990719
64.609810,4.663031,0.997661
64.894386,5.181884,0.993969
68.135796,6.194868,0.989975
68.057617,5.981899,0.989488
64.476593,5.416305,0.975452
61.783634,8.786081,0.944535
65.673164,8.065091,0.982436
66.072823,6.742187,0.994152
67.005005,6.313948,0.979030
63.603294,10.015437,0.974326
65.878296,3.821133,0.985646
65.109146,20.539400,0.935252
65.576370,4.157174,0.997416
59.756729,4.614887,0.930716
63.186935,15.374324,0.904858
65.685638,6.374642,0.968112
69.256638,8.159899,0.991826
66.322792,5.105838,0.982968
68.009430,8.484280,0.957995
65.444046,1.354552,0.996466
64.938515,1.945028,0.991794
60.505550,7.422502,0.937143
64.080650,3.853946,0.986352
69.803825,9.932935,0.991228
63.633598,4.657939,0.988266
65.225281,3.193149,0.997688
64.576424,6.491156,0.995343
67.585129,6.100198,0.978975
67.397026,4.519913,0.984791
65.562714,7.346380,0.993007
66.456802,4.165638,0.942999
69.552277,7.625473,0.979562
65.996536,11.770667,0.923077
61.676258,10.040585,0.946789
66.078300,4.387875,0.988024
62.879761,9.531276,0.973315
67.906616,3.785021,0.992357
65.332436,2.056648,0.989336
64.388832,3.827824,0.992638
64.871407,5.989954,0.988235
69.377693,6.772750,0.975504
64.882179,5.217216,0.982801
68.664520,5.718518,0.990223
64.816483,15.175308,0.963478
65.438164,5.810565,0.992974
66.738068,4.758280,0.996188
63.560513,11.187550,0.974255
64.091385,8.259124,0.969251
69.353149,11.122092,0.958333
64.614723,2.945355,0.952756
65.079330,6.247794,0.988359
64.932716,6.106101,0.991326
60.502464,6.717201,0.969298
68.621269,9.684132,0.968162
66.538345,13.940921,0.975515
61.914482,10.453032,0.966899
67.035187,9.483279,0.993858
70.283417,6.677288,0.997175
66.345970,7.114508,0.990220
67.834480,9.020126,0.977513
61.741554,5.234778,0.993515
65.137123,9.792326,0.985849
66.693977,6.221488,0.996264
64.284668,4.183426,0.978610
64.885872,3.711401,0.986795
64.709007,2.934683,0.990256
66.694275,4.692465,0.992424
67.534889,4.102776,0.980916
66.095802,3.299811,0.998862
63.837673,6.705230,0.994981
65.435379,11.219790,0.962220
67.261246,5.915204,0.996450
64.809990,6.144509,0.988342
70.941734,4.737793,0.995845
63.588894,8.081547,0.981612
65.454391,10.176438,0.972121
69.285088,4.709152,0.995502
63.441563,5.298095,0.975708
69.552475,3.678658,0.991724
66.049721,4.455775,0.994943
63.763710,6.513018,0.979339
65.991943,4.515339,0.992710
66.688652,5.724082,0.991794
66.161621,3.809463,0.995485
64.104057,7.617464,0.966859
68.300079,8.929966,0.990237
65.831131,6.796747,0.986233
64.416283,4.638513,0.955263
65.221306,1.953016,0.994062
70.241623,7.227136,0.984572
69.511429,5.086450,0.993386
64.891159,4.127040,0.982313
67.768646,6.423203,0.993895
68.551559,7.752349,0.953488
69.253654,3.773438,0.993412
65.856575,6.759278,0.969014
65.079224,8.941296,0.982332
65.189301,3.908623,0.991935
63.337772,7.428991,0.985640
67.569550,3.707140,0.998797
63.988705,4.641726,0.979339
65.244576,7.096731,0.991474
65.596161,4.024247,0.987028
65.533615,11.035015,0.985879
66.229195,4.083916,0.995305
64.540108,6.212764,0.988220
63.627216,4.497527,0.980106
68.760414,6.454407,0.991342
65.082260,4.851518,0.963840
64.907379,1.207603,0.997655
69.752449,7.096869,0.991770
65.178551,3.323883,0.983811
69.214607,4.924315,0.994039
68.296570,8.572441,0.973901
66.969727,10.785182,0.994891
69.291443,6.051420,0.987050
67.908257,8.172887,0.978626
65.665031,6.382725,0.955112
66.301254,7.329109,0.983791
68.657913,6.653520,0.946853
65.090881,12.801921,0.960248
67.187660,6.409685,0.980720
64.720894,3.716239,0.998822
64.585785,4.126915,0.989861
65.174454,2.962687,0.992958
66.615532,9.273324,0.996341
66.835136,11.974266,0.941764
64.475632,3.174448,0.994344
64.915070,5.362621,0.992337
63.712486,5.556934,0.985640
64.682465,3.945909,0.993614
63.663708,5.510758,0.974462
66.109222,5.059372,0.983607
69.664024,5.523630,0.988827
63.661751,5.972801,0.968407
63.976402,20.068533,0.973829
64.338791,2.460277,0.966879
65.106178,5.799966,0.990499
70.015656,12.362549,0.970248
65.403572,2.464530,0.991304
63.983780,6.797105,0.898305
65.226685,5.251497,1.000000
65.885834,2.969031,0.998862
65.385849,4.649484,0.994206
65.873512,4.384016,0.996516
65.912041,12.714596,0.950481
64.674820,5.872862,0.987775
66.198631,4.221583,0.995316
58.973221,4.034905,0.965347
65.688980,5.954021,0.991726
68.921394,3.286057,0.991713
63.670258,9.175816,0.979487
67.905060,5.243085,0.976471
65.777420,5.241555,0.978848
64.937828,8.844990,0.960760
61.212185,13.928348,0.870707
67.218834,10.188944,0.947165
64.925781,4.610618,0.985748
65.685692,6.793080,0.981156
63.931297,3.658755,0.988564
65.184624,2.080599,0.996450
71.083000,12.301941,0.960000
65.073570,2.531277,0.996241
64.575371,4.802311,0.992958
69.189613,7.361856,0.990798
64.716568,4.617254,0.937337
63.140842,9.805311,0.956349
66.622192,9.377742,0.996399
64.134895,4.678171,0.973111
66.608101,7.589550,0.936057
64.506119,19.044548,0.957664
58.421085,2.905802,0.850000
