Attname,DPCount
2016_07_13-14_Leaf_Necrosis,698
2016_07_13-14_vegetation_index,698
2016_07_13_BAP_Leaf_Area,698
2016_07_13_laser_plant_height,698
2016_07_light_interception,698
2016_08_05-08_vegetation_index,698
2016_08_light_interception,698
2016_09_light_interception,698
SF16h_HGT1_120,698
SF16h_HGT2_120,698
SF16h_HGT3_120,698
SF16h_HGT_120_MEAN,698
SF16h_HGT_120_STD,698
SF16h_PAN1_120,698
SF16h_PAN2_120,698
SF16h_PAN3_120,698
SF16h_PAN_120_MEAN,698
SF16h_PAN_120_STD,698
SF16h_TWT_120,698
SF16h_WTL_120,698
SF16h_WTP_120,698
accession_origin=,685
accession_origin=Australia,243
accession_origin=Benin,488
accession_origin=Botswana,52
accession_origin=Burkina_Faso,259
accession_origin=Burundi,20
accession_origin=Cameroon,152
accession_origin=China,550
accession_origin=Egypt,79
accession_origin=Ethiopia,698
accession_origin=Former_Serbia_and_Montenegro,404
accession_origin=Former_Soviet_Union,36
accession_origin=Ghana,365
accession_origin=Hungary,512
accession_origin=India,176
accession_origin=Japan,218
accession_origin=Kenya,523
accession_origin=Malawi,483
accession_origin=Mali,416
accession_origin=Mexico,529
accession_origin=Nigeria,565
accession_origin=Rwanda,85
accession_origin=Senegal,35
accession_origin=South_Africa,503
accession_origin=Sudan,678
accession_origin=Swaziland,492
accession_origin=Syria,525
accession_origin=Tanzania,343
accession_origin=Togo,439
accession_origin=Turkey,531
accession_origin=Uganda,596
accession_origin=United_States,585
accession_origin=Yemen,29
accession_origin=Zaire,512
accession_origin=Zambia,512
accession_origin=Zimbabwe,182
accession_photoperiod=,693
accession_photoperiod=PHOTOPERIOD_INSENSITIVE,698
accession_photoperiod=PHOTOPERIOD_SENSITIVE,698
accession_race=,686
accession_race=Bicolor,269
accession_race=Caudatum,626
accession_race=Caudatum-bicolor,665
accession_race=Durra,573
accession_race=Durra-bicolor,320
accession_race=Durra-caudatum,485
accession_race=Guinea,606
accession_race=Guinea-bicolor,266
accession_race=Guinea-caudatum,607
accession_race=Guinea-durra,61
accession_race=Guinea-kafir,209
accession_race=Kafir,391
accession_race=Kafir-bicolor,619
accession_race=Kafir-caudatum,281
accession_race=Kafir-durra,117
accession_race=Mixed,188
accession_type=,697
accession_type=Cellulosic,698
accession_type=GRAIN,658
accession_type=Sweet,698
WSC_Sugar,0
