Mean,Variance,InboundsScore
11.837808,6.175752,0.937815
11.393601,6.286456,0.974048
17.760422,32.212044,0.965679
11.136703,8.816551,0.909747
13.831352,25.039120,0.843212
14.956342,29.932953,0.967262
16.101124,21.980394,0.942078
12.891270,20.230883,0.973357
11.198547,8.946058,0.920956
11.997358,14.639663,0.952000
11.996296,9.772024,0.946341
11.822357,18.061123,0.974705
20.500244,26.302193,0.948949
16.620766,19.090134,0.956386
12.182698,11.813566,0.866345
11.365443,5.118754,0.980243
15.145595,19.667822,0.963557
12.041901,37.674095,0.952137
17.555668,23.568838,0.967930
17.690107,24.342813,0.960813
10.054898,3.847969,0.980108
10.886121,2.245418,0.937063
13.373437,10.423609,0.968799
14.144583,15.704742,0.943089
16.915874,51.443928,0.926108
10.039057,19.614559,0.949183
9.827150,14.950322,0.934599
14.034142,19.398100,0.972268
21.445713,24.772823,0.938053
17.882410,25.406479,0.981013
18.407135,58.422211,0.956381
21.729282,24.063694,0.959270
24.871237,41.695984,0.891234
10.698136,16.300522,0.870588
22.905771,18.012552,0.970861
26.128986,27.970945,0.976422
23.871599,15.489140,0.971779
17.765024,22.070980,0.977369
28.128490,22.722672,0.983333
23.283426,16.143995,0.961588
27.371492,19.670340,0.947368
24.466787,20.459274,0.971710
11.868214,14.216887,0.975884
14.715235,21.390570,0.960725
22.490604,22.597303,0.988930
28.569458,24.127600,0.951938
24.870882,18.609854,0.984694
22.551521,22.393005,0.961783
29.729111,23.525864,0.962393
10.356197,8.034315,0.966981
22.902990,18.405355,0.977668
23.326353,15.522181,0.941096
21.864361,16.322927,0.979920
23.890661,15.574768,0.968937
20.908430,23.477509,0.961591
23.787025,21.453524,0.964143
23.672178,16.149139,0.975515
21.926809,27.163439,0.959103
23.064508,15.588859,0.983030
23.910126,14.283547,0.990488
19.158236,41.266891,0.958395
22.193659,34.320248,0.937409
26.358686,31.327675,0.929134
26.900702,17.486265,0.933239
20.887630,26.362003,0.897849
23.190847,22.534929,0.976801
17.833029,90.335213,0.612554
20.053329,30.362539,0.935484
26.184235,26.391495,0.981994
21.199421,39.993290,0.952055
19.631533,13.125200,0.965940
21.142471,24.823982,0.919225
28.480539,36.637234,0.886097
27.642941,23.121977,0.995924
26.224903,20.099564,0.983811
25.860857,31.917702,0.938596
21.750059,22.635422,0.969577
21.102909,24.492634,0.940666
21.546698,14.409563,0.985896
20.982338,23.753540,0.967655
28.279970,34.188683,0.878234
17.908693,18.564003,0.962416
16.257999,36.919167,0.889251
25.594454,16.663313,0.987639
18.835625,30.291056,0.951535
26.192734,40.077404,0.935795
11.870666,26.405382,0.840206
21.408962,34.513088,0.974834
15.756732,45.008404,0.934397
26.318544,14.947886,0.975339
21.315693,69.746254,0.849057
25.184109,14.590582,0.959900
22.388395,24.722765,0.979248
28.917023,21.233034,0.929825
24.416851,28.392019,0.940160
15.804378,36.541309,0.932602
28.503542,15.360945,0.974504
23.687706,12.565359,0.992949
21.639259,30.994810,0.959610
12.619083,30.054708,0.942857
21.383913,24.264875,0.961178
16.125727,8.321731,0.977301
14.911922,11.332795,0.951128
13.768418,5.259028,0.979504
17.035275,16.901232,0.773333
16.990248,9.032884,0.951039
14.793586,7.140084,0.968711
15.876629,7.672743,0.989559
16.626724,25.233866,0.965379
15.312713,8.517802,0.982434
15.104216,12.578568,0.942715
15.875659,15.663626,0.977128
15.054633,7.323361,0.958284
13.536623,3.809833,0.963680
17.123106,18.684799,0.969101
14.106880,4.821824,0.984287
13.792463,1.520525,0.990476
13.112599,3.217512,0.991963
12.799626,3.354365,0.983778
13.930374,1.701859,0.987764
17.522373,19.149666,0.942400
14.770183,11.358160,0.967213
15.972307,11.277340,0.982503
15.780454,7.988133,0.968867
13.806907,2.912316,0.987269
28.966084,31.067429,0.908951
13.219828,11.560647,0.972152
14.397042,1.678876,0.987640
14.558231,1.923255,0.993514
15.622447,8.849288,0.955322
14.879409,17.053722,0.980794
24.556883,31.806826,0.895000
14.415191,3.368540,0.993485
14.039653,3.898966,0.994571
26.315973,24.529722,0.985167
13.459696,4.095579,0.994629
13.087832,4.323970,0.970379
18.339720,23.208473,0.791171
15.961396,31.726221,0.947368
14.248790,6.867886,0.989749
13.956346,4.152288,0.994357
9.296934,2.544051,0.964135
17.599535,16.648712,0.951567
15.578697,6.679266,0.989962
14.324226,2.926051,0.996629
14.409245,3.568612,0.985459
14.049408,2.821915,0.983184
15.285067,8.858850,0.947245
13.914821,3.514701,0.974742
15.597265,10.409028,0.974497
15.227446,13.906157,0.952912
14.624043,9.156554,0.984211
15.904728,15.961137,0.982216
13.704666,11.105967,0.933824
18.155964,20.931965,0.920792
17.175402,16.735323,0.942636
16.523149,10.751414,0.976409
