Attname,DPCount
2016_07_13-14_Leaf_Necrosis,698
2016_07_13-14_vegetation_index,698
2016_07_13_BAP_Leaf_Area,698
2016_07_13_laser_plant_height,698
2016_07_light_interception,698
2016_08_05-08_vegetation_index,698
2016_08_light_interception,698
2016_09_light_interception,698
SF16h_HGT1_120,698
SF16h_HGT2_120,698
SF16h_HGT3_120,698
SF16h_HGT_120_MEAN,698
SF16h_HGT_120_STD,698
SF16h_PAN1_120,698
SF16h_PAN2_120,698
SF16h_PAN3_120,698
SF16h_PAN_120_MEAN,698
SF16h_PAN_120_STD,698
SF16h_TWT_120,698
SF16h_WTL_120,698
SF16h_WTP_120,698
accession_origin=,695
accession_origin=Australia,240
accession_origin=Benin,503
accession_origin=Botswana,19
accession_origin=Burkina_Faso,307
accession_origin=Burundi,299
accession_origin=Cameroon,557
accession_origin=China,548
accession_origin=Egypt,96
accession_origin=Ethiopia,697
accession_origin=Former_Serbia_and_Montenegro,88
accession_origin=Former_Soviet_Union,64
accession_origin=Ghana,376
accession_origin=Hungary,325
accession_origin=India,297
accession_origin=Japan,88
accession_origin=Kenya,495
accession_origin=Malawi,489
accession_origin=Mali,657
accession_origin=Mexico,548
accession_origin=Nigeria,571
accession_origin=Rwanda,112
accession_origin=Senegal,30
accession_origin=South_Africa,412
accession_origin=Sudan,690
accession_origin=Swaziland,530
accession_origin=Syria,520
accession_origin=Tanzania,277
accession_origin=Togo,405
accession_origin=Turkey,693
accession_origin=Uganda,562
accession_origin=United_States,571
accession_origin=Yemen,58
accession_origin=Zaire,598
accession_origin=Zambia,565
accession_origin=Zimbabwe,462
accession_photoperiod=,698
accession_photoperiod=PHOTOPERIOD_INSENSITIVE,698
accession_photoperiod=PHOTOPERIOD_SENSITIVE,698
accession_race=,666
accession_race=Bicolor,205
accession_race=Caudatum,627
accession_race=Caudatum-bicolor,663
accession_race=Durra,603
accession_race=Durra-bicolor,175
accession_race=Durra-caudatum,601
accession_race=Guinea,537
accession_race=Guinea-bicolor,281
accession_race=Guinea-caudatum,416
accession_race=Guinea-durra,37
accession_race=Guinea-kafir,188
accession_race=Kafir,312
accession_race=Kafir-bicolor,602
accession_race=Kafir-caudatum,237
accession_race=Kafir-durra,44
accession_race=Mixed,605
accession_type=,698
accession_type=Cellulosic,698
accession_type=GRAIN,690
accession_type=Sweet,698
aNDFom,0
