Mean,Variance,InboundsScore
67.894226,18.996687,0.921141
69.718864,10.596661,0.962825
61.156387,33.665764,0.963415
70.569717,17.094742,0.893130
67.778221,37.979740,0.904656
64.659180,26.495480,0.981506
62.049488,50.093983,0.946565
68.097206,25.257206,0.960139
70.240738,20.852320,0.887430
68.386879,20.681137,0.925651
70.501251,14.697575,0.941818
71.001717,12.118277,0.961818
58.274685,38.051903,0.967866
63.341087,25.120138,0.963636
69.582565,14.535264,0.850352
68.975220,24.901159,0.978022
61.471889,32.645134,0.944837
68.884941,17.252100,0.957278
63.901302,26.873547,0.975069
62.522148,37.616268,0.957507
71.669434,6.707457,0.973734
70.554405,9.867760,0.900722
65.969391,23.378811,0.970464
66.676514,27.248966,0.940754
64.265572,54.164902,0.963082
70.723312,18.244335,0.951087
72.910278,10.046184,0.928571
66.532227,29.877792,0.969571
59.790363,21.966795,0.954198
61.154915,33.938503,0.976965
64.584267,74.066917,0.950178
58.669571,21.964561,0.976409
58.421104,31.374550,0.863354
72.535965,7.127404,0.866477
57.900440,21.170977,0.976161
57.290070,21.718149,0.969231
57.126774,18.797945,0.973171
62.807095,37.513981,0.960059
54.530186,13.735837,0.990604
57.715065,15.398656,0.972621
56.472286,12.852146,0.960274
57.073616,18.301857,0.963589
66.814331,17.851662,0.968037
68.816704,19.724243,0.955000
59.409870,29.583076,0.992556
55.303970,19.705193,0.958807
56.661507,20.003788,0.980315
58.784863,28.229109,0.962821
54.266315,19.845154,0.950311
71.948532,9.153648,0.939828
57.119263,15.545182,0.983312
56.982460,14.153094,0.953361
58.345379,11.898021,0.987390
57.282196,15.375187,0.962810
59.663990,18.421465,0.964010
58.034771,23.092663,0.959647
58.709972,22.341818,0.966013
58.817345,23.280624,0.947961
56.720158,13.909742,0.987849
56.772182,10.214534,0.989873
62.853767,53.700058,0.942609
57.915085,31.526981,0.940594
54.004673,17.364477,0.945619
55.771130,10.012459,0.932730
59.706421,24.875862,0.913613
56.639454,20.540524,0.979665
64.070625,83.445961,0.650118
58.209412,30.737518,0.975968
56.712753,14.253508,0.982759
59.472969,40.193810,0.951791
59.629292,11.232996,0.987952
58.571571,15.877031,0.919312
55.315510,23.942522,0.903319
54.153145,11.684456,0.996104
56.209457,8.365369,0.984166
57.022560,23.345938,0.923186
59.759064,30.518652,0.986318
58.519836,18.125214,0.950434
59.611198,11.948981,0.988312
62.096786,23.423153,0.964481
54.883400,32.339237,0.876672
62.027142,35.959599,0.945607
67.495430,36.043808,0.909091
56.330235,14.179751,0.985770
59.974365,35.791321,0.951948
55.330437,25.890024,0.936765
70.003983,31.297333,0.797844
58.474461,36.735249,0.974290
67.263168,39.713444,0.928437
55.512558,16.125574,0.969811
62.314636,44.684010,0.854043
54.993233,19.177797,0.969210
58.391891,26.703667,0.980237
54.177406,14.153998,0.950954
55.671326,24.823767,0.957938
66.448875,28.652300,0.927711
52.329800,15.638448,0.977778
56.307327,9.318295,0.982346
57.299221,27.250660,0.971622
69.432739,31.765734,0.955696
60.787426,17.299681,0.974060
63.154991,7.573649,0.986425
64.119530,8.750963,0.964773
63.933456,3.468264,0.988273
63.704956,18.301647,0.810919
63.575069,10.694245,0.950382
65.456421,5.379935,0.990270
64.445648,4.560958,0.993464
63.077702,14.537558,0.986023
63.681946,5.414006,0.989059
64.830818,6.072188,0.966396
63.472992,7.284937,0.970556
63.978554,9.560418,0.973031
64.446243,5.424126,0.966157
63.847847,13.831653,0.989717
64.120110,6.352996,0.988347
63.755096,1.934939,0.995902
64.098366,2.703094,0.996914
65.963615,2.896000,0.986942
63.761261,2.381998,0.991516
64.217979,14.071472,0.930809
64.083855,6.311168,0.985393
64.750877,2.778150,0.996579
62.623783,10.423922,0.974244
63.828281,3.036995,0.989463
55.768185,37.842537,0.918221
64.172531,8.695099,0.981838
63.539291,2.562747,0.998973
63.200768,2.538560,0.995833
62.812725,12.250712,0.965636
64.568748,12.851488,0.977244
58.097225,25.461384,0.947666
63.373543,2.785994,0.997914
63.948456,3.196207,0.995863
