Attname,DPCount
2016_07_13-14_Leaf_Necrosis,698
2016_07_13-14_vegetation_index,698
2016_07_13_BAP_Leaf_Area,698
2016_07_13_laser_plant_height,698
2016_07_light_interception,698
2016_08_05-08_vegetation_index,698
2016_08_light_interception,698
2016_09_light_interception,698
SF16h_HGT1_120,698
SF16h_HGT2_120,698
SF16h_HGT3_120,698
SF16h_HGT_120_MEAN,698
SF16h_HGT_120_STD,698
SF16h_PAN1_120,698
SF16h_PAN2_120,698
SF16h_PAN3_120,698
SF16h_PAN_120_MEAN,698
SF16h_PAN_120_STD,698
SF16h_TWT_120,698
SF16h_WTL_120,698
SF16h_WTP_120,698
accession_origin=,698
accession_origin=Australia,164
accession_origin=Benin,437
accession_origin=Botswana,125
accession_origin=Burkina_Faso,341
accession_origin=Burundi,67
accession_origin=Cameroon,389
accession_origin=China,464
accession_origin=Egypt,11
accession_origin=Ethiopia,695
accession_origin=Former_Serbia_and_Montenegro,37
accession_origin=Former_Soviet_Union,150
accession_origin=Ghana,200
accession_origin=Hungary,445
accession_origin=India,239
accession_origin=Japan,135
accession_origin=Kenya,571
accession_origin=Malawi,503
accession_origin=Mali,510
accession_origin=Mexico,588
accession_origin=Nigeria,644
accession_origin=Rwanda,301
accession_origin=Senegal,253
accession_origin=South_Africa,531
accession_origin=Sudan,695
accession_origin=Swaziland,572
accession_origin=Syria,507
accession_origin=Tanzania,393
accession_origin=Togo,561
accession_origin=Turkey,679
accession_origin=Uganda,613
accession_origin=United_States,487
accession_origin=Yemen,61
accession_origin=Zaire,671
accession_origin=Zambia,550
accession_origin=Zimbabwe,356
accession_photoperiod=,698
accession_photoperiod=PHOTOPERIOD_INSENSITIVE,698
accession_photoperiod=PHOTOPERIOD_SENSITIVE,698
accession_race=,694
accession_race=Bicolor,248
accession_race=Caudatum,652
accession_race=Caudatum-bicolor,686
accession_race=Durra,553
accession_race=Durra-bicolor,228
accession_race=Durra-caudatum,571
accession_race=Guinea,663
accession_race=Guinea-bicolor,349
accession_race=Guinea-caudatum,495
accession_race=Guinea-durra,41
accession_race=Guinea-kafir,168
accession_race=Kafir,389
accession_race=Kafir-bicolor,565
accession_race=Kafir-caudatum,117
accession_race=Kafir-durra,51
accession_race=Mixed,423
accession_type=,698
accession_type=Cellulosic,698
accession_type=GRAIN,665
accession_type=Sweet,698
abs.Cellulose,0
