Mean,Variance,InboundsScore
31.856546,13.484517,0.925801
36.019005,4.298381,0.972056
27.598253,17.980587,0.967832
34.980736,12.342703,0.899396
31.736193,14.942132,0.906615
30.889692,18.001791,0.981690
29.231834,28.984459,0.937908
33.169514,20.717945,0.957611
34.175285,17.066526,0.934545
33.663601,21.143684,0.921053
34.978340,8.919304,0.928309
34.722958,14.250319,0.956929
25.053120,17.444660,0.964444
28.528656,14.695767,0.962853
35.808964,10.708258,0.830803
34.255871,11.962449,0.983949
28.706442,26.362808,0.925515
31.643093,18.899324,0.968085
28.716406,18.512152,0.971599
28.769056,26.999519,0.951863
36.968494,2.247867,0.965217
35.744663,8.433129,0.910788
31.726385,13.387542,0.963716
31.523035,25.561907,0.944972
30.672461,26.968018,0.957338
35.854061,10.022316,0.934911
35.749523,3.711042,0.945205
30.936268,22.291641,0.977341
26.365454,12.274630,0.953258
27.993017,16.338547,0.981322
29.389593,37.296272,0.960069
26.496443,9.694788,0.973753
26.604160,12.365781,0.888889
35.289589,3.210448,0.847255
26.156965,12.306196,0.973684
26.179289,6.898422,0.982167
24.477942,7.002561,0.969773
29.450045,17.603378,0.965608
24.204662,3.006169,0.989570
25.279350,6.178215,0.980124
24.993164,5.935575,0.959128
25.849005,11.984267,0.976654
32.140549,13.641564,0.988060
32.876152,12.688674,0.969256
25.697815,11.726727,0.989975
24.174124,3.115844,0.965287
24.524303,7.575754,0.984476
25.850409,11.927200,0.974026
24.715540,4.905666,0.965054
34.861923,6.167119,0.944700
24.999434,11.271789,0.977865
25.128750,5.246223,0.959132
25.883955,4.767245,0.992386
25.111689,6.342769,0.973009
26.091087,7.779164,0.972185
25.132399,10.669697,0.964432
26.298285,11.600199,0.970091
26.144339,7.378492,0.949176
24.986742,12.362307,0.989348
24.524807,4.791378,0.994090
28.248409,18.437414,0.943662
26.286554,18.255873,0.928010
24.443266,7.366173,0.962060
24.482567,7.900210,0.928385
26.349688,12.738445,0.899058
25.229031,8.865500,0.977500
30.929729,29.216722,0.636364
25.837988,15.305574,0.963277
24.744846,6.308344,0.980720
26.067657,14.473944,0.951571
26.498003,7.370533,0.977865
25.791265,5.811549,0.945695
25.252029,6.975953,0.915069
23.446232,3.792258,0.991117
24.097752,2.636435,0.989286
25.215412,12.132474,0.901202
26.789446,15.685063,0.971711
26.162531,9.822975,0.958722
26.502209,5.200521,0.984416
27.479656,12.604613,0.980743
24.276522,8.605019,0.888305
28.723577,17.144173,0.955587
30.713343,28.629808,0.918644
24.550570,4.425828,0.982278
26.908611,19.829449,0.957910
24.662289,11.161367,0.940860
34.203110,12.750123,0.802469
26.571400,13.502243,0.968622
31.994776,17.547464,0.932056
24.272476,5.787674,0.979849
28.662577,19.324146,0.861878
23.796412,6.165857,0.971091
26.329060,10.237009,0.983584
24.198023,4.445971,0.957031
24.392467,8.260180,0.954545
31.012747,13.782620,0.918033
22.576674,3.220752,0.992136
23.840204,4.859490,0.992857
25.201456,10.491183,0.975643
32.642540,13.087967,0.952919
27.671556,9.864231,0.970899
29.760489,4.996106,0.982228
29.837496,5.185512,0.947226
31.209702,5.969977,0.976136
29.862556,7.408713,0.839506
30.369982,4.014223,0.945612
30.695810,2.717544,0.987135
30.085854,5.188050,0.987723
28.959024,11.232166,0.977723
30.208475,4.434952,0.986301
30.781040,8.157964,0.964373
30.341560,5.756275,0.980301
30.592628,9.002413,0.972061
31.530069,9.252981,0.960640
30.232302,4.576851,0.983440
30.617558,2.802207,0.986532
30.746321,2.173370,0.994559
30.926716,2.033449,0.996750
31.420439,2.767990,0.989374
30.777309,3.994273,0.988056
30.546707,6.638402,0.945302
29.807920,2.879508,0.987599
30.400696,1.828514,0.987089
29.159025,6.634296,0.978495
30.904121,3.090553,0.985839
24.463284,8.039809,0.912698
31.060667,3.845736,0.973804
30.109003,4.030921,0.995652
30.320171,2.200717,0.995708
29.521376,9.622938,0.966843
30.738026,4.515220,0.963731
25.007267,11.160414,0.928058
30.057005,2.407444,0.995789
30.667898,1.971457,0.995704
24.330366,4.491371,0.992823
30.951159,4.167447,0.993583
31.872763,7.985886,0.966082
30.127733,14.484700,0.753106
30.083805,11.146157,0.963918
30.404446,3.559751,0.993266
30.346342,1.310469,0.996736
35.763248,7.935927,0.962656
28.770962,5.775956,0.979461
29.205549,3.344526,0.989059
30.221373,3.366421,0.993535
30.632833,3.297336,0.986942
30.380501,2.709376,0.985699
30.711096,4.661041,0.952546
30.905214,2.668127,0.977346
30.619579,3.382674,0.983683
30.283375,3.467396,0.976744
30.592688,4.024112,0.993711
30.235739,1.797544,0.992966
30.999289,7.568445,0.959572
29.307127,6.205459,0.923077
30.348049,3.192859,0.956291
29.960121,2.883687,0.987952
30.399309,1.397062,0.996648
31.115818,3.981772,0.952270
30.695959,3.098801,0.973184
30.149456,3.105259,0.989449
31.191261,4.707419,0.993520
30.208769,2.861167,0.981421
30.258314,3.400291,0.989784
25.346577,7.209226,0.980315
28.004511,10.289989,0.995376
30.064873,2.942286,0.989523
30.849236,2.180922,0.986942
24.511940,5.425846,0.779392
30.686234,5.005041,0.977752
30.721302,5.182590,0.983165
30.528381,13.913809,0.947075
31.980711,7.718796,0.971395
30.343830,11.221635,0.977513
30.229128,3.070462,0.986395
26.837929,10.788564,0.974194
27.174988,10.855489,0.940209
29.553497,3.840253,0.994606
31.274857,3.606667,0.974359
24.772377,5.956756,0.948276
31.427475,16.554214,0.960674
31.062773,2.833644,0.994595
25.409338,8.745734,0.980796
30.674526,3.404298,0.966082
30.739071,5.441836,0.972067
30.938322,4.391218,0.980527
30.813177,2.835452,0.989154
30.748154,4.580035,0.983070
29.665821,4.242818,0.975000
30.448328,4.205586,0.982320
35.290733,8.317794,0.874720
29.462364,4.579372,0.961929
30.740175,1.741062,0.990217
30.024839,2.272103,0.994692
29.957706,11.154057,0.938722
30.984226,4.086935,0.971302
27.169155,9.950212,0.973501
30.296965,6.730697,0.937575
28.814919,5.017377,0.955959
30.093695,3.705769,0.993266
31.307894,4.575752,0.983051
31.631329,10.057028,0.892677
31.155384,6.611824,0.993370
29.725885,2.935411,0.988789
29.390074,6.795483,0.980198
29.726135,7.440536,0.983927
30.174919,4.444936,0.987737
34.403934,10.943673,0.938462
30.642756,7.643697,0.974041
30.097391,6.229284,0.982432
29.952335,5.599537,0.983051
31.235886,3.225698,0.963400
30.788727,8.690319,0.960806
30.292002,3.633797,0.984109
30.335012,3.233896,0.993159
30.506016,2.598732,0.966140
30.785980,3.253738,0.994675
30.377428,2.899471,0.973099
28.874697,6.407551,0.932157
26.463840,10.456500,0.950147
31.146530,5.896400,0.976109
30.571514,3.411515,0.974836
34.290138,11.004908,0.951064
29.117411,7.045238,0.987484
29.673126,10.333043,0.975852
31.470675,3.932037,0.990066
32.246834,4.151518,0.994369
25.459654,4.794411,0.974324
25.899942,12.241034,0.951909
30.647907,4.991462,0.977221
25.330580,7.022990,0.972938
31.227533,7.380464,0.966082
35.219013,5.645867,0.944444
30.638979,1.614372,0.992308
24.362156,2.632026,0.959360
30.657713,1.752062,0.995647
31.976704,6.419499,0.965517
30.415182,3.929631,0.985194
31.705734,2.754442,0.983927
29.396912,3.514567,0.989619
24.476906,9.919667,0.970506
30.724234,4.765174,0.984181
29.119663,4.202340,0.979118
31.378216,3.739413,0.976061
30.958805,3.409313,0.979866
30.829731,2.944735,0.993485
31.625795,7.359590,0.965476
30.513285,2.044356,0.990878
31.112677,3.710334,0.977998
28.780918,13.175863,0.967828
30.328011,2.547517,0.990960
24.262966,5.502307,0.990025
26.137226,4.922817,0.980620
31.282621,3.042816,0.989247
30.536715,3.516323,0.996656
29.885359,2.161530,0.996798
31.231525,2.337566,0.994664
30.934416,2.461839,0.993485
30.300787,3.561710,0.978094
31.623981,2.130221,0.996859
29.532421,4.637800,0.995633
28.744312,6.915540,0.972441
30.832851,3.517579,0.979405
31.262581,2.188480,0.994475
30.764406,2.709397,0.985885
30.789101,2.578418,0.997826
31.223055,3.014515,0.993590
29.028336,3.882392,0.992179
30.464169,3.097527,0.992521
30.968149,3.189728,0.994647
31.503263,4.119007,0.992521
29.233994,7.957785,0.964474
31.745777,6.274161,0.964652
31.177795,3.958845,0.990011
30.431892,4.030456,0.977503
28.748087,6.509120,0.977012
30.354080,3.318511,0.992316
30.606430,5.195688,0.986928
30.732340,2.772232,0.978936
30.200647,1.442651,0.988134
29.312479,3.240284,0.971731
28.801819,13.123948,0.920530
28.904316,13.300251,0.936578
30.164909,3.785265,0.982652
29.427370,12.035254,0.969427
31.054346,2.222672,0.985870
31.617109,1.972418,0.994571
30.132200,3.967589,0.968397
31.221090,1.845143,0.992624
30.227806,2.770709,0.994363
30.250784,4.541269,0.982320
31.439131,3.185029,0.977778
30.712753,10.402940,0.991061
31.669004,2.215781,0.997861
31.320776,2.751561,0.983819
30.877947,3.204793,0.994553
30.682869,3.090006,0.997790
30.905642,2.547852,0.975141
30.402681,4.110196,0.990099
30.453972,2.387335,0.995704
28.757545,3.780109,0.995163
31.237085,1.859864,0.991379
29.409687,7.196602,0.977483
29.480339,5.009219,0.968672
28.844797,7.820897,0.967448
30.338764,2.978364,0.993281
30.967434,8.201042,0.969734
32.698856,15.447976,0.899811
29.802744,6.512821,0.986842
31.185514,4.114201,0.971363
30.554779,2.446738,0.992358
31.175900,3.863378,0.994499
29.376900,12.080459,0.978777
31.402962,7.080246,0.979689
26.353207,11.844075,0.955966
30.798962,2.125670,0.988839
30.640959,3.823477,0.967517
31.238733,3.607809,0.989865
28.368355,6.239090,0.974834
31.032236,2.944115,0.994131
30.500792,3.070075,0.993304
30.386541,3.879921,0.993159
26.834579,9.950810,0.978205
30.304995,1.912687,0.987764
29.587355,5.175343,0.986379
28.015053,3.945501,0.989770
29.725077,4.626148,0.976932
30.452276,1.845294,0.992188
29.169737,4.790382,0.984069
30.880241,1.363874,0.993274
30.167698,2.767242,0.996757
30.618511,1.690078,0.993514
29.019655,3.148949,0.994764
31.089417,4.349834,0.972940
29.288364,6.013852,0.986667
29.393614,3.403613,0.994407
30.385086,3.721536,0.994658
30.311579,1.826178,0.997861
29.675043,3.062456,0.995227
29.132380,7.849246,0.996109
30.531561,6.510862,0.966547
30.996128,1.683113,0.996798
29.851292,3.381731,0.987682
30.466661,2.746166,0.992366
23.417473,3.157002,0.957529
24.226332,3.465474,0.978313
28.592781,5.252130,0.989446
30.822025,4.559318,0.988558
30.133274,3.464425,0.991333
28.947153,8.883577,0.938356
30.354359,2.332974,0.992561
29.925974,1.850569,0.998958
30.028717,2.556721,0.975827
30.201260,3.034592,0.992465
28.692774,16.492649,0.963964
30.944139,2.522314,0.998913
31.021128,1.804413,0.986828
26.345768,13.404697,0.929577
31.158421,4.630753,0.979144
31.602629,2.120533,0.997833
31.178841,2.133227,0.998928
31.091101,2.700479,0.993535
27.250368,9.190101,0.986436
30.828018,2.829196,0.994505
30.178865,2.660727,0.987269
30.743536,2.855922,0.986871
27.416388,12.554571,0.927891
28.204075,4.060658,0.982527
29.250246,5.335005,0.984252
30.438017,2.058373,0.978261
30.330442,3.394304,0.989387
29.447992,5.898971,0.964752
29.162947,22.713390,0.909938
30.886404,3.548062,0.992063
30.766666,7.839508,0.971264
31.424997,4.501936,0.980638
28.692726,5.710620,0.957728
30.048489,3.046478,0.987723
31.261177,11.970553,0.966262
31.827709,4.166822,0.977804
31.093637,2.608142,0.995643
29.129631,5.051383,0.980964
30.673283,2.228280,0.991266
28.295338,14.452012,0.955439
30.979195,3.467743,0.983389
30.602104,2.474210,0.988069
31.385311,2.539543,0.982740
31.351976,2.704853,0.984979
30.462511,1.669603,0.982888
29.066946,7.653656,0.981573
30.629000,2.623046,0.994571
31.483374,4.833513,0.976948
30.598085,2.539162,0.995423
30.702074,3.467297,0.983407
30.805273,3.555620,0.987654
30.668846,5.396530,0.982552
