Attname,DPCount
2016_07_13-14_Leaf_Necrosis,698
2016_07_13-14_vegetation_index,698
2016_07_13_BAP_Leaf_Area,698
2016_07_13_laser_plant_height,698
2016_07_light_interception,698
2016_08_05-08_vegetation_index,698
2016_08_light_interception,698
2016_09_light_interception,698
SF16h_HGT1_120,698
SF16h_HGT2_120,698
SF16h_HGT3_120,698
SF16h_HGT_120_MEAN,698
SF16h_HGT_120_STD,698
SF16h_PAN1_120,698
SF16h_PAN2_120,698
SF16h_PAN3_120,698
SF16h_PAN_120_MEAN,698
SF16h_PAN_120_STD,698
SF16h_TWT_120,698
SF16h_WTL_120,698
SF16h_WTP_120,698
accession_origin=,692
accession_origin=Australia,87
accession_origin=Benin,217
accession_origin=Botswana,126
accession_origin=Burkina_Faso,392
accession_origin=Burundi,514
accession_origin=Cameroon,523
accession_origin=China,349
accession_origin=Egypt,195
accession_origin=Ethiopia,698
accession_origin=Former_Serbia_and_Montenegro,228
accession_origin=Former_Soviet_Union,69
accession_origin=Ghana,419
accession_origin=Hungary,238
accession_origin=India,235
accession_origin=Japan,24
accession_origin=Kenya,448
accession_origin=Malawi,609
accession_origin=Mali,190
accession_origin=Mexico,200
accession_origin=Nigeria,482
accession_origin=Rwanda,169
accession_origin=Senegal,501
accession_origin=South_Africa,262
accession_origin=Sudan,694
accession_origin=Swaziland,574
accession_origin=Syria,517
accession_origin=Tanzania,488
accession_origin=Togo,527
accession_origin=Turkey,543
accession_origin=Uganda,663
accession_origin=United_States,368
accession_origin=Yemen,18
accession_origin=Zaire,483
accession_origin=Zambia,496
accession_origin=Zimbabwe,109
accession_photoperiod=,698
accession_photoperiod=PHOTOPERIOD_INSENSITIVE,698
accession_photoperiod=PHOTOPERIOD_SENSITIVE,698
accession_race=,695
accession_race=Bicolor,205
accession_race=Caudatum,639
accession_race=Caudatum-bicolor,616
accession_race=Durra,668
accession_race=Durra-bicolor,510
accession_race=Durra-caudatum,622
accession_race=Guinea,571
accession_race=Guinea-bicolor,267
accession_race=Guinea-caudatum,634
accession_race=Guinea-durra,83
accession_race=Guinea-kafir,178
accession_race=Kafir,287
accession_race=Kafir-bicolor,465
accession_race=Kafir-caudatum,479
accession_race=Kafir-durra,405
accession_race=Mixed,187
accession_type=,698
accession_type=Cellulosic,697
accession_type=GRAIN,396
accession_type=Sweet,698
abs.Hemicellulose,0
