Mean,Variance,InboundsScore
26.062803,0.826017,0.940419
25.238913,0.791391,0.967148
25.013306,1.020510,0.986198
25.825016,1.427869,0.944611
25.729855,1.223521,0.934932
25.569023,1.219927,0.990244
24.870846,1.307157,0.942181
25.306349,0.551467,0.983683
26.223972,0.923032,0.945483
25.016590,1.051839,0.927476
25.496979,1.096233,0.956731
25.282961,1.073508,0.973072
24.890242,1.322795,0.973171
25.115725,1.066727,0.951531
25.128647,0.987273,0.890703
25.568161,0.585834,0.991657
24.943171,1.352335,0.961104
25.742197,1.442445,0.978752
25.377361,0.742131,0.985832
25.212011,1.896878,0.979566
25.375494,0.606252,0.964634
25.677683,0.789321,0.916324
25.167959,0.768459,0.986127
25.473829,0.650913,0.953326
25.013924,1.522091,0.979275
25.639988,0.909074,0.950633
26.770214,0.772804,0.936306
25.687714,1.033466,0.972549
24.395061,2.420467,0.947798
25.422152,0.729090,0.992982
25.229145,3.661714,0.954774
24.111820,1.459131,0.982409
23.610851,2.586224,0.911717
26.852798,0.553770,0.857820
24.426857,1.237242,0.963291
23.973751,1.265411,0.965418
24.394249,1.192515,0.976096
25.333040,2.342241,0.958333
23.150370,1.266892,0.991525
24.199726,1.374715,0.965007
23.445757,1.855940,0.927536
24.312500,1.696110,0.968708
25.857677,1.413802,0.979893
25.837008,1.605061,0.950980
24.506029,1.327395,0.996412
23.544823,2.303970,0.942278
23.803942,1.530677,0.979224
24.128122,2.323643,0.963563
21.749754,3.365392,0.959488
26.798300,0.409153,0.945330
24.278206,1.629231,0.977364
24.207500,1.530403,0.950269
24.419273,1.350070,0.985384
24.169142,1.367679,0.968170
24.926048,1.091404,0.974453
24.481125,2.022578,0.960422
24.337618,1.625127,0.964639
24.559635,2.385722,0.945104
24.328806,1.431975,0.991647
24.216711,1.234626,0.976064
25.560421,2.079824,0.948718
24.338785,2.119337,0.940771
22.857847,4.240274,0.941499
24.122499,1.383731,0.916898
24.529892,1.613791,0.912418
24.409037,1.570319,0.980173
23.799635,7.376327,0.677419
23.867167,2.297234,0.959677
23.486826,1.673466,0.980000
24.193966,2.093183,0.952186
24.624336,1.060194,0.968354
24.375658,1.404387,0.920056
22.067307,4.053481,0.883369
23.138691,0.945087,0.990716
23.952480,0.932313,0.981752
23.797907,2.141777,0.920266
25.038561,0.871405,0.985312
24.689838,1.346968,0.956750
24.564676,1.322574,0.978437
25.168972,1.243922,0.980198
22.965752,5.348588,0.850410
25.331076,1.108994,0.960159
25.436430,1.807994,0.942895
23.621298,0.743731,0.983827
24.871212,1.622776,0.979115
23.199257,2.193178,0.933234
25.921669,2.258139,0.816832
25.189602,2.272095,0.965517
25.659378,2.253716,0.903945
23.646484,0.859028,0.976996
24.495216,3.863403,0.847525
23.221729,2.193275,0.924394
24.111240,1.585730,0.974868
21.763739,4.898392,0.887850
23.598141,1.816113,0.933726
26.088928,1.626080,0.937598
22.871702,2.440587,0.964861
23.743311,1.254698,0.986585
23.603664,1.488170,0.971272
26.518383,1.785098,0.961771
24.933359,1.946527,0.969741
24.959824,0.849835,0.983908
25.561153,1.836595,0.953727
25.590998,0.562471,0.973441
24.739197,3.462513,0.786297
24.942501,2.098194,0.954930
25.720261,1.422922,0.980047
25.288391,0.874326,0.985040
25.323151,1.364202,0.974484
25.640127,1.221938,0.983278
25.459845,0.969610,0.953771
26.083187,1.408274,0.969283
25.085718,1.000041,0.975553
24.956789,1.001496,0.948810
25.241331,1.537178,0.983827
25.613897,1.163960,0.981714
25.572012,0.423077,0.986214
25.536812,0.614220,0.993555
26.356806,0.995616,0.992000
25.092741,0.734189,0.985572
24.859734,2.205380,0.938416
25.477957,1.225440,0.974148
25.803219,1.204695,0.980050
25.219038,1.027799,0.986553
25.340927,0.834318,0.978912
22.805885,4.833762,0.899010
25.780798,1.423233,0.977169
25.235392,0.680119,0.986159
25.268261,0.542013,0.997812
25.123112,0.929931,0.977381
25.838982,1.345054,0.984925
23.784389,1.769716,0.949606
25.344887,0.746117,0.992265
25.493328,0.565438,0.991480
23.628860,0.760817,0.984419
25.677086,0.921418,0.991480
25.722172,1.114317,0.976378
24.083874,4.263934,0.786219
26.026264,2.000668,0.968162
25.392841,0.639047,0.991822
26.064917,1.000439,0.994553
26.951618,0.409902,0.971491
25.127825,1.030797,0.957125
25.463480,0.778016,0.980022
25.179943,0.449708,0.995595
25.399998,1.349656,0.975309
25.571316,1.078064,0.977974
25.117569,1.408733,0.938753
25.911615,0.984342,0.981777
25.806581,1.664366,0.976562
25.904039,0.841554,0.968787
25.784937,0.615685,0.994376
25.845154,1.515266,0.980223
25.792810,1.582884,0.967662
24.542967,2.094665,0.897474
25.430712,2.593881,0.942137
25.007822,0.985206,0.982234
25.617647,0.828495,0.989619
25.758408,1.802549,0.946199
25.214972,1.891352,0.969427
25.093464,1.156497,0.983193
25.152765,0.690538,0.995816
25.556812,1.453028,0.972521
25.405767,0.741455,0.991416
24.173336,1.613737,0.972900
24.795620,1.308375,0.990160
24.959332,1.137687,0.971848
25.830879,0.978949,0.984564
23.206539,2.102452,0.778702
25.893442,1.148108,0.979592
25.364283,1.121184,0.981020
25.481228,1.930129,0.930652
25.008507,0.496819,0.982374
25.333149,1.045445,0.981308
25.475733,0.508056,0.986637
24.931751,2.066827,0.956688
23.946959,2.263121,0.950635
25.017242,0.800395,0.994618
25.319370,0.845972,0.974670
23.716719,1.340963,0.944694
25.957087,1.197365,0.971698
25.325029,0.814080,0.993407
23.883410,2.112827,0.973725
25.596533,1.412926,0.960880
25.530943,1.424243,0.964581
25.775528,1.018210,0.984375
25.621943,0.726425,0.995506
25.571625,0.812407,0.986014
25.407139,0.864065,0.960688
25.409935,1.090618,0.972004
25.266439,0.758789,0.943467
25.906467,1.951069,0.949454
25.926439,0.567733,0.990868
25.129177,0.660578,0.997906
26.009628,1.250714,0.947752
25.733419,1.034168,0.976275
25.217419,0.732162,0.978552
25.954584,1.157743,0.940334
25.132450,1.268858,0.971660
25.395044,0.534457,0.980877
25.796556,1.107430,0.994090
26.043213,2.145504,0.909434
25.027325,0.574517,0.988975
25.380192,1.229086,0.979294
25.717821,1.235273,0.985635
24.978441,0.711169,0.995311
25.587109,0.695976,0.978085
26.317421,1.713403,0.930769
25.680538,0.861983,0.990960
26.041327,0.665641,0.991726
25.802273,1.364909,0.972327
26.094744,0.895872,0.974972
25.763142,1.974026,0.967780
25.838175,0.958993,0.959350
25.036209,0.790853,0.983759
25.267969,1.458914,0.950588
26.156031,0.687369,0.996696
25.693012,1.236799,0.970556
24.417114,1.981293,0.923423
24.376871,1.668480,0.950541
26.280794,1.283887,0.982002
26.282417,1.368897,0.981707
26.662386,1.042888,0.949045
25.244062,0.893270,0.983721
25.383520,1.386714,0.982500
25.326828,0.331339,0.993485
25.206686,0.611871,0.986711
23.904505,1.346218,0.963072
24.775160,1.838414,0.962536
25.367777,0.914764,0.977901
23.652342,3.590638,0.939093
24.817850,1.074787,0.965870
26.408936,1.985447,0.936937
26.303797,1.109042,0.993464
24.062365,1.187488,0.970194
25.640831,0.577797,0.992341
25.247808,0.498656,0.968539
26.130552,0.980487,0.979381
25.132023,0.827566,0.971942
25.693604,0.929446,0.986569
23.772324,1.521828,0.977931
24.938440,0.757265,0.976717
25.523005,0.446302,0.986502
25.228949,0.790804,0.952326
25.764301,0.769939,0.984073
26.244719,0.892366,0.993983
25.817078,1.222153,0.959157
26.298866,0.694179,0.982955
25.431177,0.508076,0.993363
25.047222,1.610600,0.983418
26.064983,0.741922,0.986826
